StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,"antibiotics_accept ",continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,water_know,water_accept,electrons,electrons_confirm,antibiotics,antibiotics_confirm,continents,continents_confirm,sex,sex_confirm,lasers,"lasers_confirm ",orbit,"orbit_confirm ",diamonds,"diamonds_confirm ",speed,"speed_confirm ",salt,"salt_confirm ",water,"water_confirm ",Q1,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,"BCTI_autism ","BCTI_polio ",BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,reason_agreement,reason_agreement_3_TEXT,"reason_followup ",Q1,education,comments,PROLIFIC_PID
2024-04-22 15:54:51,2024-04-22 16:03:26,0,173.59.1.112,100,515,1,2024-04-22 16:03:27,R_7qjxM46r15PvyiR,,,,,39.904,-75.5089,anonymous,EN,1,1,1,1,8,1,1,1,7,1,1,1,10,1,7,1,11,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,,,,2,No.,5720a9f6fd3a5200113c1891
2024-04-22 15:53:33,2024-04-22 16:03:33,0,68.212.59.67,100,599,1,2024-04-22 16:03:33,R_3VQ4fKIj8WwjIPi,,,,,29.1036,-82.3558,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,90,80,50,90,100,9,,1,7,9,8,1,8,6,1,8,1,,,,2,,Curiosity and the internet,,2,Thank you,5cba50bf114fa5001aac5570
2024-04-22 15:56:04,2024-04-22 16:03:34,0,71.81.141.193,100,450,1,2024-04-22 16:03:36,R_110ujcLtIz4g969,,,,,38.763,-90.5474,anonymous,EN,1,1,6,1,8,1,1,1,1,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,80,100,100,8,,6,8,8,8,4,6,4,4,6,3,2,3,2,,,,,3,,659587f05678e3d1c10c78c4
2024-04-22 15:55:18,2024-04-22 16:03:36,0,24.27.66.191,100,497,1,2024-04-22 16:03:36,R_5NPcHx7pqC3Z1Cs,,,,,32.9657,-96.8834,anonymous,EN,1,1,6,1,1,2,1,1,7,1,7,1,10,1,1,1,1,1,1,1,1,1,,,I do not know,4,,,,,,,,,,,,,,,,,,60,100,100,80,80,8,,2,6,7,9,1,5,7,1,7,9,,,,2,,Guessed,,4,The truth is in the Bible,654274da9d849435fdd00d38
2024-04-22 15:58:57,2024-04-22 16:04:27,0,23.126.202.218,100,330,1,2024-04-22 16:04:28,R_39zwpmIKcK0A1dT,,,,,30.0037,-81.7578,anonymous,EN,1,1,1,1,7,1,1,1,7,1,7,1,10,1,1,1,11,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,80,90,100,80,80,9,,5,9,9,4,8,8,8,8,5,2,2,3,3,,,,,4,,60fec7794a3fad182b902978
2024-04-22 15:53:27,2024-04-22 16:04:40,0,73.71.170.88,100,672,1,2024-04-22 16:04:40,R_7KACzDyppU9vgXb,,,,,38.1025,-122.2132,anonymous,EN,1,1,1,1,8,1,1,1,9,1,7,1,1,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,"I double-checked the information on Google by looking up various websites, I did go with my initial gut instincts in most cases however if it was wrong upon verifying it then I would change my answer ",,1,"It's getting harder to trust scientists, especially with the contrived global warming data that historically doesn't support global warming and the fact that human actions cause it. COVID-19 has also dented my opinion of scientists and what they determine to be in the public's best interest.",616b5241d8eb9504f10a5cb2
2024-04-22 15:55:49,2024-04-22 16:05:25,0,172.59.193.18,100,576,1,2024-04-22 16:05:26,R_6COZzLNXVLZN5LK,,,,,32.8785,-96.7477,anonymous,EN,1,1,1,1,8,1,1,1,9,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,20,100,9,,5,2,9,9,1,1,5,1,7,1,2,2,2,,,,,2,"I doubt the methodology of climate science as it's not at all a hard science, but rather people essentially playing with computer models of complex systems that cannot account for all variables. That and the climate gate leaks where they talk about massaging the data.  Also generally ""trusting"" science like its some kind of religion is absurd. The replication crisis is a continuing issue with many facets that hamper the credibility of the scientific community https://www.science.org/doi/10.1126/sciadv.abd1705  You can fully believe in the scientific method without at all trusting the garbage that gets published",5f8001ebabc31a000c257ccc
2024-04-22 15:53:29,2024-04-22 16:06:04,0,108.67.199.222,100,755,1,2024-04-22 16:06:05,R_1iR8M2YkPeFaqPs,,,,,35.9306,-86.8788,anonymous,EN,1,1,6,1,8,1,7,1,7,1,1,1,10,1,7,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,90,80,20,80,3,,2,5,4,5,2,7,5,5,5,2,3,3,3,,,,,5,,6623d9ae9c4dda6732c407d9
2024-04-22 15:59:09,2024-04-22 16:07:07,0,71.217.52.18,100,477,1,2024-04-22 16:07:07,R_5KBm3cO7we5rhN7,,,,,35.5831,-78.7881,anonymous,EN,1,1,1,1,1,1,1,1,7,1,7,1,10,1,7,1,11,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,80,100,100,50,90,9,,3,5,8,7,1,7,5,3,8,8,2,2,3,,,,,4,no,5b22d2c260c40e000103b157
2024-04-22 16:01:16,2024-04-22 16:07:26,0,74.74.147.249,100,370,1,2024-04-22 16:07:27,R_3JQiFuW5L91ZZj6,,,,,43.5513,-71.02,anonymous,EN,1,1,1,1,1,1,1,1,9,1,7,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,9,,5,9,9,9,1,9,9,5,5,1,,,,2,,Prior knowledge from a formal education,,2,Thanks and be well,59565b1bbbb52400017ad4e1
2024-04-22 16:01:32,2024-04-22 16:08:18,0,24.104.199.104,100,406,1,2024-04-22 16:08:19,R_1fp0NO59VpOqZeN,,,,,40.9285,-73.8282,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,60,90,8,,1,5,6,9,1,5,5,8,5,2,,,,2,,"I can check several different sources on the internet and see if they have the same verifiable information. ",,5,,5ba064c10d4416000157a224
2024-04-22 15:55:05,2024-04-22 16:09:09,0,73.224.110.119,100,843,1,2024-04-22 16:09:09,R_1R2rUxRdD9JFHms,,,,,30.132,-81.7726,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,1,1,11,2,,,,,,,,,,,,,,,,,,,I think I got it confused in my head. I was thinking 2 oxygen and 1 hydrogen.,4,,,,,,,,,,,,,,,,,,,3,3,3,1,,,,3,,6085bb66296b0a411198d8fd
2024-04-22 16:06:00,2024-04-22 16:09:37,0,47.144.29.246,100,217,1,2024-04-22 16:09:38,R_2phajOJD34fcEtV,,,,,34.2268,-119.0488,anonymous,EN,1,1,6,1,1,1,1,1,9,1,7,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,2,,I use intuition.  I use common sense.,,5,,63ea751b7686e752f5ef78b2
2024-04-22 15:55:21,2024-04-22 16:10:11,0,206.85.211.145,100,889,1,2024-04-22 16:10:11,R_18OiSO4Ur65RUEo,,,,,35.8655,-80.8934,anonymous,EN,1,1,1,1,7,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,70,40,60,60,80,6,,2,2,6,6,1,7,6,5,7,3,,,,2,,"I have read it before, and did some experiments in chemistry class.  I look for scientific consensus on everything.  On these long established principles, I could have selected both answers.  I believe sometimes scientists are bribed or exhibit bias depending on who is funding them and what answers the funding entity wants. COVID treatments were a big example of that.  Hospitals were paid to execute certain protocols and disallow others.",,5,"I gave COVID an as an example of scientific duplicity.  VALID tests for hydroxychloroquine and Ivermectin did save lives.  I had a long conversation with my oncologist about it - he did his own research and is a frontline doctor.  Also, as to world control. that isn't even a secret anymore.  George Soros has  been manipulating US politics for years and pushes the open borders/one world government that is driving the outrageous illegal immigration.",5a6b53f3e70ca900017ab75a
2024-04-22 16:07:55,2024-04-22 16:11:00,0,160.3.215.53,100,185,1,2024-04-22 16:11:01,R_5E62ZHHA4ikdUsF,,,,,34.1688,-109.9902,anonymous,EN,1,1,6,1,8,1,1,1,7,1,1,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,1,,,,6,Interesting survey thank you,5f0c7ea47cf1495f4587f741
2024-04-22 16:01:02,2024-04-22 16:11:18,0,174.62.229.26,100,616,1,2024-04-22 16:11:19,R_6sKQQHGAlZloPTP,,,,,41.7405,-87.6587,anonymous,EN,1,1,3,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,"some stuff I already knew, other stuff I don't care about like atoms and molecules",,,3,,5d6376ec7e447f001c971315
2024-04-22 16:03:53,2024-04-22 16:11:58,0,68.39.238.227,100,484,1,2024-04-22 16:11:58,R_5melxkp85BU3slJ,,,,,41.1371,-85.0637,anonymous,EN,1,1,6,2,8,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,I made a mistake.,1,,,,,,,,,,,,,,,,,,,,70,80,60,70,90,5,,5,6,7,6,2,6,5,8,4,2,3,3,3,,,,,5,,5c95493ddd325800166f838a
2024-04-22 15:53:46,2024-04-22 16:12:30,0,136.34.152.33,100,1124,1,2024-04-22 16:12:31,R_4domYpHqbCGGVoP,,,,,38.9592,-94.5961,anonymous,EN,1,1,1,1,7,2,1,1,1,1,7,1,10,1,1,1,1,1,11,1,1,1,,,I have always experienced receiving antibiotic for viral infections. So i do not agree that antibiotic does not kill viruses.,5,,,,,,,,,,,,,,,,,,100,100,70,10,90,8,,1,5,5,1,1,5,3,9,5,1,3,3,2,,,,,3,"To think of the highest good of all the people its does not matter what education you have had, what matters is state of consciousness, if it is influenced by love for all life or if it is influenced by an inner lack and disconnection. That's what matters. Not neccesarily the education or information. ",65a2bc0d60b1e46f4e1d3cc8
2024-04-22 15:57:27,2024-04-22 16:14:54,0,108.24.95.115,100,1046,1,2024-04-22 16:14:54,R_28N9HS4afvknP9w,,,,,39.8918,-74.8925,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,1,1,1,1,11,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,70,70,80,7,,7,9,7,5,2,3,2,5,9,1,,,,2,,"Most of the questions, the consensus answer was the same as my answer. For the one or two questions where it was not, I looked at who their sources were for the answers, and decided whether I believed those sources and how unsure I was about my answer and made my decision from there.",,2,,5f50b1bbe29c992335098fb1
2024-04-22 16:09:36,2024-04-22 16:15:28,0,172.56.168.145,100,351,1,2024-04-22 16:15:28,R_5GND2JWs705pcRH,,,,,38.6645,-121.487,anonymous,EN,1,1,6,1,8,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,90,100,90,8,,5,9,8,5,5,7,7,7,5,5,1,1,1,,,,,3,No,56849d528f456f000c45e1dd
2024-04-22 16:12:04,2024-04-22 16:16:17,0,98.233.89.114,100,252,1,2024-04-22 16:16:17,R_7dphR7Y2fWccDCR,,,,,39.068,-76.9933,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,9,,5,9,9,9,1,9,9,5,9,1,1,1,1,,,,,3,"HCQ and Ivermectin were both off label drugs used to treat various medical conditions, some viral. The anti-viral properties of both of them have been significantly documented, but were suppressed after covid. This study is inaccurate and peddling ideology that's harming people. Shame on you.",607778a26ff3de83125f50c5
2024-04-22 16:08:10,2024-04-22 16:17:07,0,71.65.148.5,100,536,1,2024-04-22 16:17:07,R_2s55pGTtBA6tWB4,,,,,35.0837,-80.6646,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,90,50,100,9,,9,9,9,8,8,8,5,5,9,9,,,,1,,,,3,"The final question about dinosaurs, evolution and fossils should have been presented as more than one question. I chose my answer strictly because evolution was included. ",65e0d81acca2780f6d77bbe2
2024-04-22 16:11:23,2024-04-22 16:17:16,0,24.211.221.166,100,353,1,2024-04-22 16:17:17,R_5S2XW4ESBZ4jYv1,,,,,36.0558,-78.2612,anonymous,EN,1,1,1,1,1,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,,"Through exposure to scientific experiments and research that prove the claims valid and can be repeated with the same results occurring. ",,3,,5d7cefc73f9ae70018b400f1
2024-04-22 16:03:17,2024-04-22 16:18:19,0,148.75.243.71,100,902,1,2024-04-22 16:18:20,R_5UnlLkBVE5iHtCN,,,,,40.7009,-73.9461,anonymous,EN,1,1,6,1,1,2,1,1,7,1,7,1,7,2,7,1,1,1,11,1,1,1,,,Because I realized that my thinking was not correct.,4,,,,,,,"After thinking about it, I realized  that it does take a year for the sun to go around the earth.",4,,,,,,,,,,100,100,50,50,100,9,,1,6,7,1,1,5,5,7,6,1,4,4,5,,,,,3,No,643edca8dcd599c6fba5e31b
2024-04-22 16:10:02,2024-04-22 16:18:59,0,108.210.38.121,100,536,1,2024-04-22 16:18:59,R_20v34BXov3ocjN9,,,,,35.7832,-91.6369,anonymous,EN,1,1,1,1,8,1,7,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,9,,9,9,9,9,9,9,9,9,9,1,,,,1,,,,2,,640c92a322b87202716ce6a6
2024-04-22 16:09:46,2024-04-22 16:19:14,0,68.173.137.138,100,568,1,2024-04-22 16:19:14,R_2G1f9a8CSAXwJCj,,,,,41.4535,-74.4774,anonymous,EN,1,1,1,1,1,1,1,1,9,1,1,1,1,1,7,1,1,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,,,2,None,603ecd847a63f50124aa5822
