StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,antibiotics_accept,continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,water_know,water_accept,electrons,electrons_confirm,antibiotics,antibiotics_confirm,continents,continents_confirm,sex,sex_confirm,lasers,lasers_confirm,orbit,orbit_confirm,diamonds,diamonds_confirm,speed,speed_confirm,salt,salt_confirm,water,water_confirm,Q1...60,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,BCTI_autism,BCTI_polio,BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,reason_agreement,other_reason_agreement,reason_followup,Q1...84,education,comments,PROLIFIC_PID,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Covid-19 vaccination,Covid-19 vaccine opinions,Vaccine opinions 2,age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,gender,duration_mins,id,BCTI_avg,CMQ_avg,avg_acceptance,avg_knowledge,avg_acceptance_initial
2024-04-22T15:56:04Z,2024-04-22T16:03:34Z,IP Address,71.81.141.193,100,450,True,2024-04-22 16:03:36,R_110ujcLtIz4g969,NA,NA,NA,NA,38.763,-90.5474,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,80,100,100,8,NA,6,8,8,8,4,6,4,4,6,3,2,3,2,NA,NA,NA,NA,Some College,NA,659587f05678e3d1c10c78c4,66266c6915d0218a41720f38,AWAITING REVIEW,Not Applicable,2024-04-22T13:56:00Z,2024-04-22T14:03:39Z,NA,2024-04-22T14:06:11Z,459,CR9UHRS6,463,No,Against (I feel negatively about the vaccines),3(SOMEWHAT DISAGREE),49,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,7.5,11,5.7,96,1,0.8,1
2024-04-22T15:55:18Z,2024-04-22T16:03:36Z,IP Address,24.27.66.191,100,497,True,2024-04-22 16:03:36,R_5NPcHx7pqC3Z1Cs,NA,NA,NA,NA,32.9657,-96.8834,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,FALSE,No,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,I do not know,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,100,100,80,80,8,NA,2,6,7,9,1,5,7,1,7,9,NA,NA,NA,independent verification,NA,Guessed,NA,2-year College Degree,The truth is in the Bible,654274da9d849435fdd00d38,66266c38c619457fc1b13594,AWAITING REVIEW,Not Applicable,2024-04-22T13:55:15Z,2024-04-22T14:03:38Z,NA,2024-04-22T14:06:04Z,504,CR9UHRS6,1176,No,Against (I feel negatively about the vaccines),2 (DISAGREE),65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",male,8.3,12,5.4,84,1,0.7,0.9
2024-04-22T15:58:57Z,2024-04-22T16:04:27Z,IP Address,23.126.202.218,100,330,True,2024-04-22 16:04:28,R_39zwpmIKcK0A1dT,NA,NA,NA,NA,30.0037,-81.7578,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,90,100,80,80,9,NA,5,9,9,4,8,8,8,8,5,2,2,3,3,NA,NA,NA,NA,2-year College Degree,NA,60fec7794a3fad182b902978,66266d1bd1f1306008cf978a,AWAITING REVIEW,Not Applicable,2024-04-22T13:58:55Z,2024-04-22T14:04:30Z,NA,2024-04-22T14:07:25Z,335,CR9UHRS6,2013,No,Against (I feel negatively about the vaccines),3(SOMEWHAT DISAGREE),26,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.5,13,6.6,86,1,0.7,1
2024-04-22T15:53:27Z,2024-04-22T16:04:40Z,IP Address,73.71.170.88,100,672,True,2024-04-22 16:04:40,R_7KACzDyppU9vgXb,NA,NA,NA,NA,38.1025,-122.2132,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,independent verification,NA,"I double-checked the information on Google by looking up various websites, I did go with my initial gut instincts in most cases however if it was wrong upon verifying it then I would change my answer",NA,Less than High School,"It's getting harder to trust scientists, especially with the contrived global warming data that historically doesn't support global warming and the fact that human actions cause it. COVID-19 has also dented my opinion of scientists and what they determine to be in the public's best interest.",616b5241d8eb9504f10a5cb2,66266bcccdca831f532363c1,AWAITING REVIEW,Not Applicable,2024-04-22T13:53:25Z,2024-04-22T14:04:43Z,NA,2024-04-22T14:07:13Z,679,CR9UHRS6,6258,No,Against (I feel negatively about the vaccines),1 (TOTALLY DISAGREEE),59,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time,female,11.216666666666667,14,NA,NA,1,0.8,1
2024-04-22T15:55:49Z,2024-04-22T16:05:25Z,IP Address,172.59.193.18,100,576,True,2024-04-22 16:05:26,R_6COZzLNXVLZN5LK,NA,NA,NA,NA,32.8785,-96.7477,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,20,100,9,NA,5,2,9,9,1,1,5,1,7,1,2,2,2,NA,NA,NA,NA,High School / GED,"I doubt the methodology of climate science as it's not at all a hard science, but rather people essentially playing with computer models of complex systems that cannot account for all variables. That and the climate gate leaks where they talk about massaging the data.  Also generally ""trusting"" science like its some kind of religion is absurd. The replication crisis is a continuing issue with many facets that hamper the credibility of the scientific community https://www.science.org/doi/10.1126/sciadv.abd1705  You can fully believe in the scientific method without at all trusting the garbage that gets published",5f8001ebabc31a000c257ccc,66266c23d662fed260545227,AWAITING REVIEW,Not Applicable,2024-04-22T13:55:45Z,2024-04-22T14:05:31Z,NA,2024-04-22T14:07:55Z,586,CR9UHRS6,238,No,Against (I feel negatively about the vaccines),1 (TOTALLY DISAGREEE),38,Male,White,United States,United States,United States,English,No,Full-Time,male,9.6,15,4.1,84,1,0.9,1
2024-04-22T15:53:29Z,2024-04-22T16:06:04Z,IP Address,108.67.199.222,100,755,True,2024-04-22 16:06:05,R_1iR8M2YkPeFaqPs,NA,NA,NA,NA,35.9306,-86.8788,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,90,80,20,80,3,NA,2,5,4,5,2,7,5,5,5,2,3,3,3,NA,NA,NA,NA,3- or 4-year College Degree,NA,6623d9ae9c4dda6732c407d9,66266bb229e77a77cb284669,AWAITING REVIEW,Not Applicable,2024-04-22T13:53:23Z,2024-04-22T14:06:07Z,NA,2024-04-22T14:08:18Z,764,CR9UHRS6,51,No,Against (I feel negatively about the vaccines),3(SOMEWHAT DISAGREE),40,Female,White,United States,United States,United States,English,No,Full-Time,female,12.583333333333334,16,4.2,74,1,0.5,1
2024-04-22T15:59:09Z,2024-04-22T16:07:07Z,IP Address,71.217.52.18,100,477,True,2024-04-22 16:07:07,R_5KBm3cO7we5rhN7,NA,NA,NA,NA,35.5831,-78.7881,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,100,100,50,90,9,NA,3,5,8,7,1,7,5,3,8,8,2,2,3,NA,NA,NA,NA,2-year College Degree,no,5b22d2c260c40e000103b157,66266d22546a5db0ec7fb5c0,AWAITING REVIEW,Not Applicable,2024-04-22T13:59:06Z,2024-04-22T14:07:09Z,NA,2024-04-22T14:08:56Z,484,CR9UHRS6,1522,No,Against (I feel negatively about the vaccines),1 (TOTALLY DISAGREEE),57,Female,White,United States,United States,United States,English,No,Full-Time,female,7.966666666666667,17,5.5,84,1,0.7,1
2024-04-22T16:01:16Z,2024-04-22T16:07:26Z,IP Address,74.74.147.249,100,370,True,2024-04-22 16:07:27,R_3JQiFuW5L91ZZj6,NA,NA,NA,NA,43.5513,-71.02,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,9,NA,5,9,9,9,1,9,9,5,5,1,NA,NA,NA,independent verification,NA,Prior knowledge from a formal education,NA,High School / GED,Thanks and be well,59565b1bbbb52400017ad4e1,66266da1c5e14911a967766e,AWAITING REVIEW,Not Applicable,2024-04-22T14:01:10Z,2024-04-22T14:07:32Z,NA,2024-04-22T14:09:17Z,382,CR9UHRS6,4539,No,Against (I feel negatively about the vaccines),1 (TOTALLY DISAGREEE),53,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,female,6.166666666666667,18,6.2,100,1,0.6,1
2024-04-22T16:01:32Z,2024-04-22T16:08:18Z,IP Address,24.104.199.104,100,406,True,2024-04-22 16:08:19,R_1fp0NO59VpOqZeN,NA,NA,NA,NA,40.9285,-73.8282,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,60,90,8,NA,1,5,6,9,1,5,5,8,5,2,NA,NA,NA,independent verification,NA,I can check several different sources on the internet and see if they have the same verifiable information.,NA,3- or 4-year College Degree,NA,5ba064c10d4416000157a224,66266c74a8d2ec50d0888c61,AWAITING REVIEW,Not Applicable,2024-04-22T14:01:28Z,2024-04-22T14:08:20Z,NA,2024-04-22T14:10:01Z,413,CR9UHRS6,4473,No,Against (I feel negatively about the vaccines),2 (DISAGREE),33,Male,Black,United States,United States,United States,English,No,Other,male,6.766666666666667,19,4.7,90,1,0.9,1
2024-04-22T15:55:05Z,2024-04-22T16:09:09Z,IP Address,73.224.110.119,100,843,True,2024-04-22 16:09:09,R_1R2rUxRdD9JFHms,NA,NA,NA,NA,30.132,-81.7726,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I think I got it confused in my head. I was thinking 2 oxygen and 1 hydrogen.,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,trust in scientists,NA,NA,NA,Some College,NA,6085bb66296b0a411198d8fd,66266c35f55daf4a15f5e3a5,AWAITING REVIEW,Not Applicable,2024-04-22T13:55:01Z,2024-04-22T14:09:13Z,NA,2024-04-22T14:10:56Z,853,CR9UHRS6,3066,No,Against (I feel negatively about the vaccines),2 (DISAGREE),37,Male,Black,United States,United States,United States,English,No,Full-Time,male,14.066666666666666,20,NA,NA,1,0.8,0.9
2024-04-22T16:06:00Z,2024-04-22T16:09:37Z,IP Address,47.144.29.246,100,217,True,2024-04-22 16:09:38,R_2phajOJD34fcEtV,NA,NA,NA,NA,34.2268,-119.0488,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,independent verification,NA,I use intuition.  I use common sense.,NA,3- or 4-year College Degree,NA,63ea751b7686e752f5ef78b2,66266ec0fa1727055a7c3906,AWAITING REVIEW,Not Applicable,2024-04-22T14:05:57Z,2024-04-22T14:09:40Z,NA,2024-04-22T14:11:18Z,223,CR9UHRS6,3546,No,Against (I feel negatively about the vaccines),2 (DISAGREE),66,Male,White,United States,United States,United States,English,No,Full-Time,male,3.6166666666666667,21,NA,NA,1,0.6,1
