StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,indep_conv_acc_a_I,indep_conv_comp_a_I,indep_conv_acc_b_I,indep_conv_comp_b_I,indep_div_acc_a_I,indep_div_comp_a_I,indep_div_acc_b_I,indep_div_comp_b_I,confl_conv_acc_a_I,confl_conv_comp_a_I,confl_conv_acc_b_I,confl_conv_comp_b_I,confl_div_acc_a_I,confl_div_comp_a_I,confl_div_acc_b_I,confl_div_comp_b_I,indep_conv_acc_a_II,indep_conv_comp_a_II,indep_conv_acc_b_II,indep_conv_comp_b_II,indep_div_acc_a_II,indep_div_comp_a_II,indep_div_acc_b_II,indep_div_comp_b_II,confl_conv_acc_a_II,confl_conv_comp_a_II,confl_conv_acc_b_II,confl_conv_comp_b_II,confl_div_acc_a_II,confl_div_comp_a_II,confl_div_acc_b_II,confl_div_comp_b_II,Q2,Q3,Q4,Q5,PROLIFIC_PID,counter
2022-05-19 10:19:36,2022-05-19 10:22:52,0,92.40.177.220,100,196,1,2022-05-19 10:22:53,R_3rNyeneT2bmN3ay,,,,,51.4964,-0.1224,anonymous,EN,1,"I pay attention ",3,3,4,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,4,5df0d69bfef3dc000ea36cee,4
2022-05-19 10:21:54,2022-05-19 10:23:46,0,94.173.173.19,100,112,1,2022-05-19 10:23:46,R_2AWHRyvPXy3Iw3p,,,,,54.9836,-1.5895,anonymous,EN,1,I pay attention,,,,,,,,,5,5,6,6,2,2,3,2,,,,,,,,,,,,,,,,,,2,26,3,5f197913958d110428c74dc3,4
2022-05-19 10:21:11,2022-05-19 10:24:11,0,82.29.121.169,100,180,1,2022-05-19 10:24:12,R_1eqMYm2mEOcE6Fe,,,,,51.456,-0.0611,anonymous,EN,1,"I pay attention ",,,,,,,,,2,2,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,1,35,3,5dfbfbcc056205911195e2bc,4
2022-05-19 10:21:45,2022-05-19 10:24:24,0,217.35.252.199,100,158,1,2022-05-19 10:24:24,R_1pLmvFAf2Z1mNPI,,,,,53.8365,-1.6466,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,,2,62,8,5eb57a63699cf609603debd9,4
2022-05-19 10:18:58,2022-05-19 10:24:37,0,2.121.250.42,100,338,1,2022-05-19 10:24:37,R_3m7rI0fi7cyi8sN,,,,,52.6281,1.2862,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,8,8,8,8,4,5,6,8,,,,,,,,,,2,52,2,6229f2108ce8fa5133ab0adf,4
2022-05-19 10:22:54,2022-05-19 10:24:57,0,2.24.170.47,100,122,1,2022-05-19 10:24:58,R_3D0xg9URaaW7ck3,,,,,50.1459,-5.1141,anonymous,EN,1,I pay attention,6,6,6,6,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,51,5,56114aa67ffc8a000f81148d,4
2022-05-19 10:21:34,2022-05-19 10:25:08,0,109.156.196.50,100,213,1,2022-05-19 10:25:08,R_1oFmfULN7UbVSXY,,,,,58.9705,-2.9655,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,6,4,5,2,2,,2,37,4,604b7f988450414bb6e95348,4
2022-05-19 10:23:18,2022-05-19 10:25:16,0,81.108.193.178,100,118,1,2022-05-19 10:25:17,R_2QXNtfIvDp1I4ow,,,,,54.5396,-5.975,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,5,5,5,3,3,3,3,,,,,,,,,,2,36,5,5dbcbb8dfc5beb25f7ce98be,4
2022-05-19 10:23:36,2022-05-19 10:25:49,0,195.162.112.105,100,132,1,2022-05-19 10:25:49,R_2cecjYhDfeIqdnL,,,,,53.0848,-1.362,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,3,3,4,4,2,2,2,2,,,,,,,,,,1,47,5,6156eb44180abbb2fd2cb6d8,4
2022-05-19 10:24:06,2022-05-19 10:25:56,0,94.13.102.144,100,109,1,2022-05-19 10:25:56,R_3s5rK6VZPBjQI6h,,,,,53.7981,-1.7623,anonymous,EN,1,I pay attention,6,8,8,8,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,6,5eac3597d327962548ce2cd3,4
2022-05-19 10:21:46,2022-05-19 10:25:59,0,5.68.44.46,100,252,1,2022-05-19 10:25:59,R_3G8wgEYVJ1a84FJ,,,,,51.2483,-1.1266,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,3,4,4,4,3,,1,34,5,5fe09b10da39ca1cf723cc63,4
2022-05-19 10:23:38,2022-05-19 10:26:37,0,151.230.101.93,100,179,1,2022-05-19 10:26:37,R_3IbHoG7iu7ioePc,,,,,57.1453,-2.0945,anonymous,EN,1,I pay attention,,,,,,,,,5,5,5,5,2,2,3,3,,,,,,,,,,,,,,,,,,2,50,6,5c97c9077109140001771b1d,4
2022-05-19 10:25:35,2022-05-19 10:27:06,0,129.12.64.189,100,90,1,2022-05-19 10:27:06,R_8hOEnhyBC5gprDb,,,,,51.279,1.0763,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,2,4,3,3,,2,35,5,5d10e5a200c256001a25d082,4
2022-05-19 10:24:57,2022-05-19 10:27:10,0,92.8.197.50,100,133,1,2022-05-19 10:27:11,R_1f1r20LPlGwXQND,,,,,50.9469,-1.4112,anonymous,EN,1,I pay atention,5,4,5,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,65,3,5e4faf8fc0bead3ee2222c03,4
2022-05-19 10:24:44,2022-05-19 10:27:11,0,147.161.167.73,100,146,1,2022-05-19 10:27:11,R_3mghvVLfGB1LkRC,,,,,51.5074,-0.1196,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,6,4,5,5,2,3,2,3,,,,,,,,,,2,35,3,59ad8df15e7f4800010eefc9,4
2022-05-19 10:26:02,2022-05-19 10:27:40,0,90.218.139.140,100,97,1,2022-05-19 10:27:40,R_2zwNvj2U66CRBA4,,,,,51.9916,-0.7357,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,4,4,6,5,3,3,1,3,,,,,,,,,,2,28,3,613b1b3b5804eb59ba858296,4
2022-05-19 10:21:43,2022-05-19 10:27:54,0,78.148.249.68,100,370,1,2022-05-19 10:27:54,R_BWBM0GNmEh7JTIl,,,,,52.5451,-1.881,anonymous,EN,1,I pay attention,5,4,5,5,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,2,60489f4213c12ef080437aea,4
2022-05-19 10:25:32,2022-05-19 10:28:20,0,80.2.211.32,100,167,1,2022-05-19 10:28:20,R_Wjo0bFMboTyhqoh,,,,,52.6923,-1.8226,anonymous,EN,1,I pay attention,,,,,,,,,6,5,6,6,3,4,2,3,,,,,,,,,,,,,,,,,,2,35,3,5f29a9ad02125b10961c785d,4
2022-05-19 10:26:05,2022-05-19 10:28:45,0,90.193.26.210,100,159,1,2022-05-19 10:28:45,R_2YEYPCZkFS1872q,,,,,52.6261,1.3034,anonymous,EN,1,I pay attention,,,,,,,,,5,5,5,5,6,3,4,4,,,,,,,,,,,,,,,,,,1,36,5,584acd0642041d000125998a,4
2022-05-19 10:26:38,2022-05-19 10:28:45,0,176.250.226.24,100,126,1,2022-05-19 10:28:45,R_3n8ydbHRikzXtQK,,,,,51.9037,-2.0848,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,5,5,5,3,2,2,2,,,,,,,,,,2,35,3,577bfa3c9fecfe0001a5bcbf,4
2022-05-19 10:27:19,2022-05-19 10:28:50,0,212.250.118.138,100,90,1,2022-05-19 10:28:50,R_22RJIhERFQihf4v,,,,,52.2462,-2.1778,anonymous,EN,1,I pay attention,6,6,5,6,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,37,2,5c18c248acd3f30001459833,4
2022-05-19 10:26:54,2022-05-19 10:28:56,0,81.98.138.217,100,121,1,2022-05-19 10:28:56,R_30i3VakBYvwVrCu,,,,,50.8612,-0.1194,anonymous,EN,1,I pay attention,5,5,5,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,2,5f50efe49dd63f29776ce8d6,4
2022-05-19 10:26:35,2022-05-19 10:29:00,0,86.29.99.219,100,144,1,2022-05-19 10:29:01,R_1LupmrYZgI1l9e9,,,,,53.6393,-1.5249,anonymous,EN,1,"I pay attention ",,,,,,,,,5,5,4,4,3,3,3,3,,,,,,,,,,,,,,,,,,2,44,2,5e5ecacb98079209c7b8f685,4
2022-05-19 10:24:51,2022-05-19 10:29:02,0,213.205.241.221,100,251,1,2022-05-19 10:29:03,R_oXGAFwUl2DvpMad,,,,,55.8026,-4.0804,anonymous,EN,1,I pay attention,,,,,,,,,4,4,6,6,3,3,5,5,,,,,,,,,,,,,,,,,,2,66,5,59b51e97c59c9900018d386a,4
2022-05-19 10:26:39,2022-05-19 10:29:03,0,138.38.17.182,100,143,1,2022-05-19 10:29:03,R_2YukkxpYkvpc9ww,,,,,51.2279,-2.5261,anonymous,EN,1,i pay attention,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,3,3,2,2,,2,44,3,5a58f418f6c517000194f047,4
2022-05-19 10:26:53,2022-05-19 10:29:21,0,90.255.188.1,100,147,1,2022-05-19 10:29:21,R_uf71YbTFj89XCox,,,,,52.2445,0.7186,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,5,4,5,4,,2,26,5,5e22161ba8c1114f208db4b8,4
2022-05-19 10:25:16,2022-05-19 10:29:25,0,109.146.206.43,100,249,1,2022-05-19 10:29:25,R_3I3r7m6BK81tIhR,,,,,51.5828,-0.3448,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,6,5,6,6,3,3,3,3,,,,,,,,,,2,47,3,5e8c9ac0d541a403f8e68e45,4
2022-05-19 10:27:45,2022-05-19 10:29:31,0,86.145.223.32,100,105,1,2022-05-19 10:29:31,R_3EK1Id9ngNJ5mT5,,,,,52.6181,-1.1804,anonymous,EN,1,I pay attention,5,3,5,4,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,5,5f280ee4bf123908cbd555b3,4
2022-05-19 10:27:30,2022-05-19 10:29:37,0,155.190.33.7,100,127,1,2022-05-19 10:29:37,R_25ZA5zsV1Xgd2GE,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,,,,,,,,,2,2,1,1,1,1,3,3,,,,,,,,,,,,,,,,,,2,27,6,61011dd1dccad8267930b9bd,4
2022-05-19 10:27:37,2022-05-19 10:29:53,0,86.133.18.159,100,136,1,2022-05-19 10:29:53,R_3NRkzdVzkhd78G0,,,,,53.7911,-2.2107,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,6,6,8,8,5,3,4,4,,1,31,2,5dd3cfb6c5fa303bb64fe22f,4
2022-05-19 10:27:26,2022-05-19 10:29:59,0,86.151.15.213,100,153,1,2022-05-19 10:30:00,R_1Fs6gaa0gocSdQC,,,,,53.0084,-4.1001,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,4,5,4,5,4,5,4,4,,,,,,,,,,1,37,3,6047872d7acd5929140e5103,4
2022-05-19 10:28:30,2022-05-19 10:30:13,0,92.40.204.171,100,103,1,2022-05-19 10:30:14,R_2vhP0RBhLTY9geP,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,6,5,6,5,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,2,5cb1ffae6e3f2c001740dfdf,4
2022-05-19 10:27:19,2022-05-19 10:30:26,0,65.151.151.244,100,186,1,2022-05-19 10:30:26,R_10MjfiSwH4nmWQT,,,,,51.4781,-0.0279,anonymous,EN,1,"I pay attention ",6,6,5,5,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,5,5c48724351f1380001b49717,4
2022-05-19 10:27:22,2022-05-19 10:30:27,0,90.215.21.159,100,184,1,2022-05-19 10:30:27,R_262xdE1P1JqH9w8,,,,,51.5494,-0.3664,anonymous,EN,1,I pay attention,,,,,,,,,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,2,65,3,56cda8a952789e000b3d9925,4
2022-05-19 10:27:31,2022-05-19 10:30:40,0,94.194.120.9,100,188,1,2022-05-19 10:30:40,R_u1BbR7wstzXBQKB,,,,,53.3678,-1.5065,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,3,3,3,,1,70,5,5f0826a25b4d97473e021983,4
2022-05-19 10:28:52,2022-05-19 10:30:50,0,82.1.206.118,100,117,1,2022-05-19 10:30:50,R_pfSRL3SCrNHbqBH,,,,,51.4425,-0.9267,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,1,3,1,3,1,1,1,1,,,,,,,,,,2,34,8,60ac8e56161951beab26e5ea,4
2022-05-19 10:28:56,2022-05-19 10:30:52,0,82.6.93.249,100,115,1,2022-05-19 10:30:52,R_2cdbxM0Q99Wx1xD,,,,,52.0618,1.156,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,6,6,5,5,3,3,2,2,,,,,,,,,,1,32,6,5eadb9ba99443b0a80211eaa,4
2022-05-19 10:27:20,2022-05-19 10:31:12,0,94.3.26.238,100,232,1,2022-05-19 10:31:12,R_25yaowdqFXHqK8S,,,,,52.4064,-1.5082,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,6,5,6,2,2,1,1,,,,,,,,,,2,73,2,563f8474cbd4c6000fdc928b,4
2022-05-19 10:28:33,2022-05-19 10:31:19,0,148.252.129.210,100,165,1,2022-05-19 10:31:19,R_3iVZ0trVWbDYYDS,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,,,,,,,,,4,4,4,4,3,4,3,4,,,,,,,,,,,,,,,,,,2,55,5,573f59f150f5e6000dcc4963,4
2022-05-19 10:27:56,2022-05-19 10:31:21,0,2.27.211.109,100,205,1,2022-05-19 10:31:22,R_1gNthbCCRjwMO4A,,,,,50.368,-4.1329,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,4,4,3,3,,2,34,6,615761b7a319cfaf9e9047ad,4
2022-05-19 10:28:55,2022-05-19 10:31:42,0,82.20.28.93,100,167,1,2022-05-19 10:31:42,R_3n6PAdqcq5hGVyg,,,,,51.4805,-0.0113,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,2,2,2,2,,2,22,5,5e529aaf2ca8272b83162fa0,4
2022-05-19 10:30:16,2022-05-19 10:31:47,0,146.198.140.229,100,90,1,2022-05-19 10:31:47,R_3R3h7OExfS6zsMh,,,,,52.2365,-1.6285,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,6,6,5,5,3,3,3,3,,,,,,,,,,1,28,5,601a7edfb0701c2b958b1b19,4
2022-05-19 10:30:14,2022-05-19 10:31:50,0,82.20.135.216,100,96,1,2022-05-19 10:31:50,R_Qgla9DeQqYiTCz7,,,,,52.7839,-1.6676,anonymous,EN,1,I pay attention,,,,,,,,,5,5,8,8,8,8,3,2,,,,,,,,,,,,,,,,,,1,24,5,61fa95015719bc09cb8350be,4
2022-05-19 10:29:14,2022-05-19 10:31:51,0,217.32.176.84,100,156,1,2022-05-19 10:31:51,R_pB5uBI5iYckuXIt,,,,,52.9928,-3.0544,anonymous,EN,1,I pay attention,5,5,5,5,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,3,59d8c480b656e70001226266,4
2022-05-19 10:28:37,2022-05-19 10:31:53,0,81.101.103.55,100,196,1,2022-05-19 10:31:54,R_2OIIJo03IcXHAXy,,,,,50.8058,-0.3898,anonymous,EN,1,I pay attention,,,,,,,,,2,4,2,4,2,4,2,4,,,,,,,,,,,,,,,,,,2,39,6,582ecbacc2e1310001685463,4
2022-05-19 10:28:54,2022-05-19 10:32:44,0,86.28.219.90,100,229,1,2022-05-19 10:32:44,R_1WVRLKQ51UTNGG5,,,,,53.7881,-1.6008,anonymous,EN,1,I pat attention,8,8,8,8,5,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,3,613a5ae6d5cfaa9ad2980671,4
2022-05-19 10:30:29,2022-05-19 10:32:50,0,46.64.104.47,100,141,1,2022-05-19 10:32:51,R_3nvjyiFKZh0jygy,,,,,51.4623,-2.5502,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,5,5,2,2,,2,22,2,5bdf2ed7ed3acf0001669442,4
2022-05-19 10:30:19,2022-05-19 10:32:53,0,87.114.2.242,100,153,1,2022-05-19 10:32:53,R_3JwTe2WVKpyzbUQ,,,,,53.6745,-1.5835,anonymous,EN,1,I pay attention,,,,,,,,,2,5,2,5,1,4,2,5,,,,,,,,,,,,,,,,,,1,22,5,5ec439fc21dd591193d88d35,4
2022-05-19 10:30:02,2022-05-19 10:32:54,0,143.159.4.240,100,171,1,2022-05-19 10:32:54,R_3GxPq3F9CZ7cChl,,,,,53.4462,-2.107,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,6,6,6,6,4,4,3,3,,,,,,,,,,2,52,6,6229ed79f7a1e9108676da48,4
2022-05-19 10:30:48,2022-05-19 10:33:22,0,92.12.110.217,100,153,1,2022-05-19 10:33:22,R_3rZjUtltV37U8fU,,,,,51.5577,-1.7767,anonymous,EN,1,I pay attention,,,,,,,,,4,4,5,5,5,5,4,4,,,,,,,,,,,,,,,,,,1,38,3,5df0e4b46fa634011f5d018d,4
2022-05-19 10:31:14,2022-05-19 10:33:22,0,90.242.120.61,100,128,1,2022-05-19 10:33:22,R_wXbmT9VuEn2sLi9,,,,,53.7035,-1.4796,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,3,3,3,,2,33,7,5f99d6c96e70f00a97e207f0,4
2022-05-19 10:31:19,2022-05-19 10:33:29,0,94.195.169.77,100,129,1,2022-05-19 10:33:30,R_79adUdfECekiIP7,,,,,51.3249,-0.5681,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,5,5,5,3,3,2,2,,,,,,,,,,2,36,4,5b5762b54e5e7e0001912e3c,4
2022-05-19 10:31:50,2022-05-19 10:33:40,0,88.212.169.51,100,109,1,2022-05-19 10:33:40,R_1n6lV78ibgsyCqp,,,,,51.6781,-1.3537,anonymous,EN,1,i pay attention,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,5,4,4,4,,2,34,3,5ad115d47677430001c8fe5c,4
2022-05-19 10:30:12,2022-05-19 10:33:48,0,81.156.121.100,100,215,1,2022-05-19 10:33:48,R_3HCFBKl4pUNzKjt,,,,,50.4189,-4.0647,anonymous,EN,1,I pay attention,6,6,6,6,4,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,2,5ea98a67b0e52209527635f7,4
2022-05-19 10:30:49,2022-05-19 10:33:52,0,92.30.118.137,100,182,1,2022-05-19 10:33:52,R_3QMIk99KY8Y0lhq,,,,,55.9632,-3.2546,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,5,5,5,2,3,3,3,,,,,,,,,,1,33,5,5f96f554729eab02d6d69e63,4
