DOI,Title,include
10.1007/978-3-030-77626-8_23,"effects of conspiracy thinking style, framing and political interest on accuracy of fake news recognition by social media users: evidence from russia, kazakhstan and …",yes
NA,updating the identity-based model of belief: from false belief to the spread of misinformation,no
NA,the misinformation age: how false beliefs spread,no
NA,social endorsement influences the continued belief in corrected misinformation.,yes
NA,cognitive and emotional correlates of belief in political misinformation: who endorses partisan misbeliefs?,yes
NA,"a bayesian model for false information belief impact, optimal design, and fake news containment",no
NA,covid-19 misinformation: accuracy of articles about coronavirus prevention mostly shared on social media,no
10.7560/314555-013,eleven misinformation and its correction: cognitive mechanisms and recommendations for mass communication,no
10.1145/3555611,who's in the crowd matters: cognitive factors and beliefs predict misinformation assessment accuracy,yes
NA,the health belief model: how public health can address the misinformation crisis beyond covid-19,no
10.1080/0144929X.2020.1829708,the effect of web add-on correction and narrative correction on belief in misinformation depending on motivations for using social media,yes
NA,"lies kill, facts save: detecting covid-19 misinformation in twitter",no
10.1186/s12889-022-14431-y,what predicts people's belief in covid-19 misinformation? a retrospective study using a nationwide online survey among adults residing in the united states,no
NA,the earth is flat because...: investigating llms' belief towards misinformation via persuasive conversation,no
NA,partisanship: the true ally of fake news? a comparative analysis of the effect on belief and spread,yes
NA,“fact-checking” videos reduce belief in but not the sharing of “fake news” on twitter,yes
NA,evaluating smart assistant responses for accuracy and misinformation regarding human papillomavirus vaccination: content analysis study,no
NA,misinformation warnings: twitter's soft moderation effects on covid-19 vaccine belief echoes,yes
NA,misinformation warning labels: twitter's soft moderation effects on covid-19 vaccine belief echoes,yes
NA,understanding and reducing the spread of misinformation online,no
NA,could belief in fake news predict vaccination behavior in the elderly?,no
NA,conformity to misinformation and time delay negatively affect eyewitness confidence and accuracy.,no
10.1145/2872427.2883085,"disinformation on the web: impact, characteristics, and detection of wikipedia hoaxes",no
NA,accuracy and social motivations shape judgements of (mis) information,yes
10.1080/21645515.2021.1967039,"… to get covid-19 vaccines: exploring the role of attitudes, subjective norms, perceived behavioral control, belief in covid-19 misinformation, and vaccine confidence …",no
10.1080/10810730.2022.2130479,a comprehensive examination of association between belief in vaccine misinformation and vaccination intention in the covid-19 context,yes
NA,increasing accuracy motivations using moral reframing does not reduce republicans' belief in false news,yes
10.1007/s10670-023-00710-6,beyond belief: on disinformation and manipulation,no
NA,"… to fall for misinformation: social media use, discussion heterogeneity preference, worry of the virus, faith in scientists, and covid-19-related misinformation …",no
NA,preventing belief in misinformation: current and future directions for the field.,no
NA,accuracy in journalism,no
NA,fighting fake news with accuracy: dual processing perspective,no
NA,intervening on trust in science to reduce belief in covid-19 misinformation and increase covid-19 preventive behavioral intentions: randomized controlled …,no
10.1186/s12889-020-10103-x,misinformation about covid-19: evidence for differential latent profiles and a strong association with trust in science,no
10.1080/1068316X.2013.854788,the effects of immediate recall on eyewitness accuracy and susceptibility to misinformation,no
NA,misinformation and the sins of memory: false-belief formation and limits on belief revision.,no
NA,fighting misinformation among the most vulnerable users,no
NA,the illusory truth effect: a review of how repetition increases belief in misinformation,no
10.3758/s13423-011-0065-1,correcting false information in memory: manipulating the strength of misinformation encoding and its retraction,no
10.1177/20563051231220330,falling for russian propaganda: understanding the factors that contribute to belief in pro-kremlin disinformation on social media,no
10.1002/wcc.665,online misinformation about climate change,no
NA,the relation of online behavioral response to fake news exposure and detection accuracy,yes
NA,feedback exercises boost discernment and longevity for gamified misinformation interventions,yes
10.1201/9781315396705-14,mining misinformation in social media,no
10.1080/09658211.2010.487051,individual differences in false memory from misinformation: cognitive factors,no
NA,misinformation inoculations must be boosted by accuracy prompts to improve judgments of truth,yes
NA,"measles, misinformation, and risk: personal belief exemptions and the mmr vaccine",no
NA,a convolutional approach for misinformation identification.,no
NA,"… in the spread of a health virus: a focus on situational fear, situational threat appraisal, belief in disinformation, and intention to spread disinformation on social media",yes
NA,source-credibility information and social norms improve truth discernment and reduce engagement with misinformation online,yes
NA,"institutional trust and misinformation in the response to the 2018–19 ebola outbreak in north kivu, dr congo: a population-based survey",yes
NA,beyond belief: disinformation strategies and collective knowledge building led by jair bolsonaro in brazil,no
10.1080/10447318.2022.2158263,reducing younger and older adults' engagement with covid-19 misinformation: the effects of accuracy nudge and exogenous cues,yes
NA,topological data analysis helps to improve accuracy of deep learning models for fake news detection trained on very small training sets,no
10.1002/wmh3.544,public trust in sources and channels on judgment accuracy in food safety misinformation with the moderation effect of self‐affirmation: evidence from the hints‐china …,yes
NA,"theorizing the anthropology of belief: magic, conspiracies, and misinformation",no
NA,mean rating difference scores are poor measures of discernment: the role of response criteria,yes
NA,"misinformation: susceptibility, spread, and interventions to immunize the public",no
10.1177/20563051221150412,misinformation on misinformation: conceptual and methodological challenges,no
NA,misinformation in germany during the covid-19 pandemic: a cross-sectional survey on citizens' perceptions and individual differences in the belief in false …,yes
NA,"sustaining exposure to fact-checks: misinformation discernment, media consumption, and its political implications",yes
NA,poligraph: intrusion-tolerant and distributed fake news detection system,no
10.1145/3485447.3511968,cross-modal ambiguity learning for multimodal fake news detection,no
10.1007/s10750-012-1392-6,the propagation and dispersal of misinformation in ecology: is there a relationship between citation accuracy and journal impact factor?,no
NA,… ' inferences of local governments' goals and the relationship between political party and belief in covid-19 misinformation: cross-sectional survey of twitter …,no
10.1177/20563051231179694,"studying the downstream effects of fact-checking on social media: experiments on correction formats, belief accuracy, and media trust",yes
NA,who is susceptible to online health misinformation? a test of four psychosocial hypotheses.,yes
NA,an accuracy self-nudge to reduce misinformation sharing online,no
10.1086/727605,belief in covid-19 misinformation in nigeria,yes
NA,anatomy of fake news: on (mis) information and belief in the age of social media,no
NA,rumor identification and belief investigation on twitter,no
NA,the continued influence of implied and explicitly stated misinformation in news reports.,no
NA,… news game good news? testing whether creating and disseminating fake news about vaccines in a computer game reduces people's belief in anti-vaccine …,yes
NA,disinformation and misinformation through the internet: findings of an exploratory study,no
NA,the psychology of misinformation,no
NA,"misinformation, disinformation, and online propaganda",no
NA,systematic literature review on the spread of health-related misinformation on social media,no
10.1093/ooec/odad051/7277353,sentiment and the belief in fake news during the 2020 presidential primaries,no
NA,effects of inductive learning and gamification on news veracity discernment.,yes
NA,pilot study suggests online media literacy programming reduces belief in false news in indonesia,yes
NA,the impact of analyst-induced misinformation on the requirements elicitation process,no
NA,"fighting the spread of covid-19 misinformation in kyrgyzstan, india, and the united states: how replicable are accuracy nudge interventions?",yes
NA,… of fake news on facebook a novel social network with k-means clustering approach for against principal component analysis method for better accuracy,no
NA,belief in misinformation and acceptance of covid-19 vaccine boosters: a survey analysis,yes
NA,what is disinformation?,no
NA,cancer misinformation and harmful information on facebook and other social media: a brief report,no
NA,covid-19 misinformation trends in australia: prospective longitudinal national survey,yes
NA,how social identity shapes conspiratorial belief,no
10.1177/17579139221136722,low trust in science may foster belief in misinformation by aligning scientifically supported and unsupported statements,no
NA,exploring the relationship between covid-19 vaccine refusal and belief in fake news and conspiracy theories: a nationwide cross-sectional study in italy,yes
NA,"stop and think! exploring the role of news truth discernment, information literacy, and impulsivity in the effect of critical thinking recommendations on trust in fake …",yes
NA,mapping information and identifying disinformation based on digital humanities methods: from accuracy to plasticity,no
NA,… people spread false information online? the effects of message and viewer characteristics on self-reported likelihood of sharing social media disinformation,no
10.1186/s13673-014-0014-x,detecting misinformation in online social networks using cognitive psychology,no
10.1177/1948550614567356,political extremism predicts belief in conspiracy theories,no
NA,children's eyewitness reports after exposure to misinformation from parents.,no
NA,covid-19 misinformation online and health literacy: a brief overview,no
NA,the bad news about fake news,no
10.1145/3449092,exploring lightweight interventions at posting time to reduce the sharing of misinformation on social media,no
NA,machine learning techniques and older adults processing of online information and misinformation: a covid 19 study,yes
NA,the use of data augmentation as a technique for improving neural network accuracy in detecting fake news about covid-19,no
NA,trending facts or misinformation: a study determining accuracy of instagram posts in the context of stroke prevention and management,no
NA,evaluation of accuracy degradation resulting from concept drift in a fake news detection system using emotional expression,no
10.1145/3274327,fake cures: user-centric modeling of health misinformation in social media,no
NA,comparative analysis of identifying accuracy of online misinformation of covid-19 using svm algorithm with logistic regression,no
10.1080/0144929X.2019.1578828,recognise misinformation and verify before sharing: a reasoned action and information literacy perspective,no
NA,"health-protective behaviour, social media usage and conspiracy belief during the covid-19 public health emergency",no
NA,… -enhancing misinformation: social dominance motives are uniquely associated with republicans' belief in and sharing of election-related misinformation,yes
NA,rumor has it: identifying misinformation in microblogs,no
NA,how non-probative photos shape belief,no
10.1146/annurev-polisci-050718-032814,political misinformation,no
NA,ml&ai_iiitranchi@ dravidianlangtech: leveraging transfer learning for the discernment of fake news within the linguistic domain of dravidian language,no
NA,misinformation and government crisis management in south korea: understanding active publics' belief in misinformation about the yemeni refugee issue and its …,no
10.1348/1355325041719428,say it to my face: examining the effects of socially encountered misinformation,no
NA,spread of misinformation on social media: what contributes to it and how to combat it,no
NA,exploring the impact of social media exposure patterns on people's belief in fake news during covid-19: a cross-gender study,no
NA,cognitive substrates of belief in fake news,no
NA,"introduction: the social and political dynamic of conspiracy theories, rumours, fake news, and belief narratives",no
NA,"public attitudes toward covid-19 vaccination: the role of vaccine attributes, incentives, and misinformation",no
NA,public health and online misinformation: challenges and recommendations,no
NA,examining accuracy-prompt efficacy in combination with using colored borders to differentiate news and social content online,no
NA,reducing misinformation sharing at scale using digital accuracy prompt ads,no
NA,evaluation of fake news detection with knowledge-enhanced language models,no
10.1007/978-981-16-9756-2_2,fake news detection through ml and deep learning approaches for better accuracy,no
NA,"mikuliciut e, v.; ivleva, v. could belief in fake news predict vaccination behavior in the elderly",yes
NA,reducing misinformation effects in older adults with cognitive interview mnemonics.,yes
NA,sources of misinformation in online social networks: who to suspect?,no
NA,"cognitive reflection is associated with greater truth discernment for covid-19 headlines, less trust but greater use of formal information sources, and greater …",yes
NA,comparative analysis of machine learning algorithms for detecting fake news: efficacy and accuracy in the modern information ecosystem,no
NA,the partisan brain: an identity-based model of political belief,no
10.1007/s41060-022-00311-6,the disaster of misinformation: a review of research in social media,no
NA,the impact of news media and digital platform use on awareness of and belief in covid-19 misinformation,yes
NA,"misinformation can influence memory for recently experienced, highly stressful events",no
10.1111/pops.12494,political attitudes and the processing of misinformation corrections,yes
NA,memory and belief updating following complete and partial reminders of fake news,no
NA,a conceptual analysis of disinformation,no
10.1177/1461444817712086,the agenda-setting power of fake news: a big data analysis of the online media landscape from 2014 to 2016,no
10.1111/j.2044-8333.1998.tb00366.x,memory quality and misinformation for peripheral and central objects,no
10.1145/3274351,linguistic signals under misinformation and fact-checking: evidence from user comments on social media,no
10.1177/17470218221111750,combining refutations and social norms increases belief change,no
NA,understanding partisan bias in fake news belief and sharing,yes
NA,investigating and improving the accuracy of us citizens' beliefs about the covid-19 pandemic: longitudinal survey study,yes
NA,a prospective investigation of the vulnerability of memory for positive and negative emotional scenes to the misinformation effect.,no
NA,democracy and trust: the troubling role of education in misinformation belief,yes
NA,searching for the backfire effect: measurement and design considerations,no
10.1002/gch2.201600008,inoculating the public against misinformation about climate change,yes
10.3758/mc.38.8.1087,explicit warnings reduce but do not eliminate the continued influence of misinformation,yes
10.1073/pnas.1517441113,the spreading of misinformation online,no
NA,nlp-based feature extraction for the detection of covid-19 misinformation videos on youtube,no
NA,machine learning in detecting covid-19 misinformation on twitter,no
NA,correcting vaccine misinformation: recognition and effects of source type on misinformation via perceived motivations and credibility,yes
10.1145/3373464.3373475,"misinformation in social media: definition, manipulation, and detection",no
NA,correction effects on the perceived accuracy of fake news headlines over time: the critical role of recollecting corrections,yes
NA,quantifying the reach and belief in covid-19 misinformation,yes
NA,blatantly false news increases belief in news that is merely implausible.,no
NA,misinformation belief and trust in local authority: a multilevel modelling of covid-19 vaccine confidence in 14 asia-pacific countries,yes
NA,new explainability method for bert-based model in fake news detection,no
10.1002/meet.2011.14504801133,notes from the underground city of disinformation: a conceptual investigation,no
NA,maladies in the misinformation marketplace,no
NA,tackling misinformation: what researchers could do with social media data,no
10.1080/10584609.2020.1716500,defining misinformation and understanding its bounded nature: using expertise and evidence for describing misinformation,no
10.1007/978-3-319-07121-3_8,the varieties of disinformation,no
10.1145/3625007.3627308,plncc: leveraging new data features for enhanced accuracy of fake news detection,no
10.1145/3313831.3376232,will the crowd game the algorithm? using layperson judgments to combat misinformation on social media by downranking distrusted sources,yes
NA,comparison of accuracy in naive bayes algorithm with gradient boosting algorithm in detection of fake news,no
10.1088/1748-9326/aaa49f,deconstructing climate misinformation to identify reasoning errors,no
NA,images and misinformation in political groups: evidence from whatsapp in india,yes
NA,comparative analysis of identifying accuracy of online misinformation of covid-19 using svm algorithm with decision tree classification.,no
NA,the emotion-induced belief-amplification effect.,no
10.1002/widm.1385,combating disinformation in a social media age,no
10.1186/s41235-020-00241-6,can corrections spread misinformation to new audiences? testing for the elusive familiarity backfire effect,yes
NA,the effect of race of the perpetrator and misinformation on eyewitness accuracy and confidence,no
NA,abortion misinformation from crisis pregnancy centers in north carolina,no
NA,towards better truth discernment on social media,no
NA,the effect of misinformation and a mental reinstatement on children's recall accuracy,no
NA,7 does neurocognition contribute to age-related differences in the accuracy and sharing of covid-19 misinformation?,yes
NA,"ideological asymmetries in conformity, desire for shared reality, and the spread of misinformation",no
10.1007/978-981-99-0550-8_8,optimization accuracy on an intelligent approach to detect fake news on twitter using lstm neural network,no
NA,"misinformation, disinformation, and violent conflict: from iraq and the “war on terror” to future threats to peace.",no
NA,misinformation & misbeliefs: cross-belief communication strategies amid the covid-19 pandemic,no
NA,comparison of random forest with k-nearest neighbors to detect fake news with improved accuracy,no
10.1177/0963721410396620,current issues and advances in misinformation research,no
NA,the effects of counterfactual priming on belief in fake news,yes
NA,analytics and visualization of detecting fake news contents accuracy.,no
NA,the accuracy of self-reported data and prediction of political activity,no
NA,from hype to reality: revealing the accuracy and robustness of transformer-based models for fake news detection,no
NA,factors associated with belief or disbelief in false news: from the perspective of elaboration likelihood and moderating effect model,no
NA,covid-19 misinformation: mere harmless delusions or much more? a knowledge and attitude cross-sectional study among the general public residing in …,yes
10.1145/2740908.2742572,fact-checking effect on viral hoaxes: a model of misinformation spread in social networks,no
10.1007/s13235-010-0004-1,opinion dynamics and learning in social networks,no
10.1177/1065912915621621,what drives conspiratorial beliefs? the role of informational cues and predispositions,no
NA,misinformation in germany during the covid-19 pandemic: a cross-sectional survey on citizens' perceptions and individual differences in the belief in false …,yes
NA,belief updating with misinformation,no
NA,detecting health misinformation in online health communities: incorporating behavioral features into machine learning based approaches,no
10.1080/13691058.2012.664659,misinformation and fear of side-effects of family planning,no
NA,neutralizing misinformation through inoculation: exposing misleading argumentation techniques reduces their influence,yes
NA,towards automated real-time detection of misinformation on twitter,no
NA,the allhat report: a case of information and misinformation,no
NA,"the influence of political ideology on fake news belief: the portuguese case. publications 2021, 9, 23",yes
NA,online misinformation and vaccine hesitancy,no
NA,fake news stance detection using stacked ensemble of classifiers,no
NA,i don't think that's what really happened: the effect of cross-examination on the accuracy of children's reports.,no
NA,detection of fake news using machine learning algorithms,no
NA,the efficacy of interventions in reducing belief in conspiracy theories: a systematic review,no
NA,youtube as a source of information on covid-19: a pandemic of misinformation?,no
NA,"depolarization in the rise of far-right platforms? a moderated mediation model on political identity, misinformation belief and voting behavior in the 2020 us …",no
NA,"the “echo chamber” distraction: disinformation campaigns are the problem, not audience fragmentation.",no
NA,measuring the accuracy and learnability of tools in the struggle against misinformation in social media applications,no
10.1080/21645515.2021.1950504,covid-19 vaccine hesitancy: misinformation and perceptions of vaccine safety,yes
NA,can media literacy interventions improve fake news discernment? a meta-analysis,no
NA,reminders and repetition of misinformation: helping or hindering its retraction?,no
NA,"open-mindedness, rational confidence, and belief change",no
NA,tsetlin machine for fake news detection: enhancing accuracy and reliability,no
10.1108/JD-05-2017-0075,algorithmic detection of misinformation and disinformation: gricean perspectives,no
NA,"fake news discernment, overall belief in fake news, and socioeconomic status",yes
NA,pilot study suggests online media literacy programming reduces belief in false news in indonesia,yes
NA,can authority influence misinformation? the relationship between misinformation and eyewitness accuracy,no
NA,fake news detection with the help of computation time to increase accuracy,no
10.1080/0144929X.2024.2326562,a majority-based learning system for detecting misinformation,no
NA,"college students' fake news discernment: critical thinking, locus of control, need for cognition, and the ability to discern fact from opinion",yes
10.1002/polq.12398,do facts matter? information and misinformation in american politics,no
NA,emotional language reduces belief in false claims,yes
NA,prevalence of health misinformation on social media: systematic review,no
NA,sources of the continued influence effect: when misinformation in memory affects later inferences.,no
10.1162/opmi_a_00056/111216,social prevalence is rationally integrated in belief updating,no
NA,the health belief model misinformation framework: examining the impact of misinformation on vaccine uptake through individual and sociological factors,yes
10.1007/s12652-022-04499-0,mul-fad: attention based detection of multilingual fake news,no
NA,fake news detection on social media: a word embedding-based approach,no
NA,the effects of repetition on belief in naturalistic settings.,no
NA,bytesizedllm@ dravidianlangtech 2024: fake news detection in dravidian languages-unleashing the power of custom subword tokenization with subword2vec and …,no
NA,analyzing misinformation: perceptions of congressional candidates' ideologies,no
10.1177/20539517211013868,towards psychological herd immunity: cross-cultural evidence for two prebunking interventions against covid-19 misinformation,yes
NA,"rumors, truths, and reality: a study of political misinformation",yes
NA,fact or fake? an analysis of disinformation regarding the covid-19 pandemic in brazil,yes
10.1007/s10339-019-00919-w,parents' beliefs in misinformation about vaccines are strengthened by pro-vaccine campaigns,yes
NA,battling the coronavirus 'infodemic'among social media users in kenya and nigeria,no
NA,memory accuracy for emotional and neutral narratives: investigating the influence of suggestive misinformation on the frequency of false memories,no
NA,influences of misleading postevent information: misinformation interference and acceptance.,no
NA,political partisanship and belief in misinformation: operationalizing theory of planned behavior to predict intentions to quit social media: predicting intention to quit …,no
NA,position of the american dietetic association: food and nutrition misinformation,no
NA,emotional dynamics in the age of misinformation,no
NA,measuring belief dynamics on twitter,no
NA,sams: human-in-the-loop approach to combat the sharing of digital misinformation,no
NA,tribalism and fake news: descriptive and predictive models on how belief influences news trust,no
10.1093/joc/jqae007/7625162,empowering social media users: nudge toward self-engaged verification for improved truth and sharing discernment,yes
NA,information battleground: conflict perceptions motivate the belief in and sharing of fake news about the adversary,yes
NA,belief in fake news and prevention behaviors of covid-19: moderating effect of belief in a just world,yes
NA,addressing covid-19 misinformation on social media preemptively and responsively,no
NA,when do adolescents fall for fake news? effect of message length and emotional content on adolescents' perceived accuracy of fake news message,yes
10.1111/jcom.12166,"in related news, that was wrong: the correction of misinformation through related stories functionality in social media",no
NA,misinformation on tiktok: does it increase false belief and can debunking videos remediate it?,yes
10.1111/j.2044-835X.1987.tb01048.x,three‐year‐olds' difficulty with false belief: the case for a conceptual deficit,no
10.7560/314555-021,misinformation and mass audiences,no
NA,misinformation effects in eyewitness memory: the presence and absence of memory impairment as a function of warning and misinformation accessibility.,no
NA,the continued influence of misinformation in memory: what makes a correction effective?,no
NA,"social media, political polarization, and political disinformation: a review of the scientific literature",no
10.1126/science.369.6499.14,officials gird for a war on vaccine misinformation,no
NA,verify: breakthrough accuracy in the urdu fake news detection using text classification,no
NA,"artificial intelligence and disinformation: how ai changes the way disinformation is produced, disseminated, and can be countered",no
NA,fake news detection in low-resourced languages “kurdish language” using machine learning algorithms,no
NA,"social corrections act as a double-edged sword by reducing the perceived accuracy of false and real news in the uk, germany, and italy",yes
10.1007/978-981-15-5258-8_60,a study on discernment of fake news using machine learning algorithms,no
NA,how education level and social media use increase belief in misinformation,yes
NA,media manipulation and disinformation online,no
10.3758/s13421-013-0359-9,pilgrims sailing the titanic: plausibility effects on memory for misinformation,no
NA,"against publishing without belief: fake news, misinformation, and perverse publishing incentives",no
NA,an ecologically and externally valid approach to assessing belief in popular misinformation,no
10.1145/3392854,measuring misinformation in video search platforms: an audit study on youtube,no
NA,misinformation as a misunderstood challenge to public health,no
NA,information literacy and the societal imperative of information discernment,yes
NA,cognitive science and fake news belief: an exploratory study,yes
NA,significance of fake news on individual differences in belief; case study of election fraud after the 2020 us election,yes
10.1007/s13278-020-00696-x,deep learning for misinformation detection on online social networks: a survey and new perspectives,no
10.4324/9780429433726-16,belief change,no
NA,information and disinformation: social media in the covid‐19 crisis,no
10.1145/3184558.3188730,online misinformation: challenges and future directions,no
10.3758/bf03209454,a theoretical review of the misinformation effect: predictions from an activation-based memory model,no
NA,""" fact-checking"" videos reduce belief in misinformation and improve the quality of news shared on twitter",yes
10.1186/s12889-024-17832-3,canadians' knowledge of cancer risk factors and belief in cancer myths,no
NA,“with a little help from my friends…”: the role of co-witness relationship in susceptibility to misinformation,no
10.1146/annurev-publhealth-071321-031118,health misinformation exposure and health disparities: observations and opportunities,no
NA,fake news and covid-19: modelling the predictors of fake news sharing among social media users,no
10.1145/3411764.3445642,perverse downstream consequences of debunking: being corrected by another user for posting false political news increases subsequent sharing of low quality …,no
NA,truth of varying shades: analyzing language in fake news and political fact-checking,no
NA,from skepticism to acceptance: simulating the attitude dynamics toward fake news,no
NA,the influence of political memes on belief on fake news: a dual process theory perspective,no
10.3233/APC220068,improved accuracy for fake news in social media using logistic regression comparing naive bayes classifier,no
NA,automatic identification of fake news circulation in social media using logistic regression over naïve bayes and xg boost algorithm to improve accuracy,no
10.1007/S10796-022-10242-Z,fake news on social media: the impact on society,no
NA,"types, sources, and claims of covid-19 misinformation",no
NA,infodemic and fake news–a comprehensive overview of its global magnitude during the covid-19 pandemic in 2021: a scoping review,no
NA,try accuracy prompts to reduce the spread of misinformation online,no
NA,covid-19 on social media: analyzing misinformation in twitter conversations,no
NA,anti-vax: a novel twitter dataset for covid-19 vaccine misinformation detection,no
NA,who believes what? singers' belief in vocal health information and misinformation,yes
NA,can machine learning algorithms really stop fake news in its tracks?,no
10.1177/10776990211035395,"visual mis-and disinformation, social media, and democracy",no
10.1177/2056305121988928,disinformation and the structural transformations of the public arena: addressing the actual challenges to democracy,no
NA,what's in the box? the effect of negative corrections on children's belief in misinformation,no
NA,measuring belief in fake news in real-time invited talk,no
NA,improving spam detection in online social networks,no
NA,"network propaganda: manipulation, disinformation, and radicalization in american politics",no
NA,the power of emotion versus the power of suggestion: memory for emotional events in the misinformation paradigm.,no
NA,misinfo belief frames: a case study on covid &climate news,no
NA,accuracy in spotting misinformation about covid-19: a pilot intervention and the role of political affiliation,yes
NA,bard summarizes the content of “trust in science and belief in misinformation mediate the effects of political orientation on vaccine hesitancy and intention to be …,no
NA,"the electoral misinformation nexus: how news consumption, platform use, and trust in news influence belief in electoral misinformation",no
NA,does suspension of disbelief–and of belief-explain the phenomenon of welcoming fake news?,no
NA,warning witnesses of the possibility of misinformation helps protect their memory accuracy,no
NA,information disorder: the essential glossary,no
NA,research note: explicit voter fraud conspiracy cues increase belief among co-partisans but have broader spillover effects on confidence in elections,no
NA,two stage transformer model for covid-19 fake news detection and fact checking,no
NA,"misperceptions, misinformation and myths about modern contraceptive use in ghana",no
10.1145/3610061,examining the impact of provenance-enabled media on trust and accuracy perceptions,no
NA,"brashier, n., kendeou, p., vraga, ek, &amazeen, ma (2022). the psychological drivers of misinformation belief and its resistance to correction. nature reviews …",yes
NA,anatomy of fake news: on (mis) information and belief in the age of social media,no
NA,insight into the accuracy of covid-19 beliefs predicts behavior during the pandemic,yes
NA,accuracy and social incentives shape belief in (mis) information,yes
NA,the role of advertisers and platforms in monetizing misinformation: descriptive and experimental evidence,no
NA,disinformation and misinformation on twitter during the novel coronavirus outbreak,no
NA,ai-powered tool identifies fake news with 98% accuracy,no
NA,sentiment analysis of covid-19 tweets by deep learning classifiers—a study to show how popularity is affecting accuracy in social media,no
10.1002/bco2.200,accuracy of prostate cancer screening recommendations for high‐risk populations on youtube and tiktok,no
NA,combat covid-19 infodemic using explainable natural language processing models,no
NA,social media and vaccine hesitancy,no
10.1177/2056305120935102,misinformation on instagram: the impact of trusted endorsements on message credibility,no
10.1111/j.2044-835X.2011.02052.x,chinese preschoolers' implicit and explicit false‐belief understanding,no
NA,fake news detection for arabic headlines-articles news data using deep learning.,no
NA,the earth is flat because...: investigating llms' belief towards misinformation via persuasive conversation,no
NA,debunking political disinformation through journalists' perceptions: an analysis of colombia's fact-checking news practices,no
NA,accuracy measure for identification of fake blog articles in social website using random forest over support vector machine,no
NA,and that's the way it was?: eyewitness accuracy and the misinformation effect.,no
10.1007/s13278-024-01216-x,automatic detection of fake tweets about the covid-19 vaccine in portuguese,no
10.1145/3544549.3585719,investigating perceived message credibility and detection accuracy of fake and real information across information types and modalities.,yes
10.1007/s10584-018-2192-4,correcting misinformation about climate change: the impact of partisanship in an experimental setting,yes
NA,lexicon of lies: terms for problematic information,no
NA,vax attacks: how conspiracy theory belief undermines vaccine support,no
NA,“fact-checking” videos improve truth discernment ability but do not reduce fake news sharing on twitter,yes
NA,cuetsentimentsillies@ dravidianlangtech eacl2024: transformer-based approach for detecting and categorizing fake news in malayalam language,no
NA,belief in conspiracy theory of covid-19: a physicological point of view on political trust and intensity of social media use,no
NA,unfamiliar voice identification: effect of post-event information on accuracy and voice ratings,no
10.1111/1467-8721.00182,accepting threatening information: self–affirmation and the reduction of defensive biases,no
10.1007/s13278-024-01201-4,a two-stage framework for arabic social media text misinformation detection combining data augmentation and arabert,no
10.4324/9781315789095-10,multiple mechanisms mediate individual differences in eyewitness accuracy and suggestibility,no
NA,cognitive differences and media accuracy discernment in college students,yes
NA,"… . see transparency, platform society accuracy vs. directional goals, and adjustment to misinformation correction, 172–173 accurate information vs. misinformation",no
NA,memory interference and misinformation effects,no
NA,punny_punctuators@ dravidianlangtech-eacl2024: transformer-based approach for detection and classification of fake news in malayalam social media text,no
10.1177/00936502221138428,the effects of corrective strategies on romantic belief endorsement,no
NA,countering misinformation through psychological inoculation,yes
