Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
124,"B Swire‐Thompson, UKH Ecker…","They might be a liar but they're my liar: Source evaluation and the prevalence of misinformation",2020,"Political …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pops.12586","https://scholar.google.com/scholar?cites=7618443763134107977&as_sdt=2005&sciodt=0,5&hl=en",11,"2024-03-22 09:49:39","","10.1111/pops.12586","","",,,,,124,31.00,41,3,4,"… Next, we performed a 2 × 2 × 2 between-within ANOVA on the misinformation belief scores, with the within-subjects factor fact-check (pre vs. post) and the between-subjects factor …","https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/pops.12586","https://scholar.google.com/scholar?q=related:SRHmAj0mumkJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
42,"G Pennycook, DG Rand","Assessing the effect of “disputed” warnings and source salience on perceptions of fake news accuracy",2017,"… Network https://papers. ssrn. com/sol3 …","scholar.archive.org","https://scholar.archive.org/work/pbwu7vydcfc2tkm2lngeptqbhq/access/wayback/https://poseidon01.ssrn.com/delivery.php?ID=407026027094100097094096024116000109116084085079093023074103118105026108117066068010048042116060045034000102113119005096081030000017091018092098094077077097066022026014048001103113085116103097086127067075030100066115125001018079067102102029077073075003&EXT=pdf","https://scholar.google.com/scholar?cites=9233072704865827347&as_sdt=2005&sciodt=0,5&hl=en",12,"2024-03-22 09:49:39","PDF","","","",,,,,42,6.00,21,2,7,"… techniques for combating belief in fake news? Tagging fake … on perceptions of accuracy across seven experiments (total N… did significantly reduce their perceived accuracy relative to a …","https://scholar.archive.org/work/pbwu7vydcfc2tkm2lngeptqbhq/access/wayback/https://poseidon01.ssrn.com/delivery.php?ID=407026027094100097094096024116000109116084085079093023074103118105026108117066068010048042116060045034000102113119005096081030000017091018092098094077077097066022026014048001103113085116103097086127067075030100066115125001018079067102102029077073075003&EXT=pdf","https://scholar.google.com/scholar?q=related:E_rhxrR2IoAJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
8,"PL Kemp, VM Loaiza, CN Wahlheim","Fake news reminders and veracity labels differentially benefit memory and belief accuracy for news headlines",2022,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-022-25649-6","https://scholar.google.com/scholar?cites=4785267683159369709&as_sdt=2005&sciodt=0,5&hl=en",13,"2024-03-22 09:49:39","HTML","","","",,,,,8,4.00,3,3,2,"… news corrections or only fake news would improve memory and belief accuracy by providing details that can be recollected to accept (for real news) and reject (for fake news) headlines. …","https://www.nature.com/articles/s41598-022-25649-6","https://scholar.google.com/scholar?q=related:7efeuZqvaEIJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
103,"C Batailler, SM Brannon, PE Teas…","A signal detection approach to understanding the identification of fake news",2022,"Perspectives on …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1745691620986135","https://scholar.google.com/scholar?cites=11717232355538834070&as_sdt=2005&sciodt=0,5&hl=en",14,"2024-03-22 09:49:39","","10.1177/1745691620986135","","",,,,,103,51.50,26,4,2,"… people’s susceptibility to fake news is driven by belief-unrelated differences in cognitive reflection. According to these accounts, belief in fake news reflects insufficient analytic thinking …","https://journals.sagepub.com/doi/pdf/10.1177/1745691620986135","https://scholar.google.com/scholar?q=related:lhKbLr_4m6IJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
72,"A Pereira, E Harris…","Identity concerns drive belief: The impact of partisan identity on the belief and dissemination of true and false news",2023,"Group Processes & …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/13684302211030004","https://scholar.google.com/scholar?cites=3957273218523673470&as_sdt=2005&sciodt=0,5&hl=en",15,"2024-03-22 09:49:39","","10.1177/13684302211030004","","",,,,,72,72.00,24,3,1,"… Although our research was motivated by the need to understand misinformation belief, we theorized that similar psychological processes should lead people to (dis)believe real news. …","https://journals.sagepub.com/doi/pdf/10.1177/13684302211030004","https://scholar.google.com/scholar?q=related:fjNFlQYP6zYJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
10,"G Pennycook, TD Cannon…","Implausibility and illusory truth: Prior exposure increases perceived accuracy of fake news but has no effect on entirely implausible statements",2018,"Forthcoming in Journal …","bear.warrington.ufl.edu","http://bear.warrington.ufl.edu/brenner/mar7588/Papers/pennycook-ssrn2017.pdf","https://scholar.google.com/scholar?cites=13753884650501162144&as_sdt=2005&sciodt=0,5&hl=en",16,"2024-03-22 09:49:39","PDF","","","",,,,,10,1.67,3,3,6,"… We next sought to assess the robustness of our finding that repetition increases perceptions of fake news accuracy by making two important changes to the design of Study 2. First, we …","http://bear.warrington.ufl.edu/brenner/mar7588/Papers/pennycook-ssrn2017.pdf","https://scholar.google.com/scholar?q=related:oMTR6jed374J:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
310,"C Buntain, J Golbeck","Automatically identifying fake news in popular twitter threads",2017,"2017 IEEE international conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8118443/","https://scholar.google.com/scholar?cites=540756150593901105&as_sdt=2005&sciodt=0,5&hl=en",17,"2024-03-22 09:49:39","","","","",,,,,310,44.29,155,2,7,"… This paper develops a method for automating fake news detection on Twitter by learning to … our accuracy prediction model correctly classifies two-thirds of the Twitter fake news stories …","https://arxiv.org/pdf/1705.01613","https://scholar.google.com/scholar?q=related:MdJBmtomgQcJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
81,"M Alsyouf, P Stokes, D Hur, A Amasyali…","'Fake News' in urology: evaluating the accuracy of articles shared on social media in genitourinary malignancies",2019,"BJU …","Wiley Online Library","https://bjui-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bju.14787","https://scholar.google.com/scholar?cites=14695005193964928252&as_sdt=2005&sciodt=0,5&hl=en",18,"2024-03-22 09:49:39","","10.1111/bju.14787","","",,,,,81,16.20,16,5,5,"… Misinformation may lead … accuracy of the most popular articles shared across social media pertaining to genitourinary malignancy topics, and to identify the prevalence of misinformation …","https://scholar.google.com/scholar?output=instlink&q=info:_LzMzl0l78sJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=15583320325406188538&oi=lle","https://scholar.google.com/scholar?q=related:_LzMzl0l78sJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
31,"PL Moravec, A Kim, AR Dennis…","Do you really know if it's true? How asking users to rate stories affects belief in fake news on social media",2022,"Information Systems …","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/isre.2021.1090","https://scholar.google.com/scholar?cites=5361435588414006895&as_sdt=2005&sciodt=0,5&hl=en",19,"2024-03-22 09:49:39","","10.1287/isre.2021.1090","","",,,,,31,15.50,8,4,2,"Research has shown that consuming ratings influences purchase decisions in e-commerce and also has modest effects on belief in news articles on social media. However, we do not …","https://scholarspace.manoa.hawaii.edu/bitstream/10125/60094/1/0654.pdf","https://scholar.google.com/scholar?q=related:b-aN9UKlZ0oJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
124,"S Chambers","Truth, deliberative democracy, and the virtues of accuracy: is fake news destroying the public sphere?",2021,"Political Studies","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0032321719890811","https://scholar.google.com/scholar?cites=9527961254003746894&as_sdt=2005&sciodt=0,5&hl=en",20,"2024-03-22 09:49:39","","10.1177/0032321719890811","","",,,,,124,41.33,124,1,3,"… fake news. The question I ask in this article is, do the epistemic uncertainties connected … fake news represent just another layer to our mediatized access to factual truth, or is fake news …","https://journals.sagepub.com/doi/full/10.1177/0032321719890811","https://scholar.google.com/scholar?q=related:TiiUekceOoQJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
105,"BA Lyons, JM Montgomery, AM Guess…","Overconfidence in news judgments is associated with false news susceptibility",2021,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/doi/abs/10.1073/pnas.2019527118","https://scholar.google.com/scholar?cites=11119297684588968300&as_sdt=2005&sciodt=0,5&hl=en",21,"2024-03-22 09:49:39","","10.1073/pnas.2019527118","","",,,,,105,35.00,26,4,3,"… Building on prior studies of perceptual bias in self-assessments, we test for a Dunning–Kruger effect (DKE) in false news discernment. The DKE describes a general tendency of poor …","https://www.pnas.org/doi/pdf/10.1073/pnas.2019527118?download=true","https://scholar.google.com/scholar?q=related:bLm_4VSuT5oJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
792,"G Pennycook, DG Rand","Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking",2020,"Journal of personality","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12476","https://scholar.google.com/scholar?cites=714448492465183290&as_sdt=2005&sciodt=0,5&hl=en",22,"2024-03-22 09:49:39","","10.1111/jopy.12476","","",,,,,792,198.00,396,2,4,"… fake news accuracy, bullshit receptivity, and cognitive reflection, we selected six fake news … We predicted that perceptions of fake news accuracy would correlate positively with bullshit …","https://dspace.mit.edu/bitstream/handle/1721.1/135508/SSRN-id3023545.pdf?sequence=2&isAllowed=y","https://scholar.google.com/scholar?q=related:OlqzWx476gkJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
681,"VL Rubin, N Conroy, Y Chen…","Fake news or truth? using satirical cues to detect potentially misleading news",2016,"Proceedings of the …","aclanthology.org","https://aclanthology.org/W16-0802.pdf","https://scholar.google.com/scholar?cites=3149541430832693095&as_sdt=2005&sciodt=0,5&hl=en",23,"2024-03-22 09:49:39","PDF","","","",,,,,681,85.13,170,4,8,"… news can intentionally create a false belief in the readers’ … detection that reaches relatively high accuracy rates (90% … Practically, this study frames fake news as a worthy target for fil…","https://aclanthology.org/W16-0802.pdf","https://scholar.google.com/scholar?q=related:Z38ojj5rtSsJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
105,"O Candogan, K Drakopoulos","Optimal signaling of content accuracy: Engagement vs. misinformation",2020,"Operations Research","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/opre.2019.1897","https://scholar.google.com/scholar?cites=15722616363372206350&as_sdt=2005&sciodt=0,5&hl=en",24,"2024-03-22 09:49:39","","10.1287/opre.2019.1897","","",,,,,105,26.25,53,2,4,"… The optimal (in terms of engagement/ misinformation) … In the case where the platform seeks only to minimize misinformation (… We also study the frontier of the engagement/misinformation …","https://pdfs.semanticscholar.org/cb1f/7c42fc5a0cd33856f0f4445d4e98cefc64ef.pdf","https://scholar.google.com/scholar?q=related:DlmLzkf0MdoJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
42,"R Maertens, FM Götz, HF Golino, J Roozenbeek…","The Misinformation Susceptibility Test (MIST): A psychometrically validated measure of news veracity discernment",2023,"Behavior Research …","Springer","https://link.springer.com/article/10.3758/s13428-023-02124-2","https://scholar.google.com/scholar?cites=18012581771642506577&as_sdt=2005&sciodt=0,5&hl=en",25,"2024-03-22 09:49:39","HTML","10.3758/s13428-023-02124-2","","",,,,,42,42.00,8,5,1,"… However, as misinformation has the potential to spread faster (Brady et al., 2017; Vosoughi … a general discernment ability as well as both real news detection and fake news detection, in …","https://link.springer.com/article/10.3758/s13428-023-02124-2","https://scholar.google.com/scholar?q=related:UY1twq-L-fkJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
37,"DP Calvillo, AM Rutchick, RJB Garcia","Individual differences in belief in fake news about election fraud after the 2020 US election",2021,"Behavioral Sciences","mdpi.com","https://www.mdpi.com/2076-328X/11/12/175","https://scholar.google.com/scholar?cites=7507862822555615436&as_sdt=2005&sciodt=0,5&hl=en",26,"2024-03-22 09:49:39","HTML","","","",,,,,37,12.33,12,3,3,"… Having a college degree was not significantly related to belief in fake news. Many of the … To examine the unique variance in belief in false news explained by each predictor, we …","https://www.mdpi.com/2076-328X/11/12/175","https://scholar.google.com/scholar?q=related:zADKcHVJMWgJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
25,"V Capraro, T Celadin","“I think this news is accurate”: endorsing accuracy decreases the sharing of fake news and increases the sharing of real news",2023,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221117691","https://scholar.google.com/scholar?cites=8945824256195964226&as_sdt=2005&sciodt=0,5&hl=en",27,"2024-03-22 09:49:39","","10.1177/01461672221117691","","",,,,,25,25.00,13,2,1,"… Despite these limitations, our results show that endorsing accuracy may decrease fake news sharing and increase real news sharing. Therefore, endorsing accuracy could be a …","https://journals.sagepub.com/doi/full/10.1177/01461672221117691","https://scholar.google.com/scholar?q=related:Qi2ilcPzJXwJ:scholar.google.com/&scioq=%22false+news%22%7C%22fake+news%22%7C%22false+stor*%22%7C%22misinformation%22%7C%22disinformation%22+%22accuracy%22%7C%22discernment%22%7C%22credibilit*%22%7C%22belief%22%7C%22suceptib*%22%7C%22reliab*%22%7C%22vulnerabi*%22&hl=en&as_sdt=0,5"
