DOI,Title,Abstract,include
10.1093/joc/jqae007/7625162,empowering social media users: nudge toward self-engaged verification for improved truth and sharing discernment,"… discernment improved with higher factual accuracy ratings for true news, lower accuracy ratings for false news, and a greater likelihood to share true news compared to false news. …",yes
10.1145/3544549.3585719,investigating perceived message credibility and detection accuracy of fake and real information across information types and modalities.,"… With respect to the modality, another one-way repeated-measure ANOVA was performed to compare the efect of modality on the detection accuracy of fake news. The result showed that …",yes
10.1007/s10584-018-2192-4,correcting misinformation about climate change: the impact of partisanship in an experimental setting,… The Republican-sourced correction raises responses by 1.15 points on the belief question (… among Democrats to less than .25 points for the belief question (1.15–.97) and seriousness …,yes
10.1108/OIR-02-2021-0101,information discernment and online reading behaviour: an experiment,"… low-levels of information discernment especially when they encounter misinformation. In turn, … ways of identifying those particularly susceptible to the seductive nature of misinformation. …",yes
10.1057/s41304-024-00471-y,"adam berinsky: political rumors: why we accept political misinformation and how to fight it, princeton university press, 2023","… He shows that rumor belief is a function of conspiratorial … Thus, patterns in mass rumor belief that scholars previously … menu of potential methods of correction misinformation” (161) and …",no
10.1038/s41598-024-54030-y,the persuasive effects of social cues and source effects on misinformation susceptibility,"Although misinformation exposure takes place within a social context, significant conclusions have been drawn about misinformation susceptibility through studies that largely examine judgements in a social vacuum. Bridging the gap between social influence research and the cognitive science of misinformation, we examine the mechanisms through which social context impacts misinformation susceptibility across 5 experiments (N = 20,477). We find that social cues only impact individual judgements when they influence perceptions of wider social consensus, and that source similarity only biases news consumers when the source is high in credibility. Specifically, high and low engagement cues (‘likes’) reduced misinformation susceptibility relative to a control, and endorsement cues increased susceptibility, but discrediting cues had no impact. Furthermore, political ingroup sources increased susceptibility if the source was high in credibility, but political outgroup sources had no effect relative to a control. This work highlights the importance of studying cognitive processes within a social context, as judgements of (mis)information change when embedded in the social world. These findings further underscore the need for multifaceted interventions that take account of the social context in which false information is processed to effectively mitigate the impact of misinformation on the public. © The Author(s) 2024.",yes
10.1111/polp.12577,"to vote or not to vote? fake news, voter fraud, and support for postponing the 2020 u.s. presidential election","Prior to the 2020 election President Trump suggested the election should be postponed “until the country can make sure that only eligible American citizens can vote.” With the COVID-19 pandemic leading many states to take steps that made it easier for citizens to vote safely, the president and his allies made numerous false claims about voter fraud; others argued that voter fraud is not common and is unlikely to appreciably increase with greater reliance on mail balloting. We rely on a national Internet-based survey experiment conducted prior to the 2020 election to assess the effectiveness of both messages on citizens' support for a hypothetical proposal to postpone the presidential election. The results suggest that respondents were more likely to support postponement if they received a fake news message that fraud is common. The results also suggest that these effects are conditional; both political party and knowledge moderate the relationship. Related Articles: Aguado, N. Alexander. 2022. “When Charismatic Leadership Trumps Social Networking: Searching for the Effects of Social Media on Beliefs of Electoral Legitimacy.” Politics & Policy 50(5): 942–51. https://doi.org/10.1111/polp.12494. Fisher, Patrick. 2020. “Generational Replacement and the Impending Transformation of the American Electorate.” Politics & Policy 48(1): 38–68. https://doi.org/10.1111/polp.12340. Stockemer, Daniel. 2013. “Corruption and Turnout in Presidential Elections: A Macro-Level Quantitative Analysis.” Politics & Policy 41(2): 189–212. https://doi.org/10.1111/polp.12012. © 2024 Policy Studies Organization.",no
10.1002/acp.4187,argument-based intervention as a way to reduce covid-19 unfounded beliefs and vaccination hesitancy,"The aim of the experimental study was to verify the reduction of Covid-19 unfounded beliefs through arguments in favor of vaccination. The sample includes 720 participants recruited by Qualtrics (50% women, age: M = 38.8, SD = 10.90). The participants were equally and randomly divided into three groups. The control group was given the task of reading a neutral text about Norway. The first experimental group was provided with a debunking text that corrected popular misinformation and unfounded beliefs about vaccination against polio and vaccination against Covid-19. The second experimental group read the same text as the first, with two additional paragraphs addressing the motives and errors in the thinking of unfounded belief spreaders. The results confirmed that exposing the participants to arguments for vaccination reduces the endorsement of Covid-19 unfounded beliefs and increases the willingness to be vaccinated against Covid-19 disease. © 2024 John Wiley & Sons Ltd.",no
10.1177/17456916231190388,crowds can effectively identify misinformation at scale,"Identifying successful approaches for reducing the belief and spread of online misinformation is of great importance. Social media companies currently rely largely on professional fact-checking as their primary mechanism for identifying falsehoods. However, professional fact-checking has notable limitations regarding coverage and speed. In this article, we summarize research suggesting that the “wisdom of crowds” can be harnessed successfully to help identify misinformation at scale. Despite potential concerns about the abilities of laypeople to assess information quality, recent evidence demonstrates that aggregating judgments of groups of laypeople, or crowds, can effectively identify low-quality news sources and inaccurate news posts: Crowd ratings are strongly correlated with fact-checker ratings across a variety of studies using different designs, stimulus sets, and subject pools. We connect these experimental findings with recent attempts to deploy crowdsourced fact-checking in the field, and we close with recommendations and future directions for translating crowdsourced ratings into effective interventions. © The Author(s) 2023.",yes
10.37016/mr-2020-132,correcting campaign misinformation: experimental evidence from a two-wave panel study,"In this study, we used a two-wave panel and a real-world intervention during the 2017 UK general election to investigate whether fact-checking can reduce beliefs in an incorrect campaign claim, source effects, the duration of source effects, and how predispositions including political orientations and prior exposure condition them. We find correction effects in the short term only, but across different political divisions and various prior exposure levels. We discuss the significance of independent fact-checking sources and the UK partisan press in facilitating effects. © 2024, Harvard Kennedy School. All rights reserved.",yes
10.1007/s12144-024-05668-4,fighting fake news on social media: a comparative evaluation of digital literacy interventions,"Effective digital literacy interventions can positively influence social media users’ ability to identify fake news content. This research aimed to (a) introduce a new experiential training digital literacy intervention strategy, (b) evaluate the effect of different digital literacy interventions (i.e., priming critical thinking and an experiential training exercise) on the perceived accuracy of fake news and individuals’ subsequent online behavioral intentions, and (c) explore the underlying mechanisms that link various digital literacy interventions with the perceived accuracy of fake news and online behavioral intentions. The authors conducted a study, leveraging online experimental data from 609 participants. Participants were randomly assigned to different digital literacy interventions. Next, participants were shown a Tweeter tweet containing fake news story about the housing crisis and asked to evaluate the tweet in terms of its accuracy and self-report their intentions to engage in online activities related to it. They also reported their perceptions of skepticism and content diagnosticity. Both interventions were more effective than a control condition in improving participants’ ability to identify fake news messages. The findings suggest that the digital literacy interventions are associated with intentions to engage in online activities through a serial mediation model with three mediators, namely, skepticism, perceived accuracy and content diagnosticity. The results point to a need for broader application of experiential interventions on social media platforms to promote news consumers’ ability to identify fake news content. © 2024, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",no
10.1111/bjso.12732,intellectual humility as a tool to combat false beliefs: an individual-based approach to belief revision,"False beliefs pose significant societal threats, including health risks, political polarization and even violence. In two studies (N = 884) we explored the efficacy of an individual-based approach to correcting false beliefs. We examined whether the character virtue of intellectual humility (IH)—an appreciation of one's intellectual boundaries—encourages revising one's false beliefs in response to counter-information. Our research produced encouraging but also mixed findings. Among participants who held false beliefs about the risks of vaccines (Study 1) and the 2020 US Election being rigged (Study 2), those with higher IH explored more information opposing these false beliefs. This exploration of opposing information, in turn, predicted updating away from these inaccurate health and political beliefs. IH did not directly predict updating away from false beliefs, however, suggesting that this effect—if it exists—may not be particularly powerful. Taken together, these results provide moderate support for IH as a character trait that can foster belief revision but, simultaneously, suggest that alternate pathways to combat false beliefs and misinformation may be preferred. © 2024 The Authors. British Journal of Social Psychology published by John Wiley & Sons Ltd on behalf of British Psychological Society.",yes
10.3758/s13421-024-01520-z,how do forewarnings and post-warnings affect misinformation reliance? the impact of warnings on the continued influence effect and belief regression,"People often continue to rely on certain information in their reasoning, even if this information has been retracted; this is called the continued influence effect (CIE) of misinformation. One technique for reducing this effect involves explicitly warning people that there is a possibility that they might have been misled. The present study aimed to investigate these warnings’ effectiveness, depending on when they were given (either before or after misinformation). In two experiments (N = 337), we found that while a forewarning did reduce reliance on misinformation, retrospectively warned participants (when the warning was placed either between the misinformation and the retraction or just before testing) relied on the misinformation to a similar degree as unwarned participants. However, the protective effect of the forewarning was not durable, as shown by the fact that reliance on the misinformation increased for over 7 days following the first testing, despite continued memory of the retraction. © 2024, The Psychonomic Society, Inc.",no
10.1177/19401612231158770,"“i don’t think that’s true, bro!” social corrections of misinformation in india","Fact-checks and corrections of falsehoods have emerged as effective ways to counter misinformation online. But in contexts with encrypted messaging applications (EMAs), corrections must necessarily emanate from peers. Are such social corrections effective? If so, how substantiated do corrective messages need to be? To answer these questions, we evaluate the effect of different types of social corrections on the persistence of misinformation in India ((Formula presented.) 5,100). Using an online experiment, we show that social corrections substantially reduce beliefs in misinformation, including in beliefs deeply anchored in salient group identities. Importantly, these positive effects are not systematically attenuated by partisan motivated reasoning, highlighting a striking difference from Western contexts. We also find that the presence of a correction matters more relative to how sophisticated this correction is: substantiating a correction with a source only improves its effect in a minority of cases; besides, when social corrections are effective, citing a source does not drastically improve the size of their effect. These results have implications for both users and platforms and speak to countering misinformation in developing countries that rely on private messaging apps. © The Author(s) 2023.",yes
10.1017/XPS.2022.33,the big lie: expressive responding and misperceptions in the united states,"Misinformation about events surrounding the 2020 election and the COVID-19 pandemic pose an existential threat to American democracy and public health. Public opinion surveys reveal that high percentages of Republicans indicate that they endorse some aspects of mistaken beliefs surrounding election fraud in the 2020 election. Still, understanding how to measure the endorsement of misperceptions is critical for understanding the threat at hand. Are high levels of mistaken beliefs genuinely held, or are they partially a function of expressive responding? I address this question through a set of survey experiments encouraging accuracy-oriented processing among the general public. Using well-powered surveys of Republicans and Independents, I find that treatments designed to encourage more accurate responses are ineffective in reducing the endorsement of partisan electoral and public health misperceptions and can in some cases even backfire. These findings suggest that support for these misperceptions is genuinely held.  © The Author(s), 2022. Published by Cambridge University Press on behalf of American Political Science Association.",yes
10.1371/journal.pone.0296752,endorsement of covid-19 misinformation among criminal legal involved individuals in the united states: prevalence and relationship with information sources,"Criminal legal system involvement (CLI) is a critical social determinant of health that lies at the intersection of multiple sources of health disparities. The COVID-19 pandemic exacerbates many of these disparities, and specific vulnerabilities faced by the CLI population. This study investigated the prevalence of COVID-19-related misinformation, as well as its relationship with COVID-19 information sources used among Americans experiencing CLI. A nationally representative sample of American adults aged 18+ (N = 1,161), including a subsample of CLI individuals (n = 168), were surveyed in February-March 2021. On a 10-item test, CLI participants endorsed a greater number of misinformation statements (M = 1.88 vs. 1.27) than non-CLI participants, p .001. CLI participants reported less use of government and scientific sources (p = .017) and less use of personal sources (p = .003) for COVID-19 information than non-CLI participants. Poisson models showed that use of government and scientific sources was negatively associated with misinformation endorsement for non-CLI participants (IRR = .841, p .001), but not for CLI participants (IRR = .957, p = .619). These findings suggest that building and leveraging trust in important information sources are critical to the containment and mitigation of COVID-19-related misinformation in the CLI population. © 2024 Public Library of Science. All rights reserved.",no
10.1080/10584609.2023.2257618,fake news for all: how citizens discern disinformation in autocracies,"Research on autocracies often posits that propaganda can manipulate citizens’ beliefs, but existing work does not systematically investigate how well individuals recognize misinformation in authoritarian environments and whether susceptibility to propaganda is related to vulnerability to false news. I present the results of four surveys in Russia, in which more than 60,000 participants evaluated 74 true and false news headlines. I find that Russians’ capacity to discern falsehoods is comparable to discernment found in other political contexts, and they could often detect false news stories. However, consumers of state media gave less accurate evaluations than consumers of independent media, and government supporters were substantially more susceptible to pro-regime misinformation than opposition-minded citizens. Supporters also strongly rejected true messages inconsistent with their political dispositions. These results help understand why in environments dominated by propaganda individuals can be quite vulnerable to information manipulation. At the same time, regime critics in my study often fell for propaganda-inconsistent falsehoods. These results highlight the broader challenge of fighting misinformation and propaganda in a situation when many citizens exhibit political biases. © 2023 Taylor & Francis Group, LLC.",yes
10.1177/19401612241233533,why do citizens choose to read fact-checks in the context of the russian war in ukraine? the role of directional and accuracy motivations in nineteen democracies,"The recent surge of false information accompanying the Russian invasion of Ukraine has re-emphasized the need for interventions to counteract disinformation. While fact-checking is a widely used intervention, we know little about citizen motivations to read fact-checks. We tested theoretical predictions related to accuracy-motivated goals (i.e., seeking to know the truth) versus directionally-motivated goals (i.e., seeking to confirm existing beliefs) by analyzing original survey data (n = 19,037) collected in early April to late May 2022 in nineteen countries, namely Austria, Belgium, Brazil, Czech Republic, Denmark, France, Germany, Greece, Hungary, Italy, Netherlands, Poland, Romania, Serbia, Spain, Sweden, Switzerland, UK, and USA. Survey participants read ten statements about the Russian war in Ukraine and could opt to see fact-checks for each of these statements. Results of mixed models for three-level hierarchical data (level 1: statements, level 2: individuals, and level 3: countries) showed that accuracy motivations were better explanations than directional motivations for the decision to read fact-checks about the Russian war in Ukraine. © The Author(s) 2024.",yes
10.1371/journal.pone.0294471,you must be myths-taken: examining belief in falsehoods during the covid-19 health crisis,"The prevalence of health myths is increasing with the rise of Internet use. Left unaddressed, online falsehoods can lead to harmful behaviours. In times of crisis, such as the recent COVID-19 pandemic, the circulation of many myths is exacerbated, often to varying degrees among different cultures. Singapore is a multicultural hub in Asia with Western and Asian influences. Although several studies have examined health myths from a Western or Eastern perspective, little research has investigated online health falsehoods in a population that is culturally exposed to both. Furthermore, most studies examined myths cross-section-ally instead of capturing trends in myth prevalence over time, particularly during crisis situations. Given these literature gaps, we investigated popular myths surrounding the recent COVID-19 pandemic within the multicultural setting of Singapore, by examining its general population. We further examined changes in myth beliefs over the two-year period during the pandemic, and population demographic differences in myth beliefs. Using randomised sampling, two online surveys of nationally representative samples of adults (aged 21–70 years) residing in Singapore were conducted, the first between October 2020 and February 2021 (N = 949), and the second between March and April 2022 (N = 1084). Results showed that 12.7% to 57.5% of the population were unable to identify various myths, such as COVID-19 was manmade, and that three of these myths persisted significantly over time (increases ranging from 3.9% to 9.8%). However, belief in myths varied across population demographics, with ethnic minorities (Indians and Malays), females, young adults and those with lower education levels being more susceptible to myths than their counterparts (p < 0.05). Our findings suggest that current debunking efforts are insufficient to effectively counter misinformation beliefs during health crises. Instead, a post-COVID-19 landscape will require targeted approaches aimed at vulnerable population sub-groups, that also focus on the erroneous beliefs with long staying power. Copyright: © 2024 Lwin et al.",no
10.1038/s41562-023-01736-0,psychological inoculation strategies to fight climate disinformation across 12 countries,"Decades after the scientific debate about the anthropogenic causes of climate change was settled, climate disinformation still challenges the scientific evidence in public discourse. Here we present a comprehensive theoretical framework of (anti)science belief formation and updating to account for the psychological factors that influence the acceptance or rejection of scientific messages. We experimentally investigated, across 12 countries (N = 6,816), the effectiveness of six inoculation strategies targeting these factors—scientific consensus, trust in scientists, transparent communication, moralization of climate action, accuracy and positive emotions—to fight real-world disinformation about climate science and mitigation actions. While exposure to disinformation had strong detrimental effects on participants’ climate change beliefs (δ = −0.16), affect towards climate mitigation action (δ = −0.33), ability to detect disinformation (δ = −0.14) and pro-environmental behaviour (δ = −0.24), we found almost no evidence for protective effects of the inoculations (all δ < 0.20). We discuss the implications of these findings and propose ways forward to fight climate disinformation. © The Author(s) 2023.",yes
10.1111/ssqu.13298,(mis)informing the public? the public's responsiveness to reliable and unreliable information in illiberal information environments,"Background: Public opinion has a dynamic relationship with policy and real-world outcomes in liberal settings where reliable information is abundant. In these settings, the public continuously updates its opinions with reliable policy-relevant information, and the changes in public opinion go on to affect policy and outcomes. It is unknown whether this dynamic exists in illiberal settings where the public's access to reliable information is heavily restricted. Objectives: This article advances a theory of public opinion's dynamic relationship with policy and outcomes that applies to illiberal settings. Methods: Our study examines a vital public good in one of the world's most restrictive information environments and estimates a dynamic model of relationships among three variables—public opinion, policy, and outcomes—with a focus on public opinion and outcomes as the key dependent variables. The analysis looks at air pollution remediation in 274 Chinese localities. Results: We find that public opinion reacts to objective air pollution outcomes and not to misleading information that downplays air pollution severity, which suggests the public can accurately evaluate the reliability of available information. We also find that local public opinion's impact on local air pollution is substantively meaningful on timescales as short as 1 to 2 years, indicating that the additional policy effort prompted by public opinion change is sufficient to yield tangible real-world outcomes even in the short term. Conclusion: Public opinion has a dynamic relationship with policy and real-world outcomes even in highly illiberal settings. We argue that these findings are likely to generalize across issue domains with outcomes that can be directly observed by the public. © 2023 by the Southwestern Social Science Association.",yes
10.1177/00178969231210215,the effects of authoritative source cue and argument strength of correction tweets on mmr vaccine-related misinformation credibility,"Objectives: This study aimed to examine the joint effect of two core message elements – authoritative source and argument strength – in correction tweets to counter conspiratorial misinformation about the measles, mumps and rubella (MMR) vaccine. Design/Method: An online experiment with US residents (N = 404) was conducted in a 2 (authoritative correction sources: layperson vs US Centres for Disease Prevention and Control [CDC]) × 2 (correction argument strength: weak vs strong) design. Results: The results indicate that the correction employing strong arguments and a correction provided by the CDC heightened heuristic processing of the corrective information, which in turn increased the perceived credibility of the conspiratorial misinformation. The effect of the CDC correction on heuristic processing was heightened when it contained weak arguments. Notably, user-generated corrections with weak arguments reduced heuristic processing of the information and contributed to reducing the perceived credibility of the misinformation. Conclusion: Based on the findings, we argue that both communicator- and content-related cues jointly influence how audiences process corrective information. The current study discusses the potency of user-generated social media corrections to counter vaccine misinformation and provides practical implications for how user-generated social media correction can be utilised by health practitioners. Public health organisations should prioritise presenting corrective information in an easily understandable manner, using user-generated content that fosters a sense of connection and engagement with individuals. © The Author(s) 2023.",no
10.3390/journalmedia4030052,russo-ukrainian war and trust or mistrust in information: a snapshot of individuals’ perceptions in greece,"The purpose of this study was to assess the Greek public’s perceptions of the reliability of information received about the Russo-Ukrainian war in the spring of 2022. The study was conducted through an online questionnaire survey consisting of closed-ended statements on a five-point Likert scale. Principal components analysis was performed on the collected data. The retained principal components (PCs) were subjected to non-hierarchical k-means cluster analysis to group respondents into clusters based on the similarity of perceived outcomes. A total of 840 responses were obtained. Twenty-eight original variables from the questionnaire were summarised into five PCs, explaining 63.0% of the total variance. The majority of respondents felt that the information they had received about the Russo-Ukrainian war was unreliable. Older, educated, professional people with exposure to fake news were sceptical about the reliability of information related to the war. Young adults who were active on social networks and had no detailed knowledge of the events considered information about the war to be reliable. The study found that the greater an individual’s ability to spot fake news, the lower their trust in social media and their information habits on social networks. © 2023 by the authors.",no
10.1038/s41562-023-01641-6,understanding and combatting misinformation across 16 countries on six continents,"The spread of misinformation online is a global problem that requires global solutions. To that end, we conducted an experiment in 16 countries across 6 continents (N = 34,286; 676,605 observations) to investigate predictors of susceptibility to misinformation about COVID-19, and interventions to combat the spread of this misinformation. In every country, participants with a more analytic cognitive style and stronger accuracy-related motivations were better at discerning truth from falsehood; valuing democracy was also associated with greater truth discernment, whereas endorsement of individual responsibility over government support was negatively associated with truth discernment in most countries. Subtly prompting people to think about accuracy had a generally positive effect on the veracity of news that people were willing to share across countries, as did minimal digital literacy tips. Finally, aggregating the ratings of our non-expert participants was able to differentiate true from false headlines with high accuracy in all countries via the ‘wisdom of crowds’. The consistent patterns we observe suggest that the psychological factors underlying the misinformation challenge are similar across different regional settings, and that similar solutions may be broadly effective. © 2023, The Author(s), under exclusive licence to Springer Nature Limited.",yes
10.1186/s41235-023-00492-z,examining the replicability of backfire effects after standalone corrections,"Corrections are a frequently used and effective tool for countering misinformation. However, concerns have been raised that corrections may introduce false claims to new audiences when the misinformation is novel. This is because boosting the familiarity of a claim can increase belief in that claim, and thus exposing new audiences to novel misinformation—even as part of a correction—may inadvertently increase misinformation belief. Such an outcome could be conceptualized as a familiarity backfire effect, whereby a familiarity boost increases false-claim endorsement above a control-condition or pre-correction baseline. Here, we examined whether standalone corrections—that is, corrections presented without initial misinformation exposure—can backfire and increase participants’ reliance on the misinformation in their subsequent inferential reasoning, relative to a no-misinformation, no-correction control condition. Across three experiments (total N = 1156) we found that standalone corrections did not backfire immediately (Experiment 1) or after a one-week delay (Experiment 2). However, there was some mixed evidence suggesting corrections may backfire when there is skepticism regarding the correction (Experiment 3). Specifically, in Experiment 3, we found the standalone correction to backfire in open-ended responses, but only when there was skepticism towards the correction. However, this did not replicate with the rating scales measure. Future research should further examine whether skepticism towards the correction is the first replicable mechanism for backfire effects to occur. © 2023, The Author(s).",no
10.1186/s41235-023-00488-9,"multiple-choice quizzes improve memory for misinformation debunks, but do not reduce belief in misinformation","Fact-checkers want people to both read and remember their misinformation debunks. Retrieval practice is one way to increase memory, thus multiple-choice quizzes may be a useful tool for fact-checkers. We tested whether exposure to quizzes improved people’s accuracy ratings for fact-checked claims and their memory for specific information within a fact check. Across three experiments, 1551 US-based online participants viewed fact checks (either health- or politics-related) with or without a quiz. Overall, the fact checks were effective, and participants were more accurate in rating the claims after exposure. In addition, quizzes improved participants’ memory for the details of the fact checks, even 1 week later. However, that increased memory did not lead to more accurate beliefs. Participants’ accuracy ratings were similar in the quiz and no-quiz conditions. Multiple-choice quizzes can be a useful tool for increasing memory, but there is a disconnect between memory and belief. © 2023, The Author(s).",yes
10.1186/s41235-023-00505-x,game-based inoculation versus graphic-based inoculation to combat misinformation: a randomized controlled trial,"Misinformation affects various aspects of people’s lives, such as politics, entertainment, and social interactions. However, effective intervention measures to combat misinformation are lacking. The inoculation theory has become a prevalent measure of misinformation. This study employed inoculation theory and developed an interactive game to help the public counter misinformation. In this game, players take on the role of the misinformation spreader, intending to add more followers to their virtual accounts using different strategies. A total of 180 Chinese participants were randomly assigned to game-based inoculation, graphic-based inoculation, and control groups. The results indicated that both types of inoculation interventions significantly decreased the perceived credibility and sharing intention of misinformation. Game-based inoculation was more effective than graphic-based inoculation in terms of misinformation perceived credibility, and the intervention effects were stable after 2 weeks. The graphic-based inoculation contained the sleeper effect, which interventions required a period of time to take effect. Neither inoculation produced countereffects on perceived credibility and nor sharing intention of accurate information. © 2023, The Author(s).",yes
10.1016/j.jrp.2023.104394,misperceptions in a post-truth world: effects of subjectivism and cultural relativism on bullshit receptivity and conspiracist ideation,"This research investigated whether belief in truth relativism yields higher receptivity to misinformation. Two studies with representative samples from Sweden (Study 1, N = 1005) and the UK (Study 2, N = 417) disentangled two forms of truth relativism: subjectivism (truth is relative to subjective intuitions) and cultural relativism (truth is relative to cultural context). In Study 1, subjectivism was more strongly associated with receptivity to pseudo-profound bullshit and conspiracy theories than cultural relativism was. In Study 2 (preregistered), subjectivism predicted higher receptivity to both forms of misinformation over and above effects of analytical and actively open-minded thinking, profoundness receptivity, ideology, and demographics; the unique effects of cultural relativism were in the opposite direction (Study 1) or non-significant (Study 2). © 2023 The Authors",no
10.1038/s41598-023-43885-2,how to “inoculate” against multimodal misinformation: a conceptual replication of roozenbeek and van der linden (2020),"Building misinformation resilience at scale continues to pose a challenge. Gamified “inoculation” interventions have shown promise in improving people’s ability to recognize manipulation techniques commonly used in misinformation, but so far few interventions exist that tackle multimodal misinformation (e.g., videos, images). We developed a game called Cat Park, in which players learn about five manipulation techniques (trolling, emotional manipulation, amplification, polarization, and conspiracism), and how misinformation can spread through images. To test the game’s efficacy, we conducted a conceptual replication (N = 380) of Roozenbeek and van der Linden’s 2020 study about Harmony Square, with the same study design, item set, and hypotheses. Like the original study, we find that people who play Cat Park find misinformation significantly less reliable post-gameplay (d = 0.95, p < 0.001) compared to a control group, and are significantly less willing to share misinformation with people in their network (d = 0.54, p < 0.001). These effects are robust across different covariates. However, unlike the original study, Cat Park players do not become significantly more confident in their ability to identify misinformation (p = 0.204, d = − 0.13). We did not find that the game increases people’s self-reported motivation and confidence to counter misinformation online. © 2023, Springer Nature Limited.",yes
10.1017/S0007123422000631,conceptual replication of four key findings about factual corrections and misinformation during the 2020 us election: evidence from panel-survey experiments,"In the final two months of the 2020 US election, we conducted eight panel experiments to evaluate the immediate and medium-term effects of misinformation and factual corrections. Our results corroborate four sets of existing findings: fact-checks reliably improve factual accuracy, while misinformation degrades it; effects of fact-checks on belief accuracy endure, though they fade with time; effects on attitudes are minuscule; and there are important partisan asymmetries. We also offer one new empirical finding suggesting that effect heterogeneities by personality type and cognitive style may reflect attention paid to treatments. Our study confirms that the fundamental push and pull of misinformation and factual corrections on political beliefs holds even in electoral settings as saturated with mistruths as the 2020 US election.  Copyright © The Author(s), 2023. Published by Cambridge University Press.",no
