DOI,Title,Abstract,include
NA,examining partisan asymmetries in fake news sharing and the efficacy of accuracy prompt interventions,"… also find that accuracy prompt interventions that reduce the spread of fake news are equally … Americans to share fake news, we take up the question of whether accuracy prompt efficacy …",
NA,"who falls for fake news? the roles of analytic thinking, motivated reasoning, political ideology, and bullshit receptivity",NA,
10.3758/s13421-013-0300-2,the relationship between drm and misinformation false memories,"… on the misinformation test. The mean rate of endorsement of the “original items” (MISTM) was 60 %, suggesting a high level of accuracy of memory. The mean endorsement rate for …",
NA,"who believes in fake news? study on the relationship between media use and perceived accuracy of fake news about covid-19 in nuevo leon, mexico","… are less likely to believe in fake news about the disease, which is … belief in false news about COVID-19, so special attention should be paid to actions taken to combat disinformation …",
NA,associations between covid-19 misinformation exposure and belief with covid-19 knowledge and preventive behaviors: cross-sectional online study,"… 19 misinformation exposure was associated with misinformation belief, while misinformation belief … Given the potential of misinformation to undermine global efforts in COVID-19 disease …",
NA,effects of misinformation on covid-19 individual responses and recommendations for resilience of disastrous consequences of misinformation,"… As the stimulus, this study has considered general misinformation belief, conspiracy belief, … general misinformation belief, conspiracy belief, and religious misinformation belief as the …",
NA,when classification accuracy is not enough: explaining news credibility assessment,"… fake news and it provides visual explanation using word clouds and decision trees. However, synthetic evaluation shows low accuracy for … accuracy or confidence of human judgement. …",
10.2105/AJPH.2014.302437,when advocacy obscures accuracy online: digital pandemics of public health misinformation through an antifluoride case study,"Objectives. In an antifluoridation case study, we explored digital pandemics and the social spread of scientifically inaccurate health information across the Web, and we considered the …",
10.1007/978-3-030-77626-8_23,"effects of conspiracy thinking style, framing and political interest on accuracy of fake news recognition by social media users: evidence from russia, kazakhstan and …",… fake news … ’ accuracy in detecting fake news. The results of the study confirm the important role of conspiracy thinking style in false news recognition (leading to a decrease in accuracy) …,
NA,updating the identity-based model of belief: from false belief to the spread of misinformation,"… We then discuss the relationship between accuracy goals and social identity, and how the … misinformation belief and sharing from the perspective of the Identity-Based Model of Belief (…",
NA,the misinformation age: how false beliefs spread,"… passing through our social network also becomes part of our belief system. And if we want … Vegetable Lambs and fake news, we need to understand the social character of belief-and …",
NA,social endorsement influences the continued belief in corrected misinformation.,"… misinformation, and updated their belief based on subsequent factchecks. We found that people had greater belief in misinformation … of likes reduced belief in misinformation more than …",
NA,cognitive and emotional correlates of belief in political misinformation: who endorses partisan misbeliefs?,"Across two studies, we investigated how much cognitive variables and emotional dynamics anticipated endorsement of politically partisan misbeliefs. In Study 1 (n= 298), those with …",
NA,"a bayesian model for false information belief impact, optimal design, and fake news containment","… , belief impact and containment in multi-agent networks. We present a Bayesian mathematical model for source information and viewer’s belief… true information-belief convergence using …",
NA,covid-19 misinformation: accuracy of articles about coronavirus prevention mostly shared on social media,"… measures in effort to mitigate harmful impact of misinformation. Facebook, Google and Twitter claim … Our results show a rather high level of accuracy, nevertheless the example of masks …",
10.7560/314555-013,eleven misinformation and its correction: cognitive mechanisms and recommendations for mass communication,"… belief in inaccurate information, why certain individuals are predisposed to refrain from belief … , the necessity of co- activation of misinformation and new information, and the impact of the …",
10.1145/3555611,who's in the crowd matters: cognitive factors and beliefs predict misinformation assessment accuracy,… that predict worker accuracy in misinformation judgments: … We find the same factors predict accuracy on the evaluation … to more accurately predict crowd worker accuracy on both metrics. …,
NA,the health belief model: how public health can address the misinformation crisis beyond covid-19,… This paper proposes an intervention into health misinformation that relies upon the health belief model as a means to bridge the risks associated with health misinformation and the …,
10.1080/0144929X.2020.1829708,the effect of web add-on correction and narrative correction on belief in misinformation depending on motivations for using social media,"… have grappled with misinformation-related issues and investigated what reinforces belief in misinformation, all in an effort to combat the spread of misinformation. Much research has …",
NA,"lies kill, facts save: detecting covid-19 misinformation in twitter","… the accuracy of the selected model, and pr is the accuracy of … how can we fight the spread of misinformation and fake news? … fake news and misinformation. A lot of work towards fighting …",
10.1186/s12889-022-14431-y,what predicts people's belief in covid-19 misinformation? a retrospective study using a nationwide online survey among adults residing in the united states,… We created binary variables to represent four misinformation categories related to COVID-19… identified the important predictors of belief in each type of misinformation. Nested vector …,
NA,the earth is flat because...: investigating llms' belief towards misinformation via persuasive conversation,"… belief change in the face of misinformation. We sequentially test all questions with their correct answers and the corresponding misinformation … steps including the initial belief check, the …",
NA,partisanship: the true ally of fake news? a comparative analysis of the effect on belief and spread,… on the belief and dissemination of fake news. Methodology: An … -right and pro-left): half fake news and the other half true news. … to create and share compatible fake news. This trend was …,
NA,“fact-checking” videos reduce belief in but not the sharing of “fake news” on twitter,"… fake news quiz immediately after exposure. However, the videos have not reduced sharing links from verified “fake news… between truth discernment ability and fake news sharing. These …",
NA,evaluating smart assistant responses for accuracy and misinformation regarding human papillomavirus vaccination: content analysis study,"… response accuracy, presence of misinformation, and sentiment regarding the HPV vaccine. … having provided misinformation. Table 1 depicts examples of accuracy and misinformation in …",
NA,misinformation warnings: twitter's soft moderation effects on covid-19 vaccine belief echoes,… warnings to investigate how Twitter users perceive the accuracy of COVID-19 vaccine … accuracy of COVID-19 misinformation. Soft moderation is known to create so-called ”belief echoes…,
NA,misinformation warning labels: twitter's soft moderation effects on covid-19 vaccine belief echoes,… forms affects the perceived accuracy of COVID-19 vaccine misinformation on Twitter. The … the perception of accuracy of COVID-19 vaccine misinformation on Twitter. “Belief echoes” do …,
NA,understanding and reducing the spread of misinformation online,"… Instead, we propose that the problem is simply distraction: most people do not want to spread misinformation, but are distracted from accuracy by other salient motives when choosing …",
NA,could belief in fake news predict vaccination behavior in the elderly?,"… to fake news until a very old age [45], studies evaluating how belief in fake news could affect … the relationship between the trust or belief in fake news, truth discernment, attitudes, and …",
NA,conformity to misinformation and time delay negatively affect eyewitness confidence and accuracy.,… In order to examine the effect of time delay and misinformation on eyewitness accuracy and … who were exposed to misinformation should become more confident in the accuracy of their …,
10.1145/2872427.2883085,"disinformation on the web: impact, characteristics, and detection of wikipedia hoaxes","… mistaken belief that the relayed incorrect facts are true; on the other extreme, disinformation … This paper focuses on a specific kind of disinformation, namely hoaxes. Wikipedia defines a …",
NA,accuracy and social motivations shape judgements of (mis) information,… While prominent accounts claim that partisanship and politically motivated cognition play a limited role in the belief and sharing of misinformation as compared with other factors (such …,
10.1080/21645515.2021.1967039,"… to get covid-19 vaccines: exploring the role of attitudes, subjective norms, perceived behavioral control, belief in covid-19 misinformation, and vaccine confidence …","… Citation 1 Social media platforms are well known for the spread of misinformation related to … best of our knowledge, belief in COVID-19 related misinformation has not been examined …",
10.1080/10810730.2022.2130479,a comprehensive examination of association between belief in vaccine misinformation and vaccination intention in the covid-19 context,"… In our model, misinformation belief had significant but distant relationships with intention … Namely, our model suggested that misinformation belief was not a primary determinant of …",
NA,increasing accuracy motivations using moral reframing does not reduce republicans' belief in false news,"… valuing accuracy and disbelieving false news is causal, but the effect of our intervention on accuracy valuation, or the association between accuracy valuation and accuracy judgments, …",
10.1007/s10670-023-00710-6,beyond belief: on disinformation and manipulation,"… So construed, fake news bears a close similarity to disinformation, as the authors … the false belief accounts of disinformation are too narrow, some commentators contend that fake news …",
NA,"… to fall for misinformation: social media use, discussion heterogeneity preference, worry of the virus, faith in scientists, and covid-19-related misinformation …","… That is, among those who had stronger faiths in scientists, the indirect effect of discussion heterogeneity preference on misinformation belief became more negative. The findings …",
NA,preventing belief in misinformation: current and future directions for the field.,"… Misinformation in a Misinformation Age” make impactful contributions for our understanding of how to prevent belief in misinformation. … To be clear, misinformation has always been with …",
NA,accuracy in journalism,"… - and misinformation and its threat to news accuracy and verification. Even if “fake news” is … about the specific consequences of misinformation on accuracy, verification, and trustfulness …",
NA,fighting fake news with accuracy: dual processing perspective,"… fake news because they simply fail to engage in deliberate thinking, we designed an accuracy … supporting accuracy prompts stylized as warning labels, but only for increasing sharing …",
NA,intervening on trust in science to reduce belief in covid-19 misinformation and increase covid-19 preventive behavioral intentions: randomized controlled …,"… of people’s belief in misinformation and their intentions to take … and thereby affect belief in misinformation and intention to … in science, COVID-19 narrative belief profile, and COVID-19 …",
10.1186/s12889-020-10103-x,misinformation about covid-19: evidence for differential latent profiles and a strong association with trust in science,"… Our data support the existence of multiple and distinct belief profiles for COVID-19 misinformation. Based on these findings, we speculate that one reason providing factual information …",
10.1080/1068316X.2013.854788,the effects of immediate recall on eyewitness accuracy and susceptibility to misinformation,"… that whilst misinformation decreased recall accuracy, … of misinformation reported on final recall, we also found that there was no difference in participants' susceptibility to misinformation. …",
NA,misinformation and the sins of memory: false-belief formation and limits on belief revision.,"… , people’s vulnerability to misinformation arises in part from … updating and belief revision when misinformation is corrected. Here, … the cognitive impacts of misinformation. Specifically, the …",
NA,fighting misinformation among the most vulnerable users,"… First, does the intervention improve discernment, or the ability to distinguish true from false content? When we reduce belief in false news, we may make people skeptical of true news as …",
NA,the illusory truth effect: a review of how repetition increases belief in misinformation,"… belief in misinformation, such as fake news headlines and conspiracy beliefs. Repetition even increases belief in … Repetition also has broader impacts beyond belief, such as increasing …",
10.3758/s13423-011-0065-1,correcting false information in memory: manipulating the strength of misinformation encoding and its retraction,"… Analysis focused on three dependent measures: the number of references to misinformation (ie, the inference score), the accuracy of recall, and acknowledgment of the retraction. …",
10.1177/20563051231220330,falling for russian propaganda: understanding the factors that contribute to belief in pro-kremlin disinformation on social media,"… Our research finds that belief in Pro-Kremlin disinformation is politically motivated and linked … exposure to disinformation is positively associated with belief in disinformation. Conversely, …",
10.1002/wcc.665,online misinformation about climate change,"… Underlying belief systems and social norms, as well as psychological heuristics such as … of misinformation and disinformation and defines disinformation to be a subset of misinformation…",
NA,the relation of online behavioral response to fake news exposure and detection accuracy,"Using a Fake News test consisting of mixed legitimate and misleading news headlines, this study investigated and explored how the behavioral responses of users (N=153) to false …",
NA,feedback exercises boost discernment and longevity for gamified misinformation interventions,"… better accuracy at identifying both misinformation and non-misinformation compared to a … , we find no support that feedback improves accuracy in detecting misinformation compared …",
10.1201/9781315396705-14,mining misinformation in social media,"… extent of misinformation belief will be affected by the bridge: no matter whether being connected to the bridge or not, members in a same community tend to share a common belief level. …",
10.1080/09658211.2010.487051,individual differences in false memory from misinformation: cognitive factors,… the misinformation paradigm. A large sample of Chinese college students (N=436) participated in a misinformation … The averaged accuracy rate for three blocks was used in this study. …,
NA,misinformation inoculations must be boosted by accuracy prompts to improve judgments of truth,… about manipulativeness or belief (accuracy) separately so that we could investigate if participants spontaneously identify misinformation to a greater extent following the intervention. …,
NA,"measles, misinformation, and risk: personal belief exemptions and the mmr vaccine",… belief exemptions on the grounds that MMR and other immunizations pose a danger to their children. To ensure that such misunderstandings and misinformation do … for personal belief …,
NA,a convolutional approach for misinformation identification.,"… fuels the spreading of misinformation which disrupts people’s … practical early detection of misinformation and poses a bias to … Furthermore, accuracy of the proposed CAMI model takes a …",
NA,"… in the spread of a health virus: a focus on situational fear, situational threat appraisal, belief in disinformation, and intention to spread disinformation on social media","… the spread of disinformation and how to combat it. However, limited research focuses on how feararousing disinformation during crises affects individuals’ belief in disinformation and to …",
NA,source-credibility information and social norms improve truth discernment and reduce engagement with misinformation online,"… Although this study demonstrates that credibility badges may be useful intervention for reducing misinformation belief and engagement, there are several potential challenges with …",
NA,"institutional trust and misinformation in the response to the 2018–19 ebola outbreak in north kivu, dr congo: a population-based survey","… Our findings suggest that low institutional trust and belief in misinformation are linked to reduced adherence to EVD preventive behaviours. Nevertheless, reported overall adherence to …",
NA,beyond belief: disinformation strategies and collective knowledge building led by jair bolsonaro in brazil,"… Additionally, this complexifies the apparently simple idea that if people have access to more years of schooling, we will be successful in fighting disinformation. Rather, our educational …",
10.1080/10447318.2022.2158263,reducing younger and older adults' engagement with covid-19 misinformation: the effects of accuracy nudge and exogenous cues,"… Therefore, this study designed an accuracy nudge intervention to induce people to discern misinformation and adopted exogenous cues to reinforce their discernment ability. The two …",
NA,topological data analysis helps to improve accuracy of deep learning models for fake news detection trained on very small training sets,"… of fake news are not professional journalists. Usually, the story presented in fake news … The accuracy of our models for detecting fake news articles generated by GPT-3 is shown in …",
10.1002/wmh3.544,public trust in sources and channels on judgment accuracy in food safety misinformation with the moderation effect of self‐affirmation: evidence from the hints‐china …,"This paper describes the developmentand introduction of an important new international health survey research program, HINTS‐China, which builds upon HINTS, the established …",
NA,"theorizing the anthropology of belief: magic, conspiracies, and misinformation",This book explores both scientific and humanistic theoretical traditions in anthropology through the lens of ontology. The first part of the book examines different methods for generating …,
NA,mean rating difference scores are poor measures of discernment: the role of response criteria,"… To combat its influence, a number of interventions have been introduced, such as those aimed at reducing belief in misinformation, reducing misinformation sharing, and improving …",
NA,"misinformation: susceptibility, spread, and interventions to immunize the public","… Importantly, research shows that (1) prior exposure to fake news increases its perceived accuracy 29 ; (2) illusory truth can occur for both plausible and implausible claims 30 ; (3) prior …",
10.1177/20563051221150412,misinformation on misinformation: conceptual and methodological challenges,"… Misinformation should not be framed only in terms of accuracy (true vs. false), it could also … to broaden the scope of misinformation studies by (1) putting misinformation consumption into …",
NA,misinformation in germany during the covid-19 pandemic: a cross-sectional survey on citizens' perceptions and individual differences in the belief in false …,"… the perceived prevalence of misinformation over time. Second… Third, belief in misinformation was associated with support for … individual difference measures with belief in misinformation. …",
NA,"sustaining exposure to fact-checks: misinformation discernment, media consumption, and its political implications",… consequences of misinformation by shaping citizens’ discernment of misinformation upon … been established across the world to combat misinformation. The International Fact-Checking …,
NA,poligraph: intrusion-tolerant and distributed fake news detection system,… achieves higher accuracy and F1-score [35] than baseline methods [34]. (3) Machine learning based methods apply different models to enhance the accuracy of fake news detection. …,
10.1145/3485447.3511968,cross-modal ambiguity learning for multimodal fake news detection,"… CAFE improves fake news detection accuracy by judiciously and adaptively aggregating unimodal features and cross-modal correlations, ie, relying on unimodal features when cross-…",
10.1007/s10750-012-1392-6,the propagation and dispersal of misinformation in ecology: is there a relationship between citation accuracy and journal impact factor?,… citation accuracy with journal impact factor (IF) and also compare our results to a previous study of citation accuracy in … The resulting unintentional or negligent spread of misinformation …,
NA,… ' inferences of local governments' goals and the relationship between political party and belief in covid-19 misinformation: cross-sectional survey of twitter …,"… goal inference valence in ways that matter for belief in misinformation, as we predict herein: … -19 efforts predicts heightened belief in COVID-19 misinformation, whereas this outcome is …",
10.1177/20563051231179694,"studying the downstream effects of fact-checking on social media: experiments on correction formats, belief accuracy, and media trust","… Repeated exposure to misinformation not only reduces the accuracy of people’s beliefs, but it also decreases confidence in institutions such as the news media. Can fact-checking—…",
NA,who is susceptible to online health misinformation? a test of four psychosocial hypotheses.,"… The present research found that belief in misinformation about statins, cancer treatment, and the HPV vaccine were highly correlated, indicating that an individual who believes …",
NA,an accuracy self-nudge to reduce misinformation sharing online,"… A sharing discernment score of 0 would indicate that a participant shares the same amount of true and false news. In our study, mean sharing discernment across all conditions was …",
10.1086/727605,belief in covid-19 misinformation in nigeria,"… with belief in antigovernment misinformation but not other types of COVID-19 misinformation. Surprisingly, we find no relationship between overall belief in misinformation and …",
NA,anatomy of fake news: on (mis) information and belief in the age of social media,"… , the concern of fake news and misinformation plays a muted … cultural turn in fake news and belief among the users. The paper … of fake news and its evolution in daily life of Indian users. …",
NA,rumor identification and belief investigation on twitter,"… belief investigation on Twitter. Our definition of rumor is an unverifiable statement, which spreads misinformation or disinformation… We also introduce the belief score and study the belief …",
NA,the continued influence of implied and explicitly stated misinformation in news reports.,"… Question 21, designed for the purposes of this study, probed participants directly about their belief in the corrected misinformation. Participants responded to the question, “How much …",
NA,… news game good news? testing whether creating and disseminating fake news about vaccines in a computer game reduces people's belief in anti-vaccine …,"… a player spreads fake news to gain followers, reduces people's belief in fake news. The goal of … CBN was constructed to examine whether creating and disseminating fake news focused …",
NA,disinformation and misinformation through the internet: findings of an exploratory study,"… Accessibility refers to ease of access; relevancy presumably covers appropriateness to specific information needs; and quality includes components such as accuracy, timeliness, and …",
NA,the psychology of misinformation,"… We discuss the belief in and sharing of misinformation separately. This is because, … share misinformation because they believe it, this isn’t always the case. Rather, misinformation belief …",
NA,"misinformation, disinformation, and online propaganda","… about Obama’s supposed Muslim faith, using a difference-in-differences strategy to compare belief changes over time for those responding before and after the rumor circulated. They …",
NA,systematic literature review on the spread of health-related misinformation on social media,"… The most extensively studied topics involving misinformation relate to vaccination, … to misinformation and understand the role of belief systems on the intention to spread misinformation. …",
10.1093/ooec/odad051/7277353,sentiment and the belief in fake news during the 2020 presidential primaries,… The influence of misinformation on the political decision-… We study the impact of “fake news” in the 2020 election cycle by … against misinformation and engage critically with the news. …,
NA,effects of inductive learning and gamification on news veracity discernment.,"… discernment between true and fake news. To test the intervention’s effectiveness, it was compared to a no-treatment control group in which participants did not take part in any training …",
NA,pilot study suggests online media literacy programming reduces belief in false news in indonesia,"… of digital misinformation, we offer … misinformation. We found that users who engaged with our online training materials and educational videos were more likely to identify misinformation …",
NA,the impact of analyst-induced misinformation on the requirements elicitation process,… the misinformation effect will be stronger when misinformation is … We conducted an experiment to test the misinformation effect … (1) introduction of misinformation reduces the accuracy of …,
NA,"fighting the spread of covid-19 misinformation in kyrgyzstan, india, and the united states: how replicable are accuracy nudge interventions?","… accuracy reduced their willingness to share misinformation about COVID-19. Those who were prompted to think about accuracy … were not prompted to think about accuracy (M = 2.05, …",
NA,… of fake news on facebook a novel social network with k-means clustering approach for against principal component analysis method for better accuracy,… of fake news and the accuracy … of accuracy using the K-Means Clustering machine learning algorithm. Hence the aim of this research study is to classify fake news with higher accuracy …,
NA,belief in misinformation and acceptance of covid-19 vaccine boosters: a survey analysis,"… Given the patterns of misinformation belief observed in this study, additional efforts are needed to address common myths about the make-up of COVID-19 vaccines and the …",
NA,what is disinformation?,"… Even if a piece of disinformation leads to a false belief, it might lead to more true beliefs in the long run. For instance, as Pratchett, Stewart, and Cohen (1999) point out, “a lie-to-children …",
NA,cancer misinformation and harmful information on facebook and other social media: a brief report,"… misinformation are underway. Further research is needed to address who is engaging with cancer misinformation; its impact on scientific belief, trust, … in correcting misinformation. These …",
NA,covid-19 misinformation trends in australia: prospective longitudinal national survey,"… misinformation belief that the threat of COVID-19 is greatly exaggerated, with pairwise contrasts showing an increase in this belief … There was a decrease in the belief that herd immunity …",
NA,how social identity shapes conspiratorial belief,"… Many prior interventions for conspiracy and misinformation belief have focused on inducing people to be motivated to be more accurate [29,38]. However, these interventions may be …",
10.1177/17579139221136722,low trust in science may foster belief in misinformation by aligning scientifically supported and unsupported statements,"… 2020-21 found similar misinformation belief patterns and links to … Misinformation has a long history of influencing global events… In our work, we conceptualise misinformation similarly to …",
NA,exploring the relationship between covid-19 vaccine refusal and belief in fake news and conspiracy theories: a nationwide cross-sectional study in italy,"… Last but not least, it is important to underline the significant association between vaccine refusal and the secondary outcomes (ie, the score of fake news misclassification and belief in …",
NA,"stop and think! exploring the role of news truth discernment, information literacy, and impulsivity in the effect of critical thinking recommendations on trust in fake …","… The psychological drivers of misinformation belief and its resistance to correction. Nature Reviews Psychology, 1(1), 13-29. https://doi.org/10.1038/s44159-021-00006-y Fazio, L. …",
NA,mapping information and identifying disinformation based on digital humanities methods: from accuracy to plasticity,"… understanding Fake News more complex. Armed with this first presentation of Fake News … this problem, we need to consider not the accuracy of the facts being conveyed but the way …",
NA,… people spread false information online? the effects of message and viewer characteristics on self-reported likelihood of sharing social media disinformation,… Belief in the truth of the stories provides further evidence for the role of consistency (… exposure to ‘fake news’ headlines led to higher belief in their accuracy and reduced belief that it …,
10.1186/s13673-014-0014-x,detecting misinformation in online social networks using cognitive psychology,"… accuracy of information. The same cues could be used by a social media monitoring system to detect spread of misinformation, disinformation … of estimating the accuracy of information. …",
10.1177/1948550614567356,political extremism predicts belief in conspiracy theories,"… in a belief in conspiracy theories. As a case in point, a core assumption underlying the holocaust was the belief in a Jewish conspiracy for world domination, combined with the belief in …",
NA,children's eyewitness reports after exposure to misinformation from parents.,"… accuracy of children's testimony must consider the possibility of exposure to misinformation … One purpose of the current study, therefore, was to assess the effects of misinformation from …",
NA,covid-19 misinformation online and health literacy: a brief overview,"… In another survey of South Korean adults in 2020, Lee et al. found that COVID-19 misinformation exposure was associated with misinformation belief, and that misinformation belief was …",
NA,the bad news about fake news,"… call the naïve view of belief and its role in behavior, fake news is a problem … fake news, and by correction if we are taken in. The naïve view entails that careful consumption of fake news, …",
10.1145/3449092,exploring lightweight interventions at posting time to reduce the sharing of misinformation on social media,… about accuracy decreases the likelihood of sharing both true and false news but of false news to … Our findings on the effects of the accuracy and reasoning nudges on sharing decisions …,
NA,machine learning techniques and older adults processing of online information and misinformation: a covid 19 study,"… COVID-19 prevention and cure information and misinformation with reasonable accuracy. Second, humans cannot process information ‘algorithmically’ to separate information from …",
NA,the use of data augmentation as a technique for improving neural network accuracy in detecting fake news about covid-19,"… for better detection of fake news in the Portuguese language. Fake news is one of the main … to be a difficult task, while the dissemination of false news is much faster, which leads to the …",
NA,trending facts or misinformation: a study determining accuracy of instagram posts in the context of stroke prevention and management,… The accuracy of information in the posts was verified with the Centre for Disease Control Factsheet on Stroke and UpToDate. A large number of posts had information that was correct …,
NA,evaluation of accuracy degradation resulting from concept drift in a fake news detection system using emotional expression,"… the accuracy of fake news detection, a discussion on accuracy degradation is … of fake news change with the passage of time, a model that achieves high accuracy may lose accuracy …",
10.1145/3274327,fake cures: user-centric modeling of health misinformation in social media,"… Considering features capturing user attributes, writing style, and sentiment, we build a classifier which is able to identify users prone to propagate such misinformation at an accuracy of …",
NA,comparative analysis of identifying accuracy of online misinformation of covid-19 using svm algorithm with logistic regression,… the accuracy percentage of misinformation of COVID-19. Social media spreads misinformation very … Major reason for spreading misinformation is to confuse and mislead the reader [18]. …,
10.1080/0144929X.2019.1578828,recognise misinformation and verify before sharing: a reasoned action and information literacy perspective,… to tackle fake news and misinformation on … of accuracy in identifying satire and fake news. Facebook also rolled out a button that would allow users to flag posts carrying misinformation (…,
NA,"health-protective behaviour, social media usage and conspiracy belief during the covid-19 public health emergency",… of health misinformation. Many previous studies have found a negative association between health-protective behaviours and belief in the specific form of misinformation popularly …,
NA,… -enhancing misinformation: social dominance motives are uniquely associated with republicans' belief in and sharing of election-related misinformation,"… is associated with the belief in or sharing of election-related misinformation, and that … , but not belief. We introduce the theoretical lens of Hierarchy-Enhancing Misinformation to interpret …",
NA,rumor has it: identifying misinformation in microblogs,"… Although our second task, belief classification, can be viewed as an opinion mining task, it is substantially different from opinion mining in nature. The difference from a standard opinion …",
NA,how non-probative photos shape belief,"… and explore the implications for fake news and misinformation. … belief because photos are inherently trustworthy. Second, we consider the possibility that photos may bias people’s belief …",
10.1146/annurev-polisci-050718-032814,political misinformation,"… Just as a person's motives (directional versus accuracy) contribute to the problem of misinformation, processing goals also influence the success of varying corrective efforts. This …",
NA,ml&ai_iiitranchi@ dravidianlangtech: leveraging transfer learning for the discernment of fake news within the linguistic domain of dravidian language,"… of fake news. By highlighting the role of data mining in tackling the issue of fake news on social media platforms, this study contributes valuable insights to the field. The article (Wang…",
NA,misinformation and government crisis management in south korea: understanding active publics' belief in misinformation about the yemeni refugee issue and its …,… This study aims to examine how individuals’ situational motivation in problem-solving affects their belief in misinformation and leads to active communication behaviors of …,
10.1348/1355325041719428,say it to my face: examining the effects of socially encountered misinformation,"… When conveyed socially in this way the misinformation not only distorts the accuracy of an eyewitness report, it also produces systematic, but spurious, correspondences between …",
NA,spread of misinformation on social media: what contributes to it and how to combat it,"… specific topics or types of misinformation, in this work, we review misinformation studies not limited to those focusing on a particular topic or type of misinformation. Additionally, we trace …",
NA,exploring the impact of social media exposure patterns on people's belief in fake news during covid-19: a cross-gender study,"… fake news. Based on cognitive dissonance theory, this study investigated the effect of intentional and incidental exposure on belief in fake news … bias and belief in fake news. Incidental …",
NA,cognitive substrates of belief in fake news,"… Evaluation Task assessing belief in real and fake news, and … belief in fake news (but not real news),(2) reduced decoupling efficiency is associated with increased belief in fake news …",
NA,"introduction: the social and political dynamic of conspiracy theories, rumours, fake news, and belief narratives","… Therefore, the present study of fake news, rumours, legends, and conspiracy theories also … The internet communication environment where rumours, belief messages or longer belief …",
