StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,"antibiotics_accept ",continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,trees_know,trees_accept,water_know,water_accept,Q1,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,"BCTI_autism ","BCTI_polio ",BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,Q1,education,comments,PROLIFIC_PID
2024-03-05 18:11:46,2024-03-05 18:15:35,IP Address,184.59.235.163,100,228,True,2024-03-05 18:15:36,R_3AoP4WTgHGtTTt7,,,,,44.3335,-88.4388,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,,,FALSE,No,TRUE,Yes,FALSE,No,TRUE,No,FALSE,No,FALSE,Yes,,0,0,0,0,0," 2",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 2",Completely false 1,Completely false 1,Completely false 1,Completely false 1,A lot 4,A lot 4," 4",,3- or 4-year College Degree,,6429ffe11a9806a9a95ad072
2024-03-05 18:12:34,2024-03-05 18:15:35,IP Address,207.237.32.32,100,181,True,2024-03-05 18:15:36,R_6X7CrmYHMFGqE7k,,,,,40.7205,-73.8796,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,,90,100,100,90,90," 7",," 3"," 3"," 6"," 3",Completely false 1," 4"," 2"," 2",Unsure 5," 3",Some 3,Some 3," 4",,"Professional Degree (JD, MD)",,5d46daa91274770001916403
2024-03-05 18:13:25,2024-03-05 18:15:38,IP Address,174.101.115.39,100,132,True,2024-03-05 18:15:38,R_6UgdcyiM0KOy5iV,,,,,39.338,-82.986,anonymous,EN,I give my informed consent to participate in this study.,Often 6,FALSE,No,FALSE,Yes,TRUE,No,TRUE,Yes,TRUE,No,FALSE,Yes,TRUE,Yes,,,FALSE,No,FALSE,Yes,TRUE,Yes,,80,70,80,80,70," 8",,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 7"," 8"," 7",Completely true 9,Unsure 5," 6",A lot 4,Some 3," 4",,High School / GED,,62cc1f77c32651ff9d35a471
2024-03-05 18:12:43,2024-03-05 18:15:38,IP Address,67.198.38.226,100,175,True,2024-03-05 18:15:39,R_33WCr4bKK4n4Sdv,,,,,30.1826,-97.7394,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,,,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,90,100,60,50,80," 8",," 3",Completely false 1,Unsure 5,Completely false 1,Completely false 1,Completely false 1," 2",Unsure 5,Completely false 1,Completely false 1,Not much 2,Some 3," 2",,3- or 4-year College Degree,,6564c5d8d4ff42c7e3d04cf4
2024-03-05 18:12:40,2024-03-05 18:15:39,IP Address,47.153.91.122,100,179,True,2024-03-05 18:15:40,R_5nedJtunqNTmvux,,,,,34.043,-117.7556,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,No,TRUE,Yes,,80,60,50,40,20," 6",,Completely false 1,Completely false 1," 2",Completely false 1,Completely false 1,Completely false 1," 2",Unsure 5,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,3- or 4-year College Degree,,5698f2a7b0e165000c0158cd
2024-03-05 18:13:15,2024-03-05 18:15:40,IP Address,104.174.70.247,100,145,True,2024-03-05 18:15:41,R_3PbCKVTjfrIh01f,,,,,33.8225,-118.3103,anonymous,EN,I give my informed consent to participate in this study.," 5",FALSE,Yes,FALSE,Yes,TRUE,No,FALSE,Yes,FALSE,Yes,,,TRUE,No,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,No,,70,70,80,80,90," 8",," 8"," 8"," 8"," 7",Unsure 5," 8",Unsure 5," 8"," 7"," 8",A lot 4,Some 3," 4",,3- or 4-year College Degree,nice survey,5f435065ffd8ca5acb7068f1
2024-03-05 18:12:55,2024-03-05 18:15:44,IP Address,75.73.70.193,100,169,True,2024-03-05 18:15:44,R_6fs4lxZcAlNWD4N,,,,,44.9006,-92.9275,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,No,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,60,70,50,30,50," 6",,Completely false 1,Completely false 1,Unsure 5,Completely false 1,Completely false 1," 3",Completely false 1," 3"," 4",Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,3- or 4-year College Degree,,5a9ac3061eda410001366658
2024-03-05 18:12:53,2024-03-05 18:15:44,IP Address,73.135.75.4,100,170,True,2024-03-05 18:15:44,R_61alos7CHUj0Cch,,,,,39.4889,-77.8889,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,,,TRUE,Yes,,20,70,10,10,0," 2",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 3"," 2",Completely false 1,Completely false 1,Some 3,Some 3," 4",,Master's Degree,,60fd6618f9a377f54dcdf318
2024-03-05 18:12:48,2024-03-05 18:15:49,IP Address,71.221.135.29,100,180,True,2024-03-05 18:15:49,R_3f7i42aTC4KH1D3,,,,,32.2603,-95.5417,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,FALSE,Yes,,90,90,50,50,60," 7",," 6"," 7"," 7"," 2",Completely false 1," 3"," 6"," 6",Unsure 5,Completely false 1,Some 3,Some 3," 4",,Some College,,5e07a94db7b33010fe2af9b4
2024-03-05 18:12:30,2024-03-05 18:15:51,IP Address,174.84.35.123,100,200,True,2024-03-05 18:15:51,R_1b30VTki3wWK1aS,,,,,43.642,-84.2673,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,No,TRUE,Yes,,80,100,100,20,100," 7",," 7",Completely false 1,Unsure 5," 3",Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Some 3,Some 3," 3",,High School / GED,,633edc50cfae73d4a72ca889
2024-03-05 18:12:44,2024-03-05 18:15:57,IP Address,68.104.229.88,100,193,True,2024-03-05 18:15:58,R_1rPbNd9fInu4p1x,,,,,32.9562,-111.5299,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,,,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,No,FALSE,Yes,TRUE,Yes,,100,100,100,40,20," 8",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 6",Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,2-year College Degree,,5c59e6519dd64d00018adaa8
2024-03-05 18:13:03,2024-03-05 18:15:58,IP Address,173.21.13.95,100,175,True,2024-03-05 18:15:59,R_5p0UzBlBijl1ZM5,,,,,30.2732,-87.7606,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,,,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,80,70,90,50,90," 6",,Completely false 1,Unsure 5,Unsure 5," 3",Completely false 1,Completely false 1," 3",Unsure 5,Unsure 5,Completely false 1,Some 3,Some 3," 3",,High School / GED,,6413665e5dec6a98797ef5ab
2024-03-05 18:12:53,2024-03-05 18:16:01,IP Address,71.174.222.99,100,188,True,2024-03-05 18:16:01,R_6RvKw1ce8z0UF0a,,,,,42.1506,-71.4268,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,FALSE,No,TRUE,Yes,TRUE,Yes,TRUE,No,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,,,TRUE,Yes,,20,40,50,50,20,Unsure 5,,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely false 1,Completely false 1,Not much 2,Not much 2," 3",,3- or 4-year College Degree,,5aa83a71f6dfdd0001eb1690
2024-03-05 18:12:24,2024-03-05 18:16:02,IP Address,24.8.110.226,100,218,True,2024-03-05 18:16:03,R_1dhMiyyXHKHCo70,,,,,39.872,-105.0405,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,No,FALSE,No,FALSE,No,FALSE,Yes,TRUE,No,,,TRUE,Yes,TRUE,Yes,TRUE,No,TRUE,Yes,TRUE,Yes,,60,70,70,80,70," 6",," 8",Unsure 5,Unsure 5," 6",Completely false 1," 2"," 3"," 4",Unsure 5,Unsure 5,Not much 2,Some 3," 3",,3- or 4-year College Degree,None,610508c09d61c098f072605b
2024-03-05 18:13:01,2024-03-05 18:16:05,IP Address,66.102.231.91,100,183,True,2024-03-05 18:16:06,R_6fuF6u3pZ7hJETc,,,,,30.6293,-97.6687,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,,,,70,70,60,50,60," 7",,Completely false 1,Completely false 1," 3"," 4",Completely false 1," 2",Completely false 1,Completely false 1," 6",Completely false 1,Some 3,Some 3," 3",,High School / GED,,614e2446523bb49af662fb62
2024-03-05 18:13:08,2024-03-05 18:16:06,IP Address,73.208.67.228,100,177,True,2024-03-05 18:16:07,R_75vwPm8Sqwa2kO5,,,,,41.8183,-87.6095,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,,,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,40,100,30,0,0,Unsure 5,,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 2",Completely false 1,Completely false 1,Some 3,Some 3," 3",,Master's Degree,"I answered thoughtfully, good luck!",641357b26802e397b5627d5e
2024-03-05 18:12:52,2024-03-05 18:16:06,IP Address,75.161.212.207,100,194,True,2024-03-05 18:16:07,R_1kfd5etctQ7THm9,,,,,35.2485,-106.6818,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,FALSE,Yes,TRUE,Yes,,10,20,10,10,10," 2",,Completely false 1,Completely false 1," 2",Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,3- or 4-year College Degree,,5b97f70161c19e00018db4a8
2024-03-05 18:13:13,2024-03-05 18:16:08,IP Address,99.162.210.39,100,175,True,2024-03-05 18:16:08,R_5PvY9g3Iyo8hfQF,,,,,30.3958,-81.6893,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,10,80,10,10,10," 7",,Completely false 1,Completely false 1," 8",Completely true 9,Completely false 1,Completely true 9,Completely false 1,Completely false 1," 8"," 2",Not much 2,Not much 2," 2",,3- or 4-year College Degree,,60c4e1091b936c7b812e5af4
2024-03-05 18:13:00,2024-03-05 18:16:08,IP Address,174.193.195.226,100,188,True,2024-03-05 18:16:09,R_1jDPGwWvU6KScut,,,,,33.9576,-118.267,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,No,TRUE,Yes,,50,70,40,40,30,Unsure 5,,Completely false 1," 4"," 2"," 2",Completely false 1,Completely false 1,Completely false 1,Completely false 1," 3",Completely false 1,Some 3,A lot 4," 4",,3- or 4-year College Degree,,632dd45fb49858b31338c11c
2024-03-05 18:13:00,2024-03-05 18:16:13,IP Address,73.104.159.233,100,193,True,2024-03-05 18:16:14,R_1NwAXYWbcxeL7BM,,,,,30.0822,-81.5498,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,FALSE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,70,70,70,40,50," 6",," 3"," 3"," 6"," 6"," 3"," 3"," 3"," 7",Unsure 5,Unsure 5,Some 3,Some 3," 3",,3- or 4-year College Degree,,65980dcc048d02626828cc34
2024-03-05 18:12:07,2024-03-05 18:16:16,IP Address,74.128.199.218,100,249,True,2024-03-05 18:16:17,R_1CjLHEgbIvwfTw4,,,,,40.0321,-82.9092,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,FALSE,Yes,TRUE,Yes,,90,80,10,10,10,Unsure 5,," 2",Completely false 1," 2"," 3",Completely false 1," 3",Unsure 5," 7"," 2",Completely false 1,Some 3,Some 3," 3",,Master's Degree,"interesting, thank you.",5b9482266484de00018a93f4
2024-03-05 18:12:59,2024-03-05 18:16:18,IP Address,24.246.118.194,100,198,True,2024-03-05 18:16:18,R_1rvGSpUwHYJFVrC,,,,,40.6793,-74.5574,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,TRUE,Yes,TRUE,Yes,TRUE,Yes,,60,70,50,40,40," 6",," 2"," 3"," 4"," 4",Completely false 1,Completely false 1,Unsure 5,Unsure 5," 6",Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Master's Degree,,601e13b872774f263d64acac
2024-03-05 18:13:04,2024-03-05 18:16:20,IP Address,104.162.73.178,100,196,True,2024-03-05 18:16:21,R_3Hk6JtIQYywrFxS,,,,,40.6208,-74.0426,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,,30,70,70,10,60," 3",,Completely false 1," 2"," 2",Completely false 1,Completely false 1,Completely false 1,Completely false 1," 2",Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Master's Degree,,60fdb83606ba18b3b54215fa
