StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,ants_basic_learn,ants_basic_impress,ants_basic_comp,ants_basic_trust,archeo_imp_learn,archeo_imp_impress,archeo_imp_comp,archeo_imp_trust,archeo_basic_learn,archeo_basic_impress,archeo_basic_comp,archeo_basic_trust,ants_imp_learn,ants_imp_impress,ants_imp_comp,ants_imp_trust,ants_basic_learn,ants_basic_impress,ants_basic_comp,ants_basic_trust,archeo_imp_learn,archeo_imp_impress,archeo_imp_comp,archeo_imp_trust,archeo_basic_learn,archeo_basic_impress,archeo_basic_comp,archeo_basic_trust,ants_imp_learn,ants_imp_impress,ants_imp_comp,ants_imp_trust,Q1,gender,age,education,PROLIFIC_PID,condition
2024-02-07 17:36:03,2024-02-07 17:39:07,0,88.97.51.212,100,183,1,2024-02-07 17:39:07,R_237lt6dQQ18SRk5,,,,,51.5967,-0.1593,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,2,2,3,4,4,3,4,4,,,,,,,,,,1,35,6,5feb31a4fef4d1b519e1cfc5,nolabels
2024-02-07 17:35:51,2024-02-07 17:39:09,0,86.1.189.77,100,197,1,2024-02-07 17:39:09,R_1HwHSGYANnJ0QHn,,,,,51.8373,0.8174,anonymous,EN,1,I pay attention,2,2,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,3,63e51bf29e3110c635031c03,labels
2024-02-07 17:36:02,2024-02-07 17:39:10,0,94.193.176.169,100,188,1,2024-02-07 17:39:11,R_2wQtz9KCkpWpbZO,,,,,53.9308,-0.8083,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,3,2,4,4,2,3,3,3,,,,,,,,,,2,36,2,5eb12f8510e0ce205e7b25c7,nolabels
2024-02-07 17:35:49,2024-02-07 17:39:13,0,90.242.36.191,100,203,1,2024-02-07 17:39:13,R_25VH972BxnSuBrj,,,,,51.1896,-1.5385,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,5,5,3,3,,1,74,2,5ae0c7d4e0feeb0001caff2b,nolabels
2024-02-07 17:35:04,2024-02-07 17:39:15,0,5.65.236.236,100,251,1,2024-02-07 17:39:16,R_2ScSdXPxKrPPdcJ,,,,,51.4623,-2.5502,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,3,5,5,5,4,5,5,5,,,,,,,,,,1,51,5,57a6891d8eccbc0001f39f89,nolabels
2024-02-07 17:34:22,2024-02-07 17:39:24,0,71.206.54.132,100,302,1,2024-02-07 17:39:25,R_5s19cL6LMUCgmfD,,,,,39.5693,-76.9869,anonymous,EN,1,I pay attention,3,4,4,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,5,58a229e74d580c0001e0a766,labels
2024-02-07 17:35:54,2024-02-07 17:39:34,0,82.14.18.114,100,220,1,2024-02-07 17:39:35,R_3dMHOzScWNTF4UV,,,,,55.6195,-4.6621,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,4,5,4,4,3,4,5,5,,,,,,,,,,1,40,2,5dd05d80b2204f1487f7812c,nolabels
2024-02-07 17:37:00,2024-02-07 17:39:44,0,75.161.238.212,100,163,1,2024-02-07 17:39:44,R_5qXru0GHVtwp03B,,,,,35.1871,-106.6659,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,4,5,5,4,,1,39,5,5b97f70161c19e00018db4a8,nolabels
2024-02-07 17:36:02,2024-02-07 17:39:44,0,141.195.160.65,100,222,1,2024-02-07 17:39:45,R_1lJwTp36DFR7Ipb,,,,,50.9747,-2.6071,anonymous,EN,1,"I pay attention ",3,3,4,4,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,53,6,5b9b7d4608c0fc0001472a30,labels
2024-02-07 17:35:52,2024-02-07 17:39:47,0,92.3.148.117,100,234,1,2024-02-07 17:39:47,R_28Be1t7dmsydh3H,,,,,51.3188,-2.2034,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,,,,,,,,,,1,54,2,59479251f236120001ecf9a2,nolabels
2024-02-07 17:35:20,2024-02-07 17:39:50,0,86.159.129.49,100,269,1,2024-02-07 17:39:50,R_2GmnduUyC4aFwaZ,,,,,53.6235,-2.3352,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,5,3,3,5,5,,1,56,5,614e4f5af7eba1c013541155,nolabels
2024-02-07 17:36:05,2024-02-07 17:39:57,0,78.151.116.74,100,232,1,2024-02-07 17:39:58,R_1ATCFPvAzQdckxF,,,,,51.5291,0.0527,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,5,4,4,4,,2,30,6,5f36df1077c13d13071cec36,nolabels
2024-02-07 17:35:59,2024-02-07 17:40:04,0,109.234.179.237,100,245,1,2024-02-07 17:40:05,R_4KeVkYIsOKzbIqU,,,,,50.7249,-1.1988,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,4,3,5,5,3,4,4,5,,,,,,,,,,1,29,2,55e876f25e4d360012cc283d,nolabels
2024-02-07 17:36:23,2024-02-07 17:40:18,0,108.184.10.196,100,234,1,2024-02-07 17:40:18,R_611qd0H0vRH07w7,,,,,33.956,-118.3887,anonymous,EN,1,I pay attention,5,4,4,5,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,48,5,5ef319f3058d7f0178266918,labels
2024-02-07 17:35:48,2024-02-07 17:40:29,0,81.111.76.34,100,280,1,2024-02-07 17:40:29,R_1pFgxlMLGTFrFel,,,,,53.5652,-2.3765,anonymous,EN,1,I pay attention,5,5,5,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,5,604fa685e33606f9a0ee8189,labels
2024-02-07 17:35:56,2024-02-07 17:40:36,0,90.206.69.151,100,279,1,2024-02-07 17:40:36,R_1EojZnCFhi3oFRn,,,,,51.6448,-3.3259,anonymous,EN,1,I pay attention,,,,,,,,,3,2,4,3,4,4,4,3,,,,,,,,,,,,,,,,,,2,52,3,62eac867210f0e2e8d322d44,labels
2024-02-07 17:36:03,2024-02-07 17:40:46,0,46.65.119.19,100,282,1,2024-02-07 17:40:46,R_2rcyRCipsvcKNwd,,,,,54.7699,-1.559,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,5,5,4,5,5,5,5,,,,,,,,,,2,44,5,5f6bb4aae0644b119ac79503,nolabels
2024-02-07 17:35:33,2024-02-07 17:41:10,0,154.47.108.237,100,337,1,2024-02-07 17:41:11,R_1qvtZfG99ZrIk1g,,,,,55.9933,-3.7613,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,5,5,4,,1,29,6,60d2c59451b12e36fb281477,nolabels
2024-02-07 17:35:34,2024-02-07 17:41:13,0,217.42.237.202,100,338,1,2024-02-07 17:41:13,R_1CBKXwxfZONd233,,,,,55.8557,-4.2104,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,,1,47,6,58d0632c2fc72000011f8c57,nolabels
2024-02-07 17:35:49,2024-02-07 17:41:46,0,2.98.188.224,100,356,1,2024-02-07 17:41:47,R_1jp1LH6mfw1ItNa,,,,,52.9044,-1.2326,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,5,4,4,,1,51,5,5f3ec93efbd299158253f283,nolabels
2024-02-07 17:35:39,2024-02-07 17:41:59,0,174.162.80.84,100,379,1,2024-02-07 17:41:59,R_1Z44c8hQbE1tkWZ,,,,,42.6411,-83.045,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,5,5,4,,1,75,5,5bd4c1d09afb5b00015c5bdd,nolabels
2024-02-07 17:36:01,2024-02-07 17:42:15,0,2.219.209.4,100,373,1,2024-02-07 17:42:15,R_2fZdgHVPEAtKtg7,,,,,52.4038,0.2263,anonymous,EN,1,"I pay attention ",,,,,,,,,4,4,4,4,5,5,5,4,,,,,,,,,,,,,,,,,,2,71,3,5b13da851e55760001ba009a,labels
2024-02-07 17:35:51,2024-02-07 17:42:35,0,86.23.88.152,100,404,1,2024-02-07 17:42:36,R_1RrseSy5CyLVzNn,,,,,52.9875,-2.1803,anonymous,EN,1,63fbf0e3b18cc14adc0dbfb6,,,,,,,,,,,,,,,,,4,4,3,3,2,3,3,2,,,,,,,,,,1,54,5,63fbf0e3b18cc14adc0dbfb6,nolabels
2024-02-07 17:37:55,2024-02-07 17:42:59,0,81.96.132.114,100,303,1,2024-02-07 17:42:59,R_1Cg3OlgMrSKiEr7,,,,,53.6732,-1.6975,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,4,4,4,3,5,5,5,4,,,,,,,,,,2,63,5,633efb4374ec6abb48f9c024,nolabels
2024-02-07 17:35:51,2024-02-07 17:44:06,0,90.204.104.18,100,494,1,2024-02-07 17:44:07,R_1O8RYadbPUFWYoc,,,,,52.6259,1.3032,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,4,4,4,4,3,4,4,4,,,,,,,,,,2,38,8,5ecb6acd10d2c36e6124c9bd,nolabels
2024-02-07 17:36:04,2024-02-07 17:44:47,0,92.40.197.51,100,523,1,2024-02-07 17:44:47,R_2LPrm9SF3N3pbwd,,,,,50.82,-1.0664,anonymous,EN,1,"I pay attention ",,,,,,,,,3,2,4,3,4,3,4,3,,,,,,,,,,,,,,,,,,1,43,5,5c321ebf6558270001bd79aa,labels
2024-02-07 17:44:30,2024-02-07 17:48:58,0,94.194.86.162,100,268,1,2024-02-07 17:48:59,R_12PXosIMaQAVqxE,,,,,53.2765,-2.5979,anonymous,EN,1,"I pay attention ",,,,,,,,,3,3,5,4,4,4,5,4,,,,,,,,,,,,,,,,,,2,41,5,59a9c0291b7a550001d6392e,labels
2024-02-07 17:35:55,2024-02-07 17:49:16,0,80.192.107.11,100,800,1,2024-02-07 17:49:17,R_7vjlR3DiQB6TrgJ,,,,,54.6401,-1.2336,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,3,4,5,4,5,,1,41,6,640105daa923d3f5f2669039,nolabels
2024-02-07 17:36:32,2024-02-07 17:51:49,0,64.175.66.38,100,916,1,2024-02-07 17:51:49,R_3ykhsnk5aJBSKK0,,,,,32.6357,-96.9505,anonymous,EN,1,I pay attention,4,2,4,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,5,655fb05bd8d6122663485f8f,labels
2024-02-07 17:35:59,2024-02-07 17:51:59,0,195.162.107.183,100,960,1,2024-02-07 17:51:59,R_1lRpUHqHR7Ub4J8,,,,,55.3974,-4.7446,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,5,5,5,5,4,5,5,5,,,,,,,,,,2,27,5,5bfc2227f88f3900014b0e1d,nolabels
2024-02-07 17:52:44,2024-02-07 17:57:38,0,86.147.229.249,100,294,1,2024-02-07 17:57:39,R_38lx0RngprLJGH7,,,,,51.3188,-2.2034,anonymous,EN,1,I pay attention,,,,,,,,,4,4,5,4,3,3,4,3,,,,,,,,,,,,,,,,,,2,36,5,5d8cef3c28e183001a335ab0,labels
2024-02-07 18:14:02,2024-02-07 18:17:37,0,109.147.206.240,100,214,1,2024-02-07 18:17:38,R_1xJ5zNXqowMp6hj,,,,,51.6192,-0.3247,anonymous,EN,1,I pay attention,5,5,4,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,5,6441795624090301ddeba81e,labels
