id,question,answer
104,speed,It was just a guess.
105,drug,I am unfamiliar.
105,orbit,Again I have no knowledge. It was a guess
106,planet,Not sure I took a guess
106,vertebrate,Not sure I took a guess
106,brain,Not sure I took a guess
106,material,Not sure I took a guess
108,material,I don’t trust the sources as anyone can make changes
113,vertebrate,Because I dont think they really know themselves
113,material,The earth has only been around a short time and it thousands not millions or billions of years
113,magnetic,No dont believe the bible is the true map of mans existance and its not billions of years old
114,planet,I tried to research it and didnt find the answer so i just chose anything
114,vertebrate,I just chose an answer because I didn't know
114,material,I just chose anything because I didn't know the answer
114,cloning,I just chose anything because I didn't know the answer
115,vertebrate,It said the oldest known vertebrate was 252 years old
115,speed,I didn’t see anywhere in the articles that backs this claim.
118,vertebrate,Aren't dinosaur bones older than 392 years old?
119,material,If I understood the resources correctly I thought the time period was less. I'm questioning my answer now though!
121,vertebrate,one of the articles i looked at said it was a smaller number I can't remember the number.
121,material,I don't believe the earth is that old.
121,cloning,I am not completely sure.  the number just seemed very large and I think that many of them die during the process.
121,magnetic,I'm not sure.  I still do not believe that the Earth is that old.
122,speed,"When reading the material that were given, I could not find the answer to confirm it. Therefore, since I could not confirm it, I did not accept the scientific consensus."
124,planet,I didn't really understand the information on this one.
124,boson,While reading the information provided I didn't see exact confirmation on if it has an electric charge or not.
124,material,The answer was vague and not exact it just said more than 4 billion but not more than 4.6 billion.
128,drug,Because I thought it was the answer I had out.
128,planet,It’s that far away.
128,vertebrate,It shows that it was correct
128,brain,Because of what I read.
128,orbit,I had read it wrong.
130,brain,Neurons are everywhere.  I assumed that glials cells were not as prevalent as neurons.
130,cloning,It was hard to believe science had progressed that much regarding cloning.  Cloning brings to mind science in the far future.
132,orbit,I don't have anything scientifically to offer other than I just don't believe that's true.
133,brain,I remember briefly coming across information on this subject and at the time they were thing they out numbered them 10.1. however that could of changed the more research that was done.
133,cloning,"i just assumed that cloning would not have a high success rate from reading about years ago, but I assume things have changed."
134,planet,I do not believe we can measure the distance of stars.
134,orbit,I took a guess because I do not believe we can predict such a thing.
134,material,I do not believe the earth is that old.
136,cloning,I’m not sure that I believe that they are that successful.
137,material,Not enough scientific proof
137,cloning,I don't believe in cloning techniques
137,magnetic,It's possible that the earth magnetic field 3.7 billion years ago was 15 micro Tesla
139,planet,I misread and thought they were talking about the distant from earth to Kepler.
139,brain,It depends on the area of the brain and there could be some differences depending on which brains you are looking at.
139,magnetic,I just wasn't sure.
140,vertebrate,No.
140,brain,No
140,material,No
140,cloning,No
143,planet,I don't trust that astronomers can accurately measure this.
143,vertebrate,I don't trust carbon 14 dating. I don't know what bomb-pusle is.
143,orbit,I don't trust that scientists can estimate this accurately.
143,material,I don't trust that scientists have a way to measure this accurately.
143,magnetic,I don't trust that scientists have a way to measure this accurately.
145,magnetic,i cant explain why i answered differently i probably forgot
151,boson,"In some theoretical models or speculative physics, there might be hypotheses about different properties of the Higgs boson."
151,speed,The exact percentage of the speed of light can vary slightly depending on the specific conditions and the state of the accelerator at any given time. Precision in reporting such values is crucial.
151,cloning,The success rate might also depend on the specific strain of mice used or the conditions under which the cloning was performed. Variations in experimental conditions can affect the reported success rates.
152,boson,Neutrality is a toxic line of thinking and only establishes constraints
152,material,Universe is very old yes
152,speed,LHC is not what they say is it
152,cloning,"""sucess"" for one thing but also this is vague and doesn't really say much"
152,magnetic,No way to really know this for sure and it also doesnt matter much
153,orbit,I think if the sun disappeared the gravitational field would disappear nearly immediately; and the Earth would continue on in a straight line.
154,orbit,I accept the scientific consensus but I do not accept Wikipedia as a confirming source of scientific data.
154,material,I don't have an explanation as to why I answered differently.
154,speed,I thought from memory of my previous reading that my answer was correct.
155,planet,I believe that there is not a way to accurately measure such a thing
155,vertebrate,I believe that a lot of scientists make up numbers and the numbers aren't even accurate
155,brain,This one might be accurate but I just wanted to disagree because I feel like it might not be accurate
155,orbit,I believe that a lot of those things about the Earth orbiting and stuff like that are misunderstood and not true
155,material,I believe that the Earth is much younger than we're told and that allow those numbers about the Earth being trillions and trillions of years old is just crazy talk
155,magnetic,I believe that the Earth does not have a magnetic field that's just a theory that is wrong in my opinion
157,orbit,"Sure, it's a prediction and one that doesn't sound very plausible to me."
157,material,I don't believe the earth is that old.
157,magnetic,"Once again, I don't believe the earth is that old."
159,planet,Couldn't havesais it better myself
159,material,No
163,cloning,Because one of the links said 8 out of 10 success rate on cloning mice.
163,magnetic,Because i didn't see anything showing that the researcher pulled samples from the northern most region to do the dating. There had been 2 other heating events that could have corrupted the data if they took it from the southern area.
164,orbit,I don't fully trust the sources and the Sun's never disappeared so how would they know.
167,material,They are just guessing. There is no way to verify their estimates.
167,magnetic,Earth age estimates are just guesses there is no way to verify them.
168,planet,"Scientific ""Consensus"" has low credibility in my perception."
168,brain,"Scientific ""Consensus"" has low credibility in my perception."
168,boson,"Scientific ""Consensus"" has low credibility in my perception."
168,orbit,"Scientific ""Consensus"" has low credibility in my perception."
168,material,"Scientific ""Consensus"" has low credibility in my perception."
168,speed,"Scientific ""Consensus"" has low credibility in my perception."
168,cloning,"Scientific ""Consensus"" has low credibility in my perception."
168,magnetic,"Scientific ""Consensus"" has low credibility in my perception."
169,material,I don't think has to be that old.
171,vertebrate,"It did not sound right to me, and that science can be wrong too."
171,cloning,I will agree with science on this one because they  create weird things.
172,speed,"I thought the article showed a different answer, but I looked back and read it again and confirmed the original statement is in fact true"
172,cloning,"I thought the article showed a different answer, but I looked back and read it again and confirmed the original statement is in fact true"
173,vertebrate,I think an older one has been found since 2016.
173,brain,I think it is more likely there is a differing amount which may be very small but I really have no idea. I just know we humans are highly fallible and fallen and are wrong about things all the time.
173,material,"The Earth is no where near this old, it is around 6000-7000 years old. I cannot wait until we come to realize how utterly foolish we are in believing in the millions-billions or years old myth."
173,magnetic,Same reason as above.
174,boson,The website was not convincing
174,orbit,I thought it would be longer
175,material,My final authority is the Bible.  It only goes back 6500 years to the creation.
175,cloning,I just dont believe cloning techniques are that good my researched showed its around 1-2%.
175,magnetic,Earth was created around 6500 years ago.
177,material,I am a creationist and believe the earth is much younger than that and am not convinced the testing methods are correct
177,cloning,number just seemed too high
181,brain,"There is a similar amount, but not the same amount."
181,orbit,It's impossible to state as fact.
181,material,It's impossible to state as fact.
181,magnetic,It's impossible to state as fact.
183,planet,i read the distance in kilometers instead of miles.
183,magnetic,i read that during this time the microteslas was 30-50
184,vertebrate,Knowing how long vertebrates live today it seems unlikely that they lived significantly longer in the past
184,material,There is so much variation when it comes to measuring the early days of earth that I would assume given enough time this estimate will change dramatically in the future
188,vertebrate,No I am not able to explain my answer.
188,orbit,No.
192,vertebrate,Based on what I read it’s not true.
192,material,Based on what I read it’s not true.
192,speed,I’m not sure if it’s true because I couldn’t find the proof for the claim in the material.
192,cloning,I don’t know if it is true because I couldn’t find the proof in the material.
194,planet,It how I was taught.
194,boson,I don't know
195,planet,im a flat earther and i believe all the stars are right in our own atmosphere
195,orbit,i dont believe that the earth orbits around the sun at all to be honest i think the sun and moon travel over the earth
195,material,i dont believe that the earth is that old
195,magnetic,dont believe the earth is that old
197,orbit,I could not find the reference to corroborate the information.
197,material,The oldest material I found was just over 4.4 Ga
197,speed,I could not find the reference to corroborate the information.
