paperID,reference,ref,intervention_study,comments_intervention_selection,comments,peer_reviewed,sampleID, country,design,online,pre_test,details_pretest,recycled_news,recycled_news_reference,news_selection,selection_fake_news,selection_true_news,news_family,newsID,n_news,n_news_pool,share_true_news,news_format,news_source,accuracy_measure,accuracy_measure_detailed,symetry,perfect_symetry,accuracy_scale,condition,treatment_intention,intervention,intervention_detail,experimentID,correlates,correlates_detail,n,mean_fake_as_accurate,SD_fake_as_accurate,mean_true_as_accurate,SD_true_as_accurate,values_from,panel
3,"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",Pennycook 2018,yes,We consider only the warning tags intervention with non-previously familiarized items. That is because this is the intervention most comparable to other studies.,"data correspond to experiment 2, values taken from Table 3;
Considered as  treatment condition here: Novel (i.e. no familiarized) politically concordant news with warning of 3rd fact checker sites",yes,2,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_concordant,1,6,,0.5,title_picture_pitch,source,accuracy,"As in other work on perceptions of news accuracy (Pennycook & Rand, 2017a, 2017b; Pennycook & Rand, 2018), participants were then asked “To the best of your knowledge, how accurate is the claim in the above headline?” and they rated accuracy on the following 4-point scale: 1) not at all accurate, 2) not very accurate, 3) somewhat accurate, 4) very accurate.",1,0,4,treatment,positive,tagwarningfakenews,,1,,,474.5,1.68,0.6,2.86,0.7,paper,no
3,"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",Pennycook 2018,yes,We consider only the warning tags intervention with non-previously familiarized items. That is because this is the intervention most comparable to other studies.,"data correspond to experiment 2, values taken from Table 3;
Considered as  treatment condition here: Novel (i.e. no familiarized) politically discordant news with warning of 3rd fact checker sites",yes,2,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_discordant,2,6,,0.5,title_picture_pitch,source,accuracy,"As in other work on perceptions of news accuracy (Pennycook & Rand, 2017a, 2017b; Pennycook & Rand, 2018), participants were then asked “To the best of your knowledge, how accurate is the claim in the above headline?” and they rated accuracy on the following 4-point scale: 1) not at all accurate, 2) not very accurate, 3) somewhat accurate, 4) very accurate.",1,0,4,treatment,positive,tagwarningfakenews,,2,,,474.5,1.53,0.5,2.4,0.6,paper,no
3,"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",Pennycook 2018,yes,We consider only the warning tags intervention with non-previously familiarized items. That is because this is the intervention most comparable to other studies.,"data correspond to experiment 2, values taken from Table 3;
Considered as  treatment condition here: Familiarized politically concordant news with warning of 3rd fact checker sites",yes,2,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_concordant,3,6,,0.5,title_picture_pitch,source,accuracy,"As in other work on perceptions of news accuracy (Pennycook & Rand, 2017a, 2017b; Pennycook & Rand, 2018), participants were then asked “To the best of your knowledge, how accurate is the claim in the above headline?” and they rated accuracy on the following 4-point scale: 1) not at all accurate, 2) not very accurate, 3) somewhat accurate, 4) very accurate.",1,0,4,treatment,positive,multiple_familiarization_warningforfakenews,,,,,474.5,1.81,0.7,2.92,0.7,paper,no
3,"Pennycook, G., Cannon, T. D., & Rand, D. G. (2018). Prior exposure increases perceived accuracy of fake news. Journal of Experimental Psychology: General, 147(12), 1865–1880. https://doi.org/10.1037/xge0000465",Pennycook 2018,yes,We consider only the warning tags intervention with non-previously familiarized items. That is because this is the intervention most comparable to other studies.,"data correspond to experiment 2, values taken from Table 3;
Considered as  treatment condition here: Familiarized politically discordant news with warning of 3rd fact checker sites",yes,2,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_discordant,4,6,,0.5,title_picture_pitch,source,accuracy,"As in other work on perceptions of news accuracy (Pennycook & Rand, 2017a, 2017b; Pennycook & Rand, 2018), participants were then asked “To the best of your knowledge, how accurate is the claim in the above headline?” and they rated accuracy on the following 4-point scale: 1) not at all accurate, 2) not very accurate, 3) somewhat accurate, 4) very accurate.",1,0,4,treatment,positive,multiple_familiarization_warningforfakenews,,,,,474.5,1.6,0.6,2.49,0.6,paper,no
4,"Pennycook, G., & Rand, D. G. (2020). Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking. Journal of Personality, 88(2), 185–200. https://doi.org/10.1111/jopy.12476",Pennycook 2020,,,"data correspond to study 2, values for SD'S extracted from supplementary material;
'source' was coded as 'mixed' because no fine grained results were available for the two distinct source conditions;
regarding news items: ""Fake news stories were taken from a previous analysis of some of the most widely circulated during the 2016 Presidential election (along with contemporary real news stories) (Silverman et al., 2016). We did not attempt to balance the partisan leanings of the stories and therefore cannot draw inferences about partisanship here.""",yes,1,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,political,1,10,,0.5,title_picture_pitch,mixed,accuracy,"“To
the best of your knowledge, how accurate is the claim in
the above headline?” (response options: not at all accurate/
not very accurate/somewhat accurate/very accurate)",1,0,4,control,,,,,,,402,1.95,0.6,2.64,0.53,paper,no
4,"Pennycook, G., & Rand, D. G. (2020). Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking. Journal of Personality, 88(2), 185–200. https://doi.org/10.1111/jopy.12476",Pennycook 2020,,,"data correspond to study 3, values extracted from supplementary material ; 
data are from Pennycook and Rand 2019, 'Lazy not biased', experiment 1; because we don't report this experiment to avoid doubles, we code the news headlines use here as 'original'",yes,2,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_balanced,2,30,,0.5,title_picture_pitch,source,accuracy,"“To
the best of your knowledge, how accurate is the claim in
the above headline?” (response options: not at all accurate/
not very accurate/somewhat accurate/very accurate)",1,0,4,control,,,,,,,802,1.83,0.42,2.76,0.43,paper,no
5,"Bronstein, M. V., Pennycook, G., Bear, A., Rand, D. G., & Cannon, T. D. (2019). Belief in Fake News is Associated with Delusionality, Dogmatism, Religious Fundamentalism, and Reduced Analytic Thinking. Journal of Applied Research in Memory and Cognition, 8(1), 108–117. https://doi.org/10.1016/j.jarmac.2018.09.005",Bronstein 2019,,,data correspond to study 1; values extracted from table 1,yes,1,United States,within,yes,no,,recycled,"Pennycook, G., & Rand, D. G. (2020). Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking. Journal of Personality, 88(2), 185–200. https://doi.org/10.1111/jopy.12476",researchers,fact_checking,mainstream,politically_balanced,1,24,,0.5,title_picture_pitch,source,accuracy,"Accuracy ratingswere made on a four-point scale (1 = Not at all accurate, 4 = Veryaccurate). 
Belief in fake news was calculated using the averageof these judgments across all fake stories, 
while belief in realnews was calculated using the average across all real stories.",1,0,4,control,,,,,,,502,1.79,0.46,2.78,0.47,paper,no
5,"Bronstein, M. V., Pennycook, G., Bear, A., Rand, D. G., & Cannon, T. D. (2019). Belief in Fake News is Associated with Delusionality, Dogmatism, Religious Fundamentalism, and Reduced Analytic Thinking. Journal of Applied Research in Memory and Cognition, 8(1), 108–117. https://doi.org/10.1016/j.jarmac.2018.09.005",Bronstein 2019,,,data correspond to study 2; values extracted from table 1,yes,2,United States,within,yes,no,,recycled,"Pennycook, G., & Rand, D. G. (2020). Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking. Journal of Personality, 88(2), 185–200. https://doi.org/10.1111/jopy.12476",researchers,fact_checking,mainstream,politically_balanced,1,24,,0.5,title_picture_pitch,source,accuracy,"Accuracy ratingswere made on a four-point scale (1 = Not at all accurate, 4 = Veryaccurate). 
Belief in fake news was calculated using the averageof these judgments across all fake stories, 
while belief in realnews was calculated using the average across all real stories.",1,0,4,control,,,,,,,446,1.85,0.49,2.82,0.46,paper,no
6,"Pennycook, G., & Rand, D. G. (2019). Lazy, not biased: Susceptibility to partisan fake news is better explained by lack of reasoning than by motivated reasoning. Cognition, 188, 39–50. https://doi.org/10.1016/j.cognition.2018.06.011",Pennycook 2019,,,"data correspond to study 2; values extracted from supplementary material; 
Data for Study 2 were taken from the control condition of a set of five identical experiments 
that assessed a fact-checking intervention for fake news (Pennycook & Rand, 2017; 'the implied truth effect'; study 1); because we don't report this experiment to avoid doubles, we code the news headlines use here as 'original'
It would have been possible to read the different ratings according to politically concordant/discordant from a graph - but due to potential imprecision and no majort differences, I relied on the pooled ratings ",yes,1,United States,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_balanced,1,24,,0.5,title_picture_pitch,source,accuracy,"“To the best of your knowledge, how accurate is the claim in the above headline?” 
(response options: not at all accurate, not very accurate, somewhat accurate, very accurate)",1,0,4,control,,,,,,,2644,1.66,0.45,2.59,0.44,paper,no
7,"Guess, A. M., Lerner, M., Lyons, B., Montgomery, J. M., Nyhan, B., Reifler, J., & Sircar, N. (2020). A digital media literacy intervention increases discernment between mainstream and false news in the United States and India. Proceedings of the National Academy of Sciences, 117(27), 15536–15545. https://doi.org/10.1073/pnas.1920498117",Guess 2020,yes,,"data correspond to online India sample, wave 1, control group; values are obtained from correspondence with author Andy Guess; 
sample size not reported seperately for control and treatement group - we took overal sample size reported in paper and divided by two",yes,1,India,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_balanced,1,12,,0.5,title,nosource,accuracy,"original scale: 4-point scale ranging from very accurate (4) to not at all accurate (1).
The shares reported are on a binary scale, where 'somewhat accurate' (3) and 'very accurate' (4) are one category, 
and (1) and (2) the other, respectively.",1,0,4,control,,,,1,,,1636.5,2.4,0.729,2.77,0.694,authors,panel
7,"Guess, A. M., Lerner, M., Lyons, B., Montgomery, J. M., Nyhan, B., Reifler, J., & Sircar, N. (2020). A digital media literacy intervention increases discernment between mainstream and false news in the United States and India. Proceedings of the National Academy of Sciences, 117(27), 15536–15545. https://doi.org/10.1073/pnas.1920498117",Guess 2020,yes,,"data correspond to online India sample, wave 1, treatment group; values are obtained from correspondence with author Andy Guess; sample size not reported seperately for control and treatement group - we took overal sample size reported in paper and divided by two",yes,2,India,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_balanced,1,12,,0.5,title,nosource,accuracy,"original scale: 4-point scale ranging from very accurate (4) to not at all accurate (1).
The shares reported are on a binary scale, where 'somewhat accurate' (3) and 'very accurate' (4) are one category, 
and (1) and (2) the other, respectively.",1,0,4,treatment,positive,literacy,"6 strategies that readers can use to identify false or misleading stories that appear on their news feeds;
""Each respondent was randomly assigned to either the placebo or treatment condition for the media literacy intervention experiment (randomization occurs at the individual level in both the face-toface and the online survey). Those assigned to the treatment condition were shown (online) or read (face-to-face) six tips for spotting false news adapted from the ads Facebook and WhatsApp published in Hindi-language newspapers in India. Respondents in the control condition were not exposed to any tips. The tips were read or shown in two groups of three with a comprehension question after each set of tips. (See Figure A2 for wording.) To increase the likelihood of respondents understanding the tips, respondents in the online survey who provided an incorrect answer to either comprehension question were asked to read the tips and answer the question again. They were allowed to proceed in the survey after answering the question correctly or trying three times — whichever comes first. In the face-to-face survey, such a process was not undertaken due to concerns about respondent attention and attrition. Respondents who provide an incorrect answer to either comprehension question simply proceeded in the survey.""",1,,,1636.5,2.27,0.749,2.69,0.716,authors,panel
7,"Guess, A. M., Lerner, M., Lyons, B., Montgomery, J. M., Nyhan, B., Reifler, J., & Sircar, N. (2020). A digital media literacy intervention increases discernment between mainstream and false news in the United States and India. Proceedings of the National Academy of Sciences, 117(27), 15536–15545. https://doi.org/10.1073/pnas.1920498117",Guess 2020,yes,,"data correspond to online India sample, wave 2, control group; values are obtained from correspondence with author Andy Guess; sample size not reported seperately for control and treatement group - we took overal sample size reported in paper and divided by two",yes,1,India,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_balanced,2,16,,0.375,title,nosource,accuracy,"original scale: 4-point scale ranging from very accurate (4) to not at all accurate (1).
The shares reported are on a binary scale, where 'somewhat accurate' (3) and 'very accurate' (4) are one category, 
and (1) and (2) the other, respectively.",1,0,4,control,,,,2,,,684.5,2.11,0.731,2.62,0.685,authors,panel
7,"Guess, A. M., Lerner, M., Lyons, B., Montgomery, J. M., Nyhan, B., Reifler, J., & Sircar, N. (2020). A digital media literacy intervention increases discernment between mainstream and false news in the United States and India. Proceedings of the National Academy of Sciences, 117(27), 15536–15545. https://doi.org/10.1073/pnas.1920498117",Guess 2020,yes,,"data correspond to online India sample, wave 2, treatment group; values are obtained from correspondence with author Andy Guess; sample size not reported seperately for control and treatement group - we took overal sample size reported in paper and divided by two",yes,2,India,within,yes,no,,original,,researchers,fact_checking,mainstream,politically_balanced,2,16,,0.375,title,nosource,accuracy,"original scale: 4-point scale ranging from very accurate (4) to not at all accurate (1).
The shares reported are on a binary scale, where 'somewhat accurate' (3) and 'very accurate' (4) are one category, 
and (1) and (2) the other, respectively.",1,0,4,treatment,positive,1monthbefore_literacy,"In the first wave, ~1 month before, the sample received this treatment: 
the 6 strategies that readers can use to identify false or misleading stories that appear on their news feeds;
""Each respondent was randomly assigned to either the placebo or treatment condition for the media literacy intervention experiment (randomization occurs at the individual level in both the face-toface and the online survey). Those assigned to the treatment condition were shown (online) or read (face-to-face) six tips for spotting false news adapted from the ads Facebook and WhatsApp published in Hindi-language newspapers in India. Respondents in the control condition were not exposed to any tips. The tips were read or shown in two groups of three with a comprehension question after each set of tips. (See Figure A2 for wording.) To increase the likelihood of respondents understanding the tips, respondents in the online survey who provided an incorrect answer to either comprehension question were asked to read the tips and answer the question again. They were allowed to proceed in the survey after answering the question correctly or trying three times — whichever comes first. In the face-to-face survey, such a process was not undertaken due to concerns about respondent attention and attrition. Respondents who provide an incorrect answer to either comprehension question simply proceeded in the survey.""",2,,,684.5,2.13,0.738,2.57,0.709,authors,panel
7,"Guess, A. M., Lerner, M., Lyons, B., Montgomery, J. M., Nyhan, B., Reifler, J., & Sircar, N. (2020). A digital media literacy intervention increases discernment between mainstream and false news in the United States and India. Proceedings of the National Academy of Sciences, 117(27), 15536–15545. https://doi.org/10.1073/pnas.1920498117",Guess 2020,yes,,"data correspond to face-to-face India sample, wave 1, control group; values are obtained from correspondence with author Andy Guess; 
sample size not reported seperately for control and treatement group - we took overal sample size reported in paper and divided by two",yes,3,India,within,no,no,,original,,researchers,fact_checking,mainstream,politically_balanced,1,12,,0.5,title_read_out,nosource,accuracy,"original scale: 4-point scale ranging from very accurate (4) to not at all accurate (1).
The shares reported are on a binary scale, where 'somewhat accurate' (3) and 'very accurate' (4) are one category, 
and (1) and (2) the other, respectively.",1,0,4,control,,,,3,,,1872,2.83,0.766,3.08,0.753,authors,panel
