StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,CONSENT,DEM_GENDER,DEM_GENDER_2_TEXT,DEM_AGE,education,ATTCHECK_NUMBER,SCIINFO_newspapersmags,SCIINFO_tvradio,SCIINFO_newswebsitesapps,SCIINFO_videospodcasts,SCIINFO_filmsseries,SCIINFO_books,SCIINFO_socialmedia,SCIINFO_messengers,SCIINFO_museumszoos,SCIINFO_rlconversations,SCIENGAGE_conversations,SCIENGAGE_messengers,SCIENGAGE_socialmedia,SCIENGAGE_publicprotests,BENEFIT_OPEN,TRUST_OPEN,BENEFIT_ONESELF,BENEFIT_REGION_MOST,BENEFIT_REGION_LEAST,GOALS_PRIO_health,GOALS_PRIO_energy,GOALS_PRIO_poverty,GOALS_PRIO_defense,GOALS_TACKLE_health,GOALS_TACKLE_energy,GOALS_TACKLE_poverty,GOALS_TACKLE_defense,influence_integrate,influence_advocate,influence_communicate,influence_involved,NORMPERC_outreach,influence_independent,WILLVUL_gov,WILLVUL_you,competence_expert,integrity_honest,benevolence_concerned,TRUST_SCI_open,competence_intelligent,integrity_ethical,benevolence_improve,TRUST_SCI_trans,competence_qualified,integrity_sincere,benevolence_otherinterest,TRUST_SCI_otherviews,trust_method,TRUST_PEW,OUTSPOKEN_othersthink,OUTSPOKEN_isolate,OUTSPOKEN_against,SCIPOP_common,SCIPOP_good,SCIPOP_advantage,SCIPOP_cahoots,SCIPOP_influence,SCIPOP_involved,SCIPOP_lifeexp,SCIPOP_rely,ATTCHECK_RES,SDO_allgroupsconsider,SDO_notpushequality,SDO_equalityideal,SDO_superiordominate,CLIM_TRUST,CLIM_EMO_helpless,CLIM_EMO_anxious,CLIM_EMO_optimistic,CLIM_EMO_angry,CLIM_EMO_guilty,CLIM_EMO_ashamed,CLIM_EMO_depressed,CLIM_EMO_pessimistic,CLIM_EMO_indifferent,CLIM_GOV_concerns,CLIM_GOV_doingenough,CLIM_GOV_dismisspeople,CLIM_GOV_science,CLIM_GOV_futuregens,CLIM_GOV_trustworthy,CLIM_GOV_lying,CLIM_POLSUPPORT_fueltax,CLIM_POLSUPPORT_publictransport,CLIM_POLSUPPORT_sustenergy,CLIM_POLSUPPORT_protection,CLIM_POLSUPPORT_foodtax,CLIM_WEATHERPAST_floods,CLIM_WEATHERPAST_heatwaves,CLIM_WEATHERPAST_heavystorms,CLIM_WEATHERPAST_wildfires,CLIM_WEATHERPAST_heavyrain,CLIM_WEATHERPAST_droughts,CLIM_WEATHERFUTU_floods,CLIM_WEATHERFUTU_heatwaves,CLIM_WEATHERFUTU_heavystorms,CLIM_WEATHERFUTU_wildfires,CLIM_WEATHERFUTU_heavyrain,CLIM_WEATHERFUTU_droughts,DEM_INCOME,DEM_POL_conservative,DEM_POL_right,DEM_RELIGIOUS,DEM_RESIDENCE,disciplines_trust_general,disciplines_trust_biology,disciplines_trust_physics,disciplines_trust_climate,disciplines_trust_economics,disciplines_trust_sociology,disciplines_consensus_general,disciplines_consensus_biology,disciplines_consensus_physics,disciplines_consensus_climate,disciplines_consensus_economics,disciplines_consensus_sociology,disciplines_precision_general,disciplines_precision_biology,disciplines_precision_physics,disciplines_precision_climate,disciplines_precision_economics,disciplines_precision_sociology,CT_climate...140,CT_vaccine...141,CT_lantian...142,VJS_1,VJS_2,subjective_status,CT_climate...146,Q122_5...147,CT_vaccine...148,Q122_6...149,CT_climate...150,Q122_5...151,CT_vaccine...152,Q122_6...153,CT_climate...154,Q122_5...155,CT_vaccine...156,Q122_6...157,ATT_AI _P1...158,ATT_AI _P2...159,ATT_AI _P3...160,ATT_AI _N1...161,ATT_AI _N2...162,ATT_AI _N3...163,ATT_TRUST_AI_11,ATT_TRUST_AI_12,ATT_AI _P1...166,ATT_AI _P2...167,ATT_AI _P3...168,ATT_AI _N1...169,ATT_AI _N2...170,ATT_AI _N3...171,CT_lantian...172,ID,attcheck_number,attcheck_res,benevolence,competence,integrity,influence_policy,influence_lifestyle,trust_composite,income,income_log,id
2023-02-21 17:42:37,2023-02-21 18:04:37,0,100,1320,1,2023-02-21 18:04:38,R_2trgJwtQA1LlYiq,anonymous,FR,1,0,NA,38,3,213,3,5,3,2,3,1,3,1,1,3,4,3,1,1,Ceux qui font des études scientifiques et qui travaillent ensuite grâce à leur études,NA,3,6,1,4,5,4,5,3,4,3,4,1,3,3,5,5,4,5,5,5,4,4,4,5,4,5,4,5,4,4,4,4,5,5,4,5,5,4,1,1,4,5,2,2,1,6,6,7,6,3,4,4,3,5,2,2,3,3,1,3,1,5,3,1,1,3,2,3,3,3,1,4,5,4,2,3,5,3,5,3,2,3,5,35000,99,99,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,2,5,7,6,5,1,4,4,3,5,4,3,3,1,1,4,4,5,4,3,3,1,1,8,236591981825126,213,1,4.333333333333333,5,4,3.2,5,4.666666666666667,35000,10.46310334047155,11
2023-02-21 18:36:26,2023-02-21 18:58:53,0,100,1347,1,2023-02-21 18:58:54,R_3nVt4OQZypILeY1,anonymous,FR,1,1,NA,46,3,213,1,1,1,1,1,1,1,1,2,1,3,1,1,1,NA,Ces connaissances,3,4,1,5,3,1,4,5,3,3,5,5,3,5,3,5,5,5,4,4,3,4,3,3,4,4,5,4,4,4,4,3,3,5,1,3,3,3,1,1,2,3,3,3,1,10,5,5,1,3,5,3,5,3,3,1,1,1,1,1,1,5,1,1,1,5,1,3,3,3,1,5,5,5,1,5,5,5,5,5,1,5,5,2100,99,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,4,1,1,5,2,1,2,1,1,1,2,3,2,2,2,3,2,3,2,3,2,2,2,2,5,236591981671573,213,1,4,3.6666666666666665,3.6666666666666665,4.2,5,3.8333333333333335,2100,7.649692623711514,12
2023-02-21 19:21:53,2023-02-21 19:39:28,0,100,1055,1,2023-02-21 19:39:28,R_cOBs8DwbR1gbiAV,anonymous,FR,1,1,NA,60,4,213,1,4,1,2,1,1,2,2,1,3,3,2,1,1,NA,démarche scientifique: constatation expérimentation bilan me donne confiance,3,4,1,4,5,4,1,4,5,2,4,3,1,4,3,5,5,4,3,4,3,3,3,4,3,4,3,4,3,2,1,4,3,5,1,5,4,1,3,4,3,4,3,4,1,10,5,8,1,3,2,1,3,3,1,3,2,1,4,2,2,5,2,2,1,5,2,1,2,3,1,3,3,3,4,2,4,3,4,3,5,3,4,25000,99,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,4,2,4,6,6,1,2,3,1,1,4,2,3,3,3,1,2,2,3,3,3,4,3,3,236591981815983,213,1,3,4,3,3.2,4,3.5,25000,10.126631103850338,13
2023-02-21 19:21:36,2023-02-21 19:53:38,0,100,1922,1,2023-02-21 19:53:39,R_riqHqm8Pz2dZABj,anonymous,FR,1,1,NA,54,3,213,2,5,5,2,2,3,3,1,1,1,3,6,6,1,NA,leurs métier et leurs publications et leurs situation dans leurs métier,5,4,1,5,5,5,4,5,5,4,5,4,3,2,2,4,3,5,3,4,4,3,3,4,4,5,4,4,4,4,3,4,5,2,1,2,3,2,2,2,1,2,3,2,1,9,3,9,1,3,4,1,4,3,1,1,1,1,1,3,3,3,4,4,3,4,3,3,3,3,4,3,4,3,3,2,2,2,2,2,3,2,3,1100,99,5,3,2,5,5,4,2,2,3,4,4,4,2,2,3,4,4,4,3,2,3,2,2,6,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981819124,213,1,4,4,4,2.8,4,4,1100,7.003065458786462,14
2023-02-21 19:05:44,2023-02-21 19:57:17,0,100,3092,1,2023-02-21 19:57:17,R_2QhQLQhVVzgR9q3,anonymous,FR,1,0,NA,33,4,213,1,1,1,1,1,1,1,1,1,1,3,1,1,1,NA,"Les études, son ethique",2,4,1,4,4,4,5,5,5,2,3,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,2,3,1,6,7,7,7,3,4,3,2,4,4,4,4,4,2,1,1,5,1,1,1,5,2,3,3,3,1,4,4,4,4,4,4,5,5,5,5,5,5,39000,99,99,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,5,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981685979,213,1,4,4,4,4.6,4,4,39000,10.571316925111784,15
2023-02-21 19:57:30,2023-02-21 20:16:27,0,100,1136,1,2023-02-21 20:16:28,R_qyh84jown1a8Aox,anonymous,FR,1,1,NA,48,4,213,1,2,1,1,1,1,1,1,1,2,1,1,1,1,Les industries à qui la science permet de grandes avancées.,NA,3,6,1,5,4,4,2,4,3,2,2,3,3,3,3,4,4,4,4,4,4,4,3,5,4,4,2,4,4,4,3,5,4,1,1,1,4,3,3,3,2,2,3,3,1,6,2,8,2,4,4,4,1,4,3,3,3,4,1,2,1,4,2,2,1,5,2,2,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,47789,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,2,3,7,5,2,1,1,1,1,3,1,3,4,5,5,1,1,4,2,3,5,5,4,2,236591981665403,213,1,4,4.333333333333333,4,3.2,4,4.166666666666667,47789,10.774550766473594,16
2023-02-21 20:18:36,2023-02-21 20:41:19,0,100,1362,1,2023-02-21 20:41:21,R_1GCWD1Cauyf1MZX,anonymous,FR,1,0,NA,21,3,213,1,5,4,1,1,1,6,1,1,1,4,4,4,2,NA,Les études effectuées,4,4,1,3,5,3,2,5,2,3,1,2,1,4,5,5,4,5,4,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,3,1,4,3,2,1,10,3,10,1,4,5,5,1,5,5,4,5,4,1,1,1,5,1,1,1,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,61000,1,1,2,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,2,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981817037,213,1,4,4.333333333333333,4,3.2,5,4.166666666666667,61000,11.018629143155449,17
2023-02-21 20:24:39,2023-02-21 20:50:12,0,100,1533,1,2023-02-21 20:50:13,R_1rrEO1AsJxfJUoB,anonymous,FR,1,1,NA,65,4,213,5,6,4,3,3,1,3,2,2,5,6,2,4,1,La planète entière,NA,5,2,5,5,5,5,5,4,3,2,3,3,3,3,4,5,3,5,4,3,3,4,3,3,3,3,3,4,3,3,3,5,3,4,4,4,3,2,3,3,3,3,2,3,1,10,1,10,1,2,3,3,3,5,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,NA,4,4,4,1,4,4,4,3,3,4,3,4,4,2,3,4,4,4,4,3,3,4,2,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981815984,213,1,3.3333333333333335,3.3333333333333335,3,3.2,5,3.3333333333333335,NA,NA,18
2023-02-21 21:00:20,2023-02-21 21:11:27,0,100,666,1,2023-02-21 21:11:27,R_12bakQU64wnkTGp,anonymous,FR,1,0,NA,28,4,213,1,1,1,1,1,1,1,1,1,1,3,1,1,1,NA,Ses connaissances et sa passion,3,4,1,4,5,4,3,3,3,3,3,4,4,5,5,5,2,4,4,4,4,4,3,4,4,4,2,4,4,4,4,5,3,3,4,4,5,2,3,3,2,4,2,4,1,9,3,7,1,4,4,3,4,2,2,3,2,2,4,2,3,2,3,3,3,3,2,1,3,3,2,4,4,5,5,5,5,5,3,4,5,5,5,17000,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,5,4,3,7,2,6,1,3,4,3,2,2,2,2,5,4,2,1,2,2,2,3,5,5,6,236591981679801,213,1,4,4,4,4,3,4,17000,9.740968623038354,19
2023-02-21 15:33:15,2023-02-21 21:48:42,0,100,22527,1,2023-02-21 21:48:43,R_3iIse5yrNPN1iJx,anonymous,FR,1,0,NA,37,4,213,2,4,4,3,1,1,4,1,2,1,2,1,2,1,NA,.,5,6,1,5,4,4,3,5,4,3,2,4,4,5,5,4,4,5,4,4,4,4,4,4,3,4,4,5,4,4,3,3,3,4,4,4,3,2,3,2,3,2,4,4,1,8,8,10,1,4,3,4,2,4,2,2,2,4,1,2,2,3,2,2,3,2,1,3,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,25000,4,4,2,2,4,5,5,3,3,4,4,3,4,3,3,3,4,4,4,3,2,3,1,1,3,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236591981682889,213,1,4,4.333333333333333,3.6666666666666665,4.4,4,4.166666666666667,25000,10.126631103850338,20
