StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,0_acc_a_1,0_com_a,0_acc_b_1,0_com_b,1_acc_a_1,1_com_a,1_acc_b_1,1_com_b,2_acc_a_1,2_com_a,2_acc_b_1,2_com_b,3_acc_a_1,3_com_a,3_acc_b_1,3_com_b,Q1,gender,age,education,PROLIFIC_PID,number,counter
2023-06-06 12:59:23,2023-06-06 13:01:25,0,51.187.244.174,100,122,1,2023-06-06 13:01:27,R_3qmyIoIeZehqoL4,,,,,53.5058,-2.2209,anonymous,EN,1,I pay attention,33,4,33,4,33,4,33,4,33,5,33,4,33,5,33,5,,2,38,6,5831960ab232860001b110dc,three,8
2023-06-06 12:59:08,2023-06-06 13:01:26,0,209.35.85.175,100,137,1,2023-06-06 13:01:27,R_3OoiQeP4W3OL5sZ,,,,,53.4729,-2.2908,anonymous,EN,1,I pay attention,33,4,33,4,33,4,33,4,33,4,33,4,50,4,50,4,,2,44,5,5e02285cac9e16dcddb845ef,three,8
2023-06-06 12:59:31,2023-06-06 13:01:28,0,139.222.193.32,100,117,1,2023-06-06 13:01:29,R_C7jgDPyUwCvhFSx,,,,,52.6267,1.2176,anonymous,EN,1,I pay attention,50,4,40,4,81,5,82,5,75,4,66,4,80,5,81,5,,2,34,5,5b224205a0527a00019d40ea,three,8
2023-06-06 12:59:28,2023-06-06 13:01:29,0,89.243.105.190,100,120,1,2023-06-06 13:01:29,R_125bHlGJMa4Qih6,,,,,52.2777,-0.8284,anonymous,EN,1,I pay attention,100,6,100,6,100,5,100,6,100,6,100,6,100,6,100,5,,1,46,5,57509aade19ee9000680df04,three,8
2023-06-06 12:59:28,2023-06-06 13:01:33,0,92.232.139.171,100,124,1,2023-06-06 13:01:34,R_1IEMn7ZSJta6iXl,,,,,51.5564,0.0714,anonymous,EN,1,I pay attention,30,6,30,4,20,4,35,4,61,4,64,5,70,5,80,5,,1,22,5,62c9e5f7ad5a36ab331103bb,ten_distant,8
2023-06-06 12:59:22,2023-06-06 13:01:33,0,80.194.12.43,100,130,1,2023-06-06 13:01:34,R_2viCYwkjrnRMv5U,,,,,51.8659,-2.2059,anonymous,EN,1,I pay attention,37,4,40,3,33,4,34,4,70,5,67,5,90,6,92,6,,2,42,5,54b19cadfdf99b0b3d806330,three,8
2023-06-06 12:59:35,2023-06-06 13:01:34,0,80.4.9.77,100,119,1,2023-06-06 13:01:35,R_3IcNbjyARWIrYsn,,,,,50.7988,-1.0944,anonymous,EN,1,i pay attention,10,2,9,2,32,4,31,4,80,5,81,6,30,4,31,4,,2,25,5,6303b06e6c5c25b452b2d1e3,three,8
2023-06-06 12:59:30,2023-06-06 13:01:40,0,86.26.116.92,100,130,1,2023-06-06 13:01:41,R_1qhcOsKJi2WSi0q,,,,,51.4703,-3.2811,anonymous,EN,1,I pay attention,23,4,30,3,46,5,51,5,65,5,64,5,85,6,80,6,,2,23,6,5b7da2499fcd3c000118f680,ten_distant,8
2023-06-06 13:00:00,2023-06-06 13:01:42,0,81.105.35.221,100,101,1,2023-06-06 13:01:42,R_2dLbKMGZk2NlOOY,,,,,51.4519,0.1787,anonymous,EN,1,I pay attention,33,3,33,4,34,4,35,4,33,4,66,4,75,4,75,4,,1,40,3,634689122e997b8299adeda5,ten_distant,8
2023-06-06 12:59:47,2023-06-06 13:01:43,0,86.25.210.220,100,116,1,2023-06-06 13:01:44,R_2Sq1V3xBCJGSQPJ,,,,,53.4067,-2.5637,anonymous,EN,1,I pay attention,19,3,9,2,33,4,33,4,66,5,65,4,91,6,93,6,,1,35,3,60c9fb4d94d9b12b74cfe1c2,ten_distant,8
2023-06-06 12:59:10,2023-06-06 13:01:44,0,86.185.19.165,100,153,1,2023-06-06 13:01:45,R_2xP3HmCT40jZHfB,,,,,53.3019,-1.744,anonymous,EN,1,I pay attention,25,3,26,3,33,4,33,4,66,5,66,5,75,6,75,6,,2,28,6,5cf66ed8912f0b0017c50b52,three,8
2023-06-06 12:59:38,2023-06-06 13:01:44,0,82.31.6.21,100,125,1,2023-06-06 13:01:45,R_1kMoyDTq7tJYOpZ,,,,,53.0278,-2.1658,anonymous,EN,1,I pay attention,48,4,50,4,51,4,50,4,60,5,61,5,72,5,73,5,,1,24,5,6385fd4f0e0133c619851b7e,three,8
2023-06-06 12:59:45,2023-06-06 13:01:45,0,82.7.94.181,100,119,1,2023-06-06 13:01:46,R_1ml2Gv9mTPbqvWx,,,,,53.4836,-2.2862,anonymous,EN,1,I pay attention,35,4,20,4,30,4,35,4,67,5,65,5,85,6,83,6,,1,33,5,62fb79e7c968f4fc555d1e2f,ten,8
2023-06-06 12:59:27,2023-06-06 13:01:45,0,81.100.168.8,100,137,1,2023-06-06 13:01:46,R_1HjVjhOXdaMfcOh,,,,,51.4615,-0.1409,anonymous,EN,1,I pay attention,22,3,21,3,50,4,29,4,69,5,70,5,95,5,87,6,,2,27,5,604633f72d9cdc0a1b04fc3c,three,8
2023-06-06 12:59:39,2023-06-06 13:01:46,0,165.225.17.1,100,126,1,2023-06-06 13:01:47,R_eDVc5EDddTz5u0x,,,,,51.5095,-0.0955,anonymous,EN,1,I pay attention,26,2,26,2,34,4,33,3,66,5,68,5,86,6,87,6,,2,29,7,6447efd59bfb37374e1c7d3b,ten,8
2023-06-06 12:59:29,2023-06-06 13:01:47,0,194.80.113.4,100,137,1,2023-06-06 13:01:48,R_w0CQkiix7fsyzIZ,,,,,51.3295,0.578,anonymous,EN,1,I pay attention,1,4,1,4,4,4,0,4,51,5,50,5,100,7,100,7,,2,40,5,5c502180f1561a00011d51c1,three,8
2023-06-06 12:59:45,2023-06-06 13:01:47,0,81.98.74.11,100,122,1,2023-06-06 13:01:48,R_3ETryQkm0y26fWq,,,,,51.4781,-0.0279,anonymous,EN,1,I pay attention,25,2,25,2,45,3,40,3,75,4,75,4,85,6,85,5,,1,26,5,5c352f5629a7ee0001c19558,three,8
2023-06-06 12:59:44,2023-06-06 13:01:48,0,82.26.3.16,100,123,1,2023-06-06 13:01:49,R_3PC8NdVbsE0poUV,,,,,53.8318,-1.5358,anonymous,EN,1,I pay attention,45,4,51,4,31,4,33,4,66,4,63,4,99,4,81,4,,2,37,5,54cc8b23fdf99b28036e2467,three,8
2023-06-06 12:59:18,2023-06-06 13:01:49,0,165.225.17.158,100,150,1,2023-06-06 13:01:49,R_3lYe2MJfEmMqGkh,,,,,51.5095,-0.0955,anonymous,EN,1,I pay attention,20,2,20,2,41,4,42,4,60,5,62,5,95,6,95,6,,2,42,5,6148534692faf0e96f0858b2,ten_distant,8
2023-06-06 12:59:22,2023-06-06 13:01:51,0,31.96.195.210,100,148,1,2023-06-06 13:01:51,R_3Rww1Oj7jpFnl8N,,,,,55.1298,-1.5626,anonymous,EN,1,I pay attention,30,3,30,3,40,4,40,3,65,5,65,5,80,6,70,5,,2,22,8,5efbb75dc7a625169185e94f,ten_distant,8
2023-06-06 12:59:56,2023-06-06 13:01:50,0,2.25.234.72,100,114,1,2023-06-06 13:01:51,R_3p3bKpVdIajA9mN,,,,,53.4142,-2.228,anonymous,EN,1,I pay attention,20,2,20,2,33,4,33,4,70,5,60,5,90,6,85,6,,1,42,5,5d1e3a4851bab9000116226f,three,8
2023-06-06 12:59:24,2023-06-06 13:01:51,0,82.7.245.58,100,146,1,2023-06-06 13:01:52,R_yQt3FoI2GI3HPsl,,,,,50.7241,-1.7891,anonymous,EN,1,I pay attention,20,2,5,1,33,4,33,4,80,6,70,5,100,7,100,7,,1,29,2,629f6b8c65fcae219e245284,ten,8
2023-06-06 12:59:31,2023-06-06 13:01:51,0,2.216.49.143,100,140,1,2023-06-06 13:01:52,R_3iKh7qO2QThKgpJ,,,,,51.1449,0.3225,anonymous,EN,1,I pay attention,19,3,18,3,19,3,18,3,81,5,81,5,100,6,100,6,,2,56,7,5f1833a16e55c522eeaf4dbe,ten_distant,8
2023-06-06 12:59:06,2023-06-06 13:01:53,0,86.20.216.206,100,166,1,2023-06-06 13:01:54,R_3PvsbZ5deOWme1C,,,,,52.5678,1.662,anonymous,EN,1,I pay attention,10,4,10,4,10,4,10,4,10,4,10,4,30,4,30,4,,2,31,5,5fcd709227fabfc6ca7a969e,ten_distant,8
2023-06-06 12:59:25,2023-06-06 13:01:54,0,147.161.237.18,100,148,1,2023-06-06 13:01:55,R_Di45hMDiLltoVyN,,,,,53.5058,-2.2209,anonymous,EN,1,I pay attention,29,3,19,3,50,4,50,4,81,5,81,5,92,6,92,6,,2,43,6,5db143c6711b3c00180fdea1,ten,8
2023-06-06 13:00:00,2023-06-06 13:01:55,0,92.20.235.227,100,114,1,2023-06-06 13:01:56,R_1q8JdG8tZkHrXQA,,,,,50.9469,-1.4112,anonymous,EN,1,I pay attention,15,2,15,2,33,4,33,4,80,5,80,5,90,6,90,6,,1,31,3,5d68c8aa40524c00189e8ac2,three,8
2023-06-06 12:59:46,2023-06-06 13:01:56,0,86.131.214.53,100,130,1,2023-06-06 13:01:57,R_3PKTFRLbOSYjkbA,,,,,51.4866,-3.1549,anonymous,EN,1,I pay attention,33,4,40,4,34,4,35,4,40,4,61,4,75,5,73,5,,1,32,5,5ad4ff8b20bce50001271677,ten,8
2023-06-06 12:59:22,2023-06-06 13:02:01,0,2.222.230.47,100,159,1,2023-06-06 13:02:02,R_Dvl5y2gcRG6L2zn,,,,,52.9791,-0.0269,anonymous,EN,1,I pay attention,26,3,24,3,50,4,50,4,71,5,82,5,95,6,95,6,,2,31,2,5ec6c8ad6f911e0e87e58b1f,three,8
2023-06-06 12:59:14,2023-06-06 13:02:01,0,2.122.247.183,100,167,1,2023-06-06 13:02:03,R_9o63UaXVUTmcwTf,,,,,51.504,-0.3609,anonymous,EN,1,I pay attention,19,3,19,3,32,4,32,4,63,4,50,4,76,5,77,5,,2,31,6,5f26dd3e6b1b3102c2d9194d,ten_distant,8
2023-06-06 12:59:37,2023-06-06 13:02:03,0,194.75.31.117,100,146,1,2023-06-06 13:02:04,R_3fqKmpsrDS9K7Gq,,,,,53.3553,-1.5633,anonymous,EN,1,"I pay attention ",30,3,39,3,44,4,40,4,72,5,71,5,71,6,81,6,,1,25,6,63d40198e02717adf9ef6b92,ten,8
2023-06-06 12:59:50,2023-06-06 13:02:06,0,86.169.230.143,100,136,1,2023-06-06 13:02:07,R_7QBelDlRc5jHiHn,,,,,51.434,0.3486,anonymous,EN,1,I pay attention,30,4,29,4,29,4,29,5,60,5,61,4,82,5,51,5,,1,51,2,5afcbf18fabc8900018854d9,three,8
2023-06-06 12:59:39,2023-06-06 13:02:09,0,90.243.25.235,100,149,1,2023-06-06 13:02:09,R_2QoIzohusMwoNjG,,,,,51.6115,-0.2496,anonymous,EN,1,I pay attention,33,3,33,3,33,4,34,4,78,5,66,5,94,6,93,6,,1,48,6,60bceb1dcefc0afe67041489,three,8
2023-06-06 12:59:41,2023-06-06 13:02:09,0,5.69.211.227,100,147,1,2023-06-06 13:02:10,R_1gFwaMdL0hvhe5C,,,,,55.9519,-4.748,anonymous,EN,1,I pay attention,5,1,5,1,50,4,50,4,90,6,90,6,100,7,100,7,,1,35,4,60fd3ab1157a5701a2cc3468,ten_distant,8
2023-06-06 12:59:57,2023-06-06 13:02:09,0,81.99.45.54,100,132,1,2023-06-06 13:02:10,R_3MmTgAg4QhgDw1f,,,,,54.571,-1.316,anonymous,EN,1,I pay attention,24,4,26,4,20,4,33,4,71,5,51,4,80,5,100,7,,2,34,5,5c63363b935c87000118a78a,three,8
2023-06-06 13:00:10,2023-06-06 13:02:10,0,82.132.184.132,100,119,1,2023-06-06 13:02:11,R_3NUiE8WVjMnaAvI,,,,,53.8081,-1.5894,anonymous,EN,1,"I pay attention ",50,4,50,4,50,4,50,5,58,5,60,5,50,4,70,6,,2,28,5,612288fe5afea1bf6b8a197e,three,8
2023-06-06 12:59:20,2023-06-06 13:02:10,0,86.138.71.215,100,169,1,2023-06-06 13:02:11,R_265q32cTEhV0twn,,,,,51.5844,-3.2123,anonymous,EN,1,i pay attention,100,6,100,6,100,6,99,6,100,6,100,6,100,6,100,6,,2,24,8,6136001fcd0e07e6f5f66bc1,three,8
2023-06-06 13:00:04,2023-06-06 13:02:11,0,5.67.109.204,100,126,1,2023-06-06 13:02:11,R_2pSRhphSRDDo6bD,,,,,56.1,-3.1547,anonymous,EN,1,I pay attention,30,3,24,3,21,3,24,3,36,4,50,4,62,5,62,5,,2,46,2,58945874b5496d00018cfe1c,ten,8
2023-06-06 12:59:06,2023-06-06 13:02:11,0,94.174.10.10,100,184,1,2023-06-06 13:02:12,R_2YAp0ErvPQBXU9e,,,,,52.5876,-1.9828,anonymous,EN,1,I pay attention,5,2,5,2,25,3,10,2,85,6,90,6,98,7,99,7,,2,38,3,5acca930a3ba7a0001b500fa,ten_distant,8
2023-06-06 12:59:29,2023-06-06 13:02:13,0,92.27.83.233,100,164,1,2023-06-06 13:02:14,R_Ua60JCVNaMwLBGV,,,,,51.5435,-0.1733,anonymous,EN,1,I pay attention,10,4,10,4,10,5,20,4,9,4,31,5,82,5,52,4,,1,33,5,62a727c0b6efe57fb90a5b86,ten_distant,8
2023-06-06 12:59:08,2023-06-06 13:02:13,0,80.192.16.187,100,185,1,2023-06-06 13:02:14,R_12qYZrUDqxdVSHX,,,,,55.951,-4.5752,anonymous,EN,1,I pay attention,33,4,33,4,50,4,50,4,66,5,66,6,90,6,90,6,,2,29,3,5b2a72f7c293b90001732b89,ten,8
2023-06-06 13:00:01,2023-06-06 13:02:13,0,86.129.44.245,100,131,1,2023-06-06 13:02:15,R_2BqSGNj37l1LCtb,,,,,55.8319,-4.4322,anonymous,EN,1,I pay attention,50,5,50,5,50,5,50,4,50,4,50,4,50,5,50,5,,1,29,5,5ef877bb6b0ed15b3f6ae106,ten_distant,8
2023-06-06 12:59:30,2023-06-06 13:02:14,0,86.135.53.104,100,163,1,2023-06-06 13:02:15,R_2sJwO0QVwapg4lb,,,,,53.5815,-2.1778,anonymous,EN,1,i pay attention,20,4,33,4,30,4,31,4,52,4,52,4,90,6,90,5,,1,23,6,63f78f511969d7e1b13907e4,three,8
2023-06-06 13:00:00,2023-06-06 13:02:16,0,81.104.178.227,100,136,1,2023-06-06 13:02:17,R_324mJYn7drwIkA2,,,,,51.5893,-2.9931,anonymous,EN,1,I pay attention,31,3,51,4,51,4,39,4,70,5,49,4,81,6,92,6,,2,42,2,611fa5517f72908edb2aeac3,three,8
2023-06-06 12:59:58,2023-06-06 13:02:19,0,81.187.228.90,100,140,1,2023-06-06 13:02:20,R_3KUzErkqoxiC3MP,,,,,52.2592,0.2223,anonymous,EN,1,I pay attention,25,3,22,3,50,4,50,4,75,5,72,6,85,5,84,6,,3,45,7,59a6aa43b2130b000179d303,ten,8
2023-06-06 13:00:03,2023-06-06 13:02:19,0,86.169.107.175,100,136,1,2023-06-06 13:02:20,R_3m8K7rS0XeH4uhK,,,,,51.6327,-3.9449,anonymous,EN,1,I pay attention,50,4,49,4,51,4,51,4,49,4,52,4,50,4,49,4,,1,53,5,636cc5fa559ec4d93e272972,ten_distant,8
2023-06-06 12:59:27,2023-06-06 13:02:19,0,80.6.126.104,100,172,1,2023-06-06 13:02:20,R_1IRYXc0c7oY7VLp,,,,,53.278,-2.9349,anonymous,EN,1,I pay attention,9,2,8,2,9,2,9,2,50,5,50,4,100,7,100,7,,1,76,2,5ea01b4b2d7b4d0243d93f78,three,8
2023-06-06 12:59:27,2023-06-06 13:02:20,0,188.29.191.234,100,172,1,2023-06-06 13:02:20,R_ZxyKmZyrcGB1L57,,,,,53.3929,-1.5455,anonymous,EN,1,I pay attention,10,4,10,4,10,4,10,4,10,4,10,4,10,4,10,4,,2,40,5,607da171f464f9e638d62de2,ten,8
2023-06-06 12:59:50,2023-06-06 13:02:20,0,92.0.153.238,100,150,1,2023-06-06 13:02:21,R_BJIs7xsaygU3oOt,,,,,51.456,-0.0611,anonymous,EN,1,I pay attention,10,2,37,4,88,5,65,6,74,6,80,5,95,7,99,6,,2,58,5,5ee64d0bf796cb3b252a8c99,ten_distant,8
2023-06-06 12:59:16,2023-06-06 13:02:20,0,109.144.217.208,100,184,1,2023-06-06 13:02:21,R_e5q3jFwBh3lHWCd,,,,,51.5095,-0.0955,anonymous,EN,1,I pay attention,29,5,28,5,35,5,35,5,66,5,66,5,92,6,90,6,,1,42,2,57d5ab3a722df500017f3622,three,8
2023-06-06 13:00:05,2023-06-06 13:02:21,0,88.107.236.114,100,135,1,2023-06-06 13:02:21,R_2Vgu3Pv2JXzJy3f,,,,,52.4778,-1.9326,anonymous,EN,1,"I pay attention ",59,5,62,6,43,6,55,6,54,5,42,6,100,7,88,7,,2,33,5,5ef90df679cf2c68bd7dfc8f,three,8
2023-06-06 12:59:33,2023-06-06 13:02:21,0,188.220.102.49,100,168,1,2023-06-06 13:02:22,R_3KBhiDzCaYfiBAR,,,,,53.753,-2.359,anonymous,EN,1,I pay attention,20,3,33,5,20,3,20,3,40,5,33,5,33,5,70,5,,1,24,2,59b555702a78fd00010b86d4,three,8
2023-06-06 12:59:51,2023-06-06 13:02:22,0,79.67.128.70,100,151,1,2023-06-06 13:02:23,R_1daXEcaKU6NKEKZ,,,,,52.7983,-1.5652,anonymous,EN,1,I pay attention,35,4,31,4,34,4,34,4,72,5,72,5,89,6,90,6,,2,61,2,5774ed97d8e8880001b2ff6c,ten,8
2023-06-06 12:59:42,2023-06-06 13:02:23,0,82.37.65.186,100,160,1,2023-06-06 13:02:23,R_ClxEc3hhjlfwhzP,,,,,51.4535,-2.5917,anonymous,EN,1,I pay attention,1,1,2,1,9,2,9,2,81,5,81,5,95,6,95,6,,2,25,6,615ecf9bbbde0569cbf6fe21,ten_distant,8
2023-06-06 13:00:04,2023-06-06 13:02:23,0,86.183.228.39,100,139,1,2023-06-06 13:02:24,R_2ykMg2HxDDrrn6Y,,,,,57.6533,-3.3219,anonymous,EN,1,I pay attention,35,2,35,3,40,4,34,2,74,5,75,5,94,6,95,6,,1,46,2,5dc486da84799a35fbede98d,three,8
2023-06-06 12:59:16,2023-06-06 13:02:24,0,92.234.142.131,100,187,1,2023-06-06 13:02:25,R_3NTLaadtC6kD2G5,,,,,56.421,-3.4766,anonymous,EN,1,I pay attention,48,4,50,4,44,4,48,4,61,5,61,5,55,5,60,5,,2,61,5,60461bfeeac81b04cf62f7a6,ten,8
2023-06-06 13:00:08,2023-06-06 13:02:24,0,149.241.57.115,100,136,1,2023-06-06 13:02:25,R_qPbY9iwoqzkvac9,,,,,54.5579,-1.328,anonymous,EN,1,I pay attention,33,3,33,3,33,4,33,4,80,6,70,5,100,7,100,7,,1,42,5,5e66c77e8ebdaf4466e26326,three,8
2023-06-06 12:59:37,2023-06-06 13:02:25,0,51.187.103.35,100,167,1,2023-06-06 13:02:25,R_3hDCw17FZgYM42Y,,,,,51.3488,-0.0321,anonymous,EN,1,I pay attention,19,4,19,3,30,3,29,3,71,5,71,5,92,6,91,6,,2,36,6,5c17a92da13b830001a82e75,three,8
2023-06-06 12:59:39,2023-06-06 13:02:26,0,2.24.250.255,100,167,1,2023-06-06 13:02:26,R_1g629JRGdM9IwNa,,,,,53.2893,-3.4675,anonymous,EN,1,I pay attention,33,2,33,3,33,4,33,4,33,5,33,5,33,6,33,6,,2,30,5,6400dea5d0831d9a82d48d74,three,8
2023-06-06 12:59:33,2023-06-06 13:02:27,0,81.97.52.145,100,173,1,2023-06-06 13:02:27,R_An527HdNVZZC6Qh,,,,,52.6152,-1.6655,anonymous,EN,1,"I pay attention ",46,3,43,4,52,4,56,5,80,5,86,6,87,6,43,3,,2,28,2,60cb358cae78471cdfa7a0a6,ten,8
2023-06-06 12:59:53,2023-06-06 13:02:29,0,31.125.203.41,100,155,1,2023-06-06 13:02:29,R_246IssytqT6Y8wL,,,,,52.8843,-1.3647,anonymous,EN,1,I  pay attention,33,4,33,4,33,4,33,4,67,4,67,4,90,6,90,6,,2,74,5,5d7874252f037f0016637125,three,8
2023-06-06 12:59:36,2023-06-06 13:02:29,0,84.70.232.77,100,172,1,2023-06-06 13:02:30,R_2ylNouJfru4G0dO,,,,,53.4802,-2.1867,anonymous,EN,1,I pay attention,56,4,76,5,38,3,51,3,77,5,54,4,77,5,89,6,,1,58,3,5d1c9d39ff67e3000140ca87,ten_distant,8
2023-06-06 13:00:01,2023-06-06 13:02:31,0,94.174.63.245,100,149,1,2023-06-06 13:02:32,R_1MQVBTSTYuskKbi,,,,,53.4174,-2.9112,anonymous,EN,1,I pay attention,15,2,21,5,34,4,63,5,78,6,55,5,92,6,85,7,,2,22,5,5f2aafa321c44f33f261d5c8,three,8
2023-06-06 12:59:38,2023-06-06 13:02:31,0,86.177.185.62,100,173,1,2023-06-06 13:02:32,R_1MMSIgB5wWY9jLf,,,,,53.3376,-1.4771,anonymous,EN,1,I pay attention,75,7,99,7,100,7,68,7,83,7,100,7,100,7,100,7,,2,58,3,5bab9899b52fde00012d3b1c,three,8
2023-06-06 12:59:56,2023-06-06 13:02:31,0,86.174.18.252,100,154,1,2023-06-06 13:02:33,R_2bZy9PTBWZRf20Z,,,,,51.3229,-2.7839,anonymous,EN,1,I pay attention,32,3,55,4,33,3,33,3,65,5,30,3,81,6,72,5,,1,48,2,5b5504e902660200017948c3,three,8
