StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,"entom_clear ",entom_surprise,entom_know,entom_learn,entom_imp,entom_comp,entom_trust,entom_knowledge1,entom_knowledge2,entom_knowledge3,entom_knowledge4,entom_knowledge5,archeo_clear,archeo_surprise,archeo_know,archeo_learn,archeo_knowledge1,archeo_knowledge2,archeo_knowledge3,archeo_knowledge4,archeo_knowledge5,archeo_imp,archeo_comp,archeo_trust,Q1,education,PROLIFIC_PID,discipline
2024-04-11 09:28:00,2024-04-11 09:30:26,0,143.52.125.156,100,145,1,2024-04-11 09:30:26,R_2tbxKsEsTufkQCJ,,,,,53.3615,-1.507,anonymous,EN,1,"I Pay Attention ",2,4,4,3,2,4,4,1,0,1,1,0,,,,,,,,,,,,,,3,6148bd948f9404442c6b70e9,entomology
2024-04-11 09:27:52,2024-04-11 09:30:32,0,84.70.237.226,100,159,1,2024-04-11 09:30:32,R_2KqqEMXWsXPvXS0,,,,,53.5534,-2.1119,anonymous,EN,1,I pay attention,,,,,,,,,,,,,4,3,3,3,0,1,1,1,1,4,4,4,,5,5aead25562ac0e00010974b1,archeology
2024-04-11 09:28:03,2024-04-11 09:30:32,0,81.130.230.228,100,149,1,2024-04-11 09:30:33,R_6PFhdTRZDO9bhtR,,,,,52.7659,-0.3834,anonymous,EN,1,"I pay attention ",3,3,4,3,4,4,4,1,0,1,1,0,,,,,,,,,,,,,,3,5c950bf3bdf5eb0001ced58e,entomology
2024-04-11 09:28:02,2024-04-11 09:30:35,0,82.132.232.115,100,152,1,2024-04-11 09:30:35,R_4fCPD0C3oQI2ski,,,,,51.5597,-0.0528,anonymous,EN,1,I pay attention,2,4,4,3,4,3,3,1,0,1,1,0,,,,,,,,,,,,,,2,5fa25b62caca4241e07002ef,entomology
2024-04-11 09:27:54,2024-04-11 09:30:36,0,84.71.155.65,100,161,1,2024-04-11 09:30:36,R_6S98wr1o6hAxOIP,,,,,51.5043,-0.2211,anonymous,EN,1,I pay attention,,,,,,,,,,,,,4,3,2,3,0,1,1,1,1,3,3,2,,5,62e02b26e879244a99e852fa,archeology
2024-04-11 09:27:58,2024-04-11 09:30:46,0,146.90.99.207,100,167,1,2024-04-11 09:30:46,R_2rDfVGm9V32QzjR,,,,,51.6263,-0.0981,anonymous,EN,1,"I pay attention ",4,5,4,3,4,5,4,1,0,0,0,1,,,,,,,,,,,,,,5,6070388ecc8d1f63c6349b7b,entomology
2024-04-11 09:27:40,2024-04-11 09:30:46,0,92.18.44.246,100,185,1,2024-04-11 09:30:46,R_6zBeSxxyixB0Pe9,,,,,51.657,-0.7185,anonymous,EN,1,I pay attention,4,3,3,2,3,5,4,1,0,0,1,1,,,,,,,,,,,,,,5,5ee4a14b578f8a000b384376,entomology
2024-04-11 09:27:54,2024-04-11 09:31:00,0,92.27.6.214,100,186,1,2024-04-11 09:31:01,R_1ameAYXwsG9hvkf,,,,,53.84,-2.3915,anonymous,EN,1,I pay attention,5,4,3,4,4,4,3,1,1,1,1,1,,,,,,,,,,,,,,3,5cec03804a66db00017bb054,entomology
2024-04-11 09:27:46,2024-04-11 09:31:02,0,46.69.101.150,100,195,1,2024-04-11 09:31:02,R_4paLG9T450oZkM8,,,,,53.4834,-2.0596,anonymous,EN,1,I pay attention,4,3,3,2,3,5,5,1,1,0,1,1,,,,,,,,,,,,,,5,5cbe1e098f939c0015c0b9d8,entomology
2024-04-11 09:27:55,2024-04-11 09:31:04,0,149.50.29.16,100,189,1,2024-04-11 09:31:04,R_27Trm8DHwx2yFSI,,,,,53.0477,-2.378,anonymous,EN,1,I pay attention,5,3,1,2,4,4,5,1,1,1,1,1,,,,,,,,,,,,,,3,5d1c9d39ff67e3000140ca87,entomology
2024-04-11 09:27:53,2024-04-11 09:31:06,0,82.14.18.114,100,192,1,2024-04-11 09:31:06,R_2YeXLAGHXJTYFMd,,,,,55.601,-4.6138,anonymous,EN,1,I pay attention,,,,,,,,,,,,,5,4,4,5,0,1,1,1,0,4,5,5,,2,5dd05d80b2204f1487f7812c,archeology
2024-04-11 09:27:53,2024-04-11 09:31:22,0,92.40.183.22,100,208,1,2024-04-11 09:31:22,R_1dgytjVdmYsC12M,,,,,53.4113,-2.9759,anonymous,EN,1,I pay attention,,,,,,,,,,,,,2,3,4,2,0,0,1,1,0,4,4,5,,2,57d5ab3a722df500017f3622,archeology
2024-04-11 09:27:40,2024-04-11 09:31:25,0,90.216.193.45,100,224,1,2024-04-11 09:31:25,R_2fvDaBsdwfnp98O,,,,,50.478,-3.5182,anonymous,EN,1,I pay attention,,,,,,,,,,,,,5,5,5,4,1,1,1,1,1,5,5,4,,6,60f5df9db9380d875c320307,archeology
2024-04-11 09:28:10,2024-04-11 09:31:32,0,81.151.74.167,100,202,1,2024-04-11 09:31:33,R_6VfKlyTcz4B3bYf,,,,,52.2536,-1.382,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,5,4,5,5,0,0,1,1,1,5,5,5,,5,654fad6bf1d74c86f20dbd99,archeology
2024-04-11 09:27:56,2024-04-11 09:31:39,0,94.3.95.239,100,223,1,2024-04-11 09:31:39,R_1CxxmOzad5KMtxR,,,,,51.364,-0.4939,anonymous,EN,1,I pat attention,4,5,5,5,5,4,5,1,1,1,1,1,,,,,,,,,,,,,,3,5c8b65c3e65fc600177b4a1a,entomology
2024-04-11 09:27:37,2024-04-11 09:31:43,0,82.9.79.192,100,246,1,2024-04-11 09:31:43,R_6dhki0juk9MaPML,,,,,53.2007,-2.0358,anonymous,EN,1,I pay attention,,,,,,,,,,,,,4,4,2,5,1,1,1,1,0,4,5,5,,5,5f0f7fe1d7ad1c000b42d091,archeology
2024-04-11 09:27:57,2024-04-11 09:31:57,0,81.143.223.140,100,239,1,2024-04-11 09:31:57,R_2MfboR93amXVjHI,,,,,51.6017,-0.0732,anonymous,EN,1,I pay attention,5,3,4,3,4,4,4,1,0,0,1,1,,,,,,,,,,,,,,4,63da614b401b0405635e3289,entomology
2024-04-11 09:28:01,2024-04-11 09:32:38,0,81.187.55.29,100,277,1,2024-04-11 09:32:39,R_11o4JtYe7p0DhEB,,,,,52.0421,1.2729,anonymous,EN,1,I pay attention,,,,,,,,,,,,,5,4,5,5,1,1,1,1,1,4,5,5,,2,5c5cad3e4ee81200018eafe2,archeology
2024-04-11 09:27:53,2024-04-11 09:32:54,0,86.171.75.233,100,300,1,2024-04-11 09:32:54,R_2rV0bu8zUk8udVc,,,,,50.9051,-1.3655,anonymous,EN,1,"""I pay attention""",5,5,5,5,5,5,5,1,0,1,0,0,,,,,,,,,,,,,,5,5c4a061161db8c00015e4fb0,entomology
2024-04-11 09:27:58,2024-04-11 09:34:15,0,90.249.43.76,100,376,1,2024-04-11 09:34:15,R_2HZpqODWMOvrYMp,,,,,53.84,-2.3915,anonymous,EN,1,I pay attention,,,,,,,,,,,,,4,2,3,3,1,1,1,1,1,3,4,3,,5,5d8cb1c93a7d5c00196eae92,archeology
2024-04-11 09:27:50,2024-04-11 09:34:31,0,164.39.179.179,100,401,1,2024-04-11 09:34:32,R_2gZ3YeoiYJBfxeI,,,,,52.4173,-1.8844,anonymous,EN,1,I pay attention,,,,,,,,,,,,,5,4,4,4,0,1,1,0,1,4,4,4,,3,5eca536f9aa4f658d641a7d9,archeology
2024-04-11 09:31:37,2024-04-11 09:35:13,0,90.249.43.76,100,215,1,2024-04-11 09:35:13,R_1zkzijbhZETAZuR,,,,,53.84,-2.3915,anonymous,EN,1,I pay attention,,,,,,,,,,,,,4,3,4,3,1,1,1,1,1,3,4,4,,6,5d384c97285d1400199a2886,archeology
