StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,dep_guess_b_I_4,dep_conf_b_I,dep_comp_b_I,indep_guess_a_I_4,indep_conf_a_I,indep_comp_a_I,indep_guess_b_I_4,indep_conf_b_I,indep_comp_b_I,dep_guess_a_I_4,dep_conf_a_I,dep_comp_a_I,dep_guess_b_II_4,dep_conf_b_II,dep_comp_b_II,indep_guess_a_II_4,indep_conf_a_II,indep_comp_a_II,indep_guess_b_II_4,indep_conf_b_II,indep_comp_b_II,dep_guess_a_II_4,dep_conf_a_II,dep_comp_a_II,dep_conf_b_III_4,dep_conf_b_III,dep_comp_b_III,indep_guess_a_III_4,indep_conf_a_III,indep_comp_a_III,indep_guess_b_III_4,indep_conf_b_III,indep_comp_b_III,dep_guess_a_III_4,dep_conf_a_III,dep_comp_a_III,Q2,Q3,Q4,Q5,PROLIFIC_PID,counter
2022-05-02 11:32:06,2022-05-02 11:34:07,0,81.97.52.145,100,120,1,2022-05-02 11:34:07,R_2Csr91nFDttVZxl,,,,,52.6152,-1.6655,anonymous,EN,1,"I pay attention ",,,,,,,1404,3,3,1639,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,3,60cb358cae78471cdfa7a0a6,2
2022-05-02 11:32:05,2022-05-02 11:34:53,0,84.13.109.29,100,167,1,2022-05-02 11:34:53,R_3fpEKiOVawkCk3x,,,,,53.0278,-2.1658,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1522,4,3,1501,3,4,,,,,,,,,,,,,,,,,,,,2,39,5,60042e1859673d1c71fb2fff,2
2022-05-02 11:30:05,2022-05-02 11:34:57,0,51.146.55.48,100,291,1,2022-05-02 11:34:57,R_egJxNE0mFTDv9ap,,,,,51.07,-1.7979,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,1537,4,4,1666,5,6,,,,,,,,2,66,5,56e56fa3b2093a000b4f10aa,2
2022-05-02 11:32:54,2022-05-02 11:35:27,0,86.29.103.131,100,152,1,2022-05-02 11:35:27,R_2YunD967BkQAXqn,,,,,53.5652,-2.3765,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,1548,2,4,1684,5,5,,,,,,,,1,42,6,603c30daae65109bf1a277e1,2
2022-05-02 11:32:46,2022-05-02 11:35:28,0,176.25.78.17,100,161,1,2022-05-02 11:35:28,R_Utsaxl6qGIeDL8J,,,,,51.5145,0.0706,anonymous,EN,1,I pay attention,,,,,,,1350,2,4,1640,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,5,601d5bfad1b8f206990804f7,2
2022-05-02 11:33:30,2022-05-02 11:36:00,0,94.2.12.103,100,149,1,2022-05-02 11:36:00,R_06ZWAYyGeuGpnTX,,,,,51.5565,-3.3558,anonymous,EN,1,I pay attention,1424,6,6,1630,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,5,608a73d37b89a19b8bab1f72,2
2022-05-02 11:33:36,2022-05-02 11:36:32,0,80.195.225.180,100,175,1,2022-05-02 11:36:33,R_3RgSzIl9W7u0W7K,,,,,52.6261,1.3034,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1325,8,6,1475,5,5,,,,,,,,,,,,,,,,,,,,2,57,2,622a0b98531b1571df7b8708,2
2022-05-02 11:34:19,2022-05-02 11:36:37,0,80.44.222.210,100,138,1,2022-05-02 11:36:37,R_8e7nJnMn0DVYzM5,,,,,54.9749,-1.6451,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,1317,3,3,1502,5,4,,,,,,,,,,,,,,,,,,,,2,27,5,595fc9e1c11b6a0001dc1d3a,2
2022-05-02 11:34:54,2022-05-02 11:36:58,0,82.27.89.87,100,123,1,2022-05-02 11:36:58,R_2rIxowwaxdKmRii,,,,,50.8612,-0.1194,anonymous,EN,1,I pay attention,1424,4,5,1635,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,5,60e496fd57415dbf13291a6e,2
2022-05-02 11:33:29,2022-05-02 11:36:59,0,86.162.141.116,100,210,1,2022-05-02 11:36:59,R_d0R7DvyAyl1hb3P,,,,,52.579,-1.8295,anonymous,EN,1,I pay  attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,4,4,1675,5,5,,2,53,5,564deadedc21cd000dba8cff,2
2022-05-02 11:34:48,2022-05-02 11:37:19,0,90.243.132.78,100,151,1,2022-05-02 11:37:19,R_3fcVJryjKEomNNI,,,,,51.8741,-2.1322,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513,4,4,1603,3,5,,2,35,5,5ff1bad5f4e23360cade1455,2
2022-05-02 11:35:24,2022-05-02 11:37:22,0,185.69.145.186,100,117,1,2022-05-02 11:37:22,R_2A0EXDIyeaURU69,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1510,5,5,1668,8,8,,,,,,,,2,22,5,55c3b47dfdf99b52bdba86da,2
2022-05-02 11:34:40,2022-05-02 11:38:04,0,90.243.127.16,100,203,1,2022-05-02 11:38:05,R_1gnB2v68GDtCizV,,,,,53.5039,-2.1959,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1279,2,3,1473,2,2,,,,,,,,,,,,,,1,41,5,60fbe32be2493f36595c112b,2
2022-05-02 11:35:53,2022-05-02 11:38:12,0,86.158.26.154,100,139,1,2022-05-02 11:38:13,R_1DtCoB3e6G4jNsX,,,,,54.8334,-1.6268,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,1499,3,5,1510,4,5,,,,,,,,,,,,,,,,,,,,2,32,5,5c3207e6a4d37600010239cb,2
2022-05-02 11:36:24,2022-05-02 11:38:26,0,87.80.178.222,100,121,1,2022-05-02 11:38:26,R_1kLzfV6OZtWWgYR,,,,,53.5012,-2.4112,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1509,5,4,1665,8,4,,,,,,,,1,26,6,5fdb21a2fec1b03771f60fc0,2
2022-05-02 11:34:19,2022-05-02 11:38:28,0,86.130.199.30,100,248,1,2022-05-02 11:38:28,R_2DZXJ2wIDZ9vMtF,,,,,51.3503,-0.2014,anonymous,EN,1,I pay attention,1400,1,4,1630,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,3,5af07de697a14300017d0c4f,2
2022-05-02 11:32:35,2022-05-02 11:38:28,0,92.40.180.117,100,352,1,2022-05-02 11:38:28,R_3QWNdotQvcEvwKh,,,,,51.4964,-0.1224,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,1354,4,4,1502,3,4,,,,,,,,,,,,,,2,33,3,6159ef9e2c4418ec5738da1f,2
2022-05-02 11:35:39,2022-05-02 11:38:51,0,82.26.175.231,100,192,1,2022-05-02 11:38:51,R_zUnvCZRgHWTBfuV,,,,,51.3295,0.578,anonymous,EN,1,i pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499,4,4,1507,3,5,,2,44,1,593dd25b6b824b0001a7024a,2
2022-05-02 11:36:04,2022-05-02 11:38:55,0,80.3.23.18,100,171,1,2022-05-02 11:38:55,R_1XMyUhohPRdE0Ct,,,,,52.7647,-0.8899,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1344,3,5,1472,5,5,,,,,,,,,,,,,,2,27,6,605f3557d8f6233d8011bf7a,2
2022-05-02 11:34:15,2022-05-02 11:38:57,0,146.198.134.11,100,282,1,2022-05-02 11:38:57,R_3EXMuurqXxUJL4X,,,,,53.2402,-2.9088,anonymous,EN,1,"I pay attention ",,,,,,,1452,4,4,1667,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,2,6054f6bfbbfeb0fa319b6297,2
2022-05-02 11:36:41,2022-05-02 11:38:59,0,212.219.247.151,100,137,1,2022-05-02 11:38:59,R_2eX58jBPWkbsGIn,,,,,55.805,-4.2899,anonymous,EN,1,I pay attention,,,,,,,1414,2,4,1623,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,4,5c025fa54e1b7b00016a6027,2
2022-05-02 11:36:30,2022-05-02 11:39:46,0,149.241.66.70,100,196,1,2022-05-02 11:39:47,R_tWLFBXduYWhPzYR,,,,,52.5876,-1.9828,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1502,5,4,1631,5,5,,,,,,,,2,28,3,5ec933d698740b0547386240,2
2022-05-02 11:37:22,2022-05-02 11:39:51,0,5.70.216.225,100,148,1,2022-05-02 11:39:51,R_2z5BcfadERyEf4e,,,,,53.5183,-2.4686,anonymous,EN,1,"I pay attention ",1346,4,2,1606,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,3,6142fe1ca6b1465d8edf7a65,2
2022-05-02 11:38:05,2022-05-02 11:39:58,0,51.148.162.204,100,113,1,2022-05-02 11:39:59,R_20Y79pQQkJOw6ZU,,,,,51.4746,-0.0924,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,1323,1,4,1490,3,4,,,,,,,,,,,,,,2,18,2,5fdd43408929f0402fb1ed04,2
2022-05-02 11:37:22,2022-05-02 11:40:01,0,213.205.196.243,100,159,1,2022-05-02 11:40:02,R_1irFikFJssILcnF,,,,,53.3615,-1.507,anonymous,EN,1,"I pay attention ",,,,,,,1361,1,4,1620,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,6,612797a5779a100a92a25666,2
2022-05-02 11:37:05,2022-05-02 11:40:30,0,94.1.139.90,100,205,1,2022-05-02 11:40:31,R_3dRH57ZPB1qhoYM,,,,,54.5504,-1.2532,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515,6,5,1649,5,5,,2,24,5,5e8a34563f06406ceb659473,2
2022-05-02 11:37:52,2022-05-02 11:40:53,0,95.151.95.196,100,181,1,2022-05-02 11:40:54,R_sbCHls5F3cLxouR,,,,,50.5193,-4.0569,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1500,5,4,1654,4,4,,,,,,,,2,60,5,5a48de13daea400001ac3878,2
2022-05-02 11:37:57,2022-05-02 11:41:14,0,148.252.128.252,100,196,1,2022-05-02 11:41:14,R_25GwzKY3ZVlsg7F,,,,,51.4964,-0.1224,anonymous,EN,1,"I pay attention ",,,,,,,1502,5,6,1624,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,2,59663ea207ed5e0001cd1bd0,2
2022-05-02 11:38:56,2022-05-02 11:41:18,0,82.46.40.222,100,141,1,2022-05-02 11:41:18,R_1FfHhy7HMqibIFO,,,,,51.3873,-0.1596,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1305,5,4,1480,4,4,,,,,,,,,,,,,,,,,,,,2,25,3,5d93d16d913bf2001a6f9017,2
2022-05-02 11:36:50,2022-05-02 11:41:22,0,95.147.123.72,100,272,1,2022-05-02 11:41:23,R_3JgTxD5IX5164AF,,,,,51.5101,-3.5817,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1331,4,5,1568,4,4,,,,,,,,,,,,,,,,,,,,1,57,5,60292fb1bf92e7828428ed62,2
2022-05-02 11:38:00,2022-05-02 11:41:32,0,90.204.2.141,100,212,1,2022-05-02 11:41:33,R_BFDT3zT3RPRX26J,,,,,51.5565,0.134,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1317,6,6,1496,6,6,,,,,,,,,,,,,,,,,,,,2,41,6,59a9d2a36fde8c0001cee6df,2
2022-05-02 11:38:27,2022-05-02 11:41:43,0,86.175.143.201,100,195,1,2022-05-02 11:41:43,R_27ytgvaQwAaO0Rn,,,,,50.7021,-1.479,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518,4,5,1666,5,5,,2,69,2,5c056b769ae12d0001fca19a,2
2022-05-02 11:39:06,2022-05-02 11:41:49,0,85.211.196.137,100,162,1,2022-05-02 11:41:49,R_UZ6WvB9Ogf1FHAR,,,,,52.6494,-1.1203,anonymous,EN,1,"I pay attention ",1349,8,6,1512,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,3,5b1a60332767e20001e4f69b,2
2022-05-02 11:39:42,2022-05-02 11:41:59,0,86.20.120.184,100,137,1,2022-05-02 11:41:59,R_2WZHcrhlyyeBcAC,,,,,52.6181,-1.1804,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531,4,4,1672,6,6,,2,32,5,5d15d69c33ac2f0001705548,2
2022-05-02 11:35:32,2022-05-02 11:42:00,0,80.225.135.226,100,388,1,2022-05-02 11:42:01,R_129Zmu9psD9C3EZ,,,,,55.806,-3.9417,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1321,4,4,1446,4,4,,,,,,,,,,,,,,2,70,5,56880beb369319000c271ed9,2
2022-05-02 11:39:33,2022-05-02 11:42:11,0,82.13.136.38,100,157,1,2022-05-02 11:42:11,R_1OHabYQPY9qR3rI,,,,,50.8646,-1.0215,anonymous,EN,1,"I pay attention ",,,,,,,1400,3,4,1601,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,5,56d1f9597bbc32000589a58d,2
2022-05-02 11:38:36,2022-05-02 11:42:13,0,90.196.251.72,100,216,1,2022-05-02 11:42:13,R_3R3GfsZjIPg6IOB,,,,,51.9369,1.1101,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1531,5,4,1680,5,5,,,,,,,,2,42,4,5fabe8314be9d1099fb97096,2
2022-05-02 11:40:04,2022-05-02 11:42:39,0,81.153.108.207,100,154,1,2022-05-02 11:42:39,R_1NEMvPdrdZMOoNY,,,,,50.5835,-3.4707,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535,3,4,1665,5,4,,2,29,5,613a62de5484d0b75dd3833f,2
2022-05-02 11:39:44,2022-05-02 11:42:47,0,2.27.181.85,100,183,1,2022-05-02 11:42:47,R_DwoQyNKRPs2KUOl,,,,,50.8273,-0.4887,anonymous,EN,1,"I pay attention ",1426,5,4,1619,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,67,2,5d530ac47f7e0b0016ee8cde,2
2022-05-02 11:41:13,2022-05-02 11:42:56,0,86.191.141.186,100,103,1,2022-05-02 11:42:57,R_2akMZhEhXWTJJXt,,,,,52.4506,0.0566,anonymous,EN,1,"I pay attention ",,,,,,,1421,1,2,1625,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,6,5e4d5381c5482e023caab343,2
2022-05-02 11:41:01,2022-05-02 11:43:09,0,86.20.179.2,100,127,1,2022-05-02 11:43:09,R_vAfAw7F1KannyuZ,,,,,51.4425,-0.9267,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1641,3,1,1511,3,2,,,,,,,,2,39,5,5aa6fcaa1ade740001b9730b,2
2022-05-02 11:39:19,2022-05-02 11:43:16,0,147.147.62.107,100,237,1,2022-05-02 11:43:16,R_2pLvljgvibBI0lq,,,,,53.8119,-3.0226,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1318,6,6,1492,5,5,,,,,,,,,,,,,,2,62,5,60ad694bb375aaecf92a8ea3,2
2022-05-02 11:42:19,2022-05-02 11:43:39,0,81.152.125.184,100,79,1,2022-05-02 11:43:39,R_1mC2KuwuyrJg7h5,,,,,53.3022,-2.2312,anonymous,EN,1,"I pay attention ",,,,,,,1413,5,5,1639,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,5,5f43eb87044e556a5df55b70,2
2022-05-02 11:41:26,2022-05-02 11:43:40,0,31.52.231.75,100,134,1,2022-05-02 11:43:40,R_2zdup1WmW65AS5R,,,,,54.6551,-3.3707,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1315,4,4,1500,4,4,,,,,,,,,,,,,,2,27,4,622890eeaef01f27ed88d23f,2
2022-05-02 11:39:37,2022-05-02 11:43:43,0,86.172.214.4,100,245,1,2022-05-02 11:43:43,R_3CpmVOO7QYcTuoN,,,,,52.5369,-0.2041,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,1351,4,3,1400,3,4,,,,,,,,,,,,,,,,,,,,2,21,3,5cae6a77b38ea60016e54889,2
2022-05-02 11:41:23,2022-05-02 11:43:59,0,92.7.229.249,100,155,1,2022-05-02 11:44:00,R_3D8iACTUlVpfYFt,,,,,50.6806,-3.8744,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1532,6,5,1686,5,4,,,,,,,,1,29,3,5b9754dce1adf100014ac3d1,2
2022-05-02 11:41:47,2022-05-02 11:44:02,0,46.69.150.254,100,134,1,2022-05-02 11:44:03,R_2rAvJaLqtRCF97g,,,,,52.0158,-0.6904,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,1320,4,6,1400,5,5,,,,,,,,,,,,,,,,,,,,2,26,6,6147539b00c6232dc29b5f4e,2
2022-05-02 11:38:28,2022-05-02 11:44:16,0,62.64.247.80,100,348,1,2022-05-02 11:44:16,R_1dBw79p5cWw00Gq,,,,,52.5876,-1.9828,anonymous,EN,1,"I pay attention ",1448,2,4,1609,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,4,5f16f6e1655be80008c1e046,2
2022-05-02 11:41:51,2022-05-02 11:44:17,0,94.15.214.65,100,146,1,2022-05-02 11:44:17,R_8j4PIO8BUwk4DpT,,,,,50.5259,-3.6165,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,5,4,1501,2,4,,2,61,2,5cc18045796f460019034fba,2
2022-05-02 11:42:40,2022-05-02 11:44:28,0,2.222.92.13,100,107,1,2022-05-02 11:44:28,R_30iscuDlHFdUFFm,,,,,52.9735,-1.3255,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,1335,4,4,1470,4,4,,,,,,,,,,,,,,2,31,2,5c14e5d445de2c000133a7c5,2
2022-05-02 11:39:33,2022-05-02 11:44:31,0,188.30.196.155,100,298,1,2022-05-02 11:44:31,R_piMNK6xhWWYi0LL,,,,,55.9144,-3.1637,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1593,2,4,1536,2,5,,,,,,,,,,,,,,2,40,2,5c55a6fc3fd1450001f7b476,2
2022-05-02 11:42:26,2022-05-02 11:44:38,0,82.132.186.13,100,132,1,2022-05-02 11:44:38,R_1IMJGD0kJpmBv1p,,,,,53.7999,-1.5125,anonymous,EN,1,"I pay attention ",1387,3,3,1656,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,3,5e8f49e5cb8d6321556f8e8e,2
2022-05-02 11:42:34,2022-05-02 11:44:41,0,109.249.185.79,100,126,1,2022-05-02 11:44:42,R_3PiPdHfJgcM5FDR,,,,,51.4021,-0.0916,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555,6,5,1672,8,6,,2,36,5,60cd16c4034685f8fc9134e4,2
