StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent1,attention,recall_t2,PROLIFIC_PID
2024-11-28 14:35:30,2024-11-28 14:41:54,0,100,384,1,2024-11-28 14:41:55,R_8G310E3IoQ5NO4U,anonymous,EN,1,2,"The study was about scientist who study how insects perceive the world around them. There was also something about scientist who study crickets hair ",671bee185e23f895f7fa6b7d
2024-11-28 14:45:57,2024-11-28 14:50:40,0,100,282,1,2024-11-28 14:50:40,R_8QWmXbc1RkbPb8t,anonymous,EN,1,2,I cannot recall at all what the scientific study was. I cant remember the topic or the findings. Maybe it was about climate change?,5f01ea96d68caf0539cc6967
2024-11-28 14:57:03,2024-11-28 15:00:17,0,100,193,1,2024-11-28 15:00:17,R_2FLkFUDJoF12R1v,anonymous,EN,1,2,The research related to two types of animal and their ability to recall.  One of the pieces of research related to flies.,5eb7094fbb8ed70b61398cff
2024-11-28 15:15:07,2024-11-28 15:24:44,0,100,576,1,2024-11-28 15:24:45,R_2BnWm6oGYCzrZdP,anonymous,EN,1,2,"It was about what archaeologists can discover about the bones that they found. For example, they can discover the age of the person or animal when they died. They can also tell what age they stopped feeding from their mothers.",5c5844d8dd470300014ee3f1
2024-11-28 15:49:03,2024-11-28 15:49:13,0,100,10,1,2024-11-28 15:49:13,R_2xtKC8m1jM0v3WN,anonymous,EN,1,1,,66e6d8bf8abc39a66dccd262
2024-11-28 15:51:27,2024-11-28 15:51:34,0,100,7,1,2024-11-28 15:51:35,R_2Hk1aGRAha5IY9x,anonymous,EN,1,1,,5aa28d786219a30001f57655
2024-11-28 16:24:21,2024-11-28 16:26:21,0,100,119,1,2024-11-28 16:26:22,R_8kdpsHLY6q9dbPN,anonymous,EN,1,2,there was information about the peripheral vision of flies and the sensitivity of the legs of crickets. Scientific research evaluating these.,63cd461c5f597e27b2a054fb
2024-11-28 18:15:22,2024-11-28 18:17:16,0,100,113,1,2024-11-28 18:17:16,R_2ND8exqnNf34fo2,anonymous,EN,1,2,I do not remember the exact details but it was to do with scientists who are researching insects and some startling discoveries that they have made in relation to this - I seem to remember the hairs on an insect (maybe a cricket) being extraordinarily sensitive.,66bbafb05de7e549455aa4ff
2024-11-28 21:20:53,2024-11-28 21:22:13,0,100,79,1,2024-11-28 21:22:13,R_8IsnLacXl789bhL,anonymous,EN,1,2,I can't really recall very much. I think it was about how there is doubt about scientific discoveries because they seem to contradict findings from earlier research or knowledge.,5f30fff39031820144a7b83f
2024-11-28 10:03:15,2024-11-28 10:04:13,0,50,57,0,2024-12-02 14:57:17,R_830V6WeGLXCAyWk,anonymous,EN,1,2,,
2024-11-28 13:20:52,2024-11-28 13:22:01,0,50,69,0,2024-12-02 14:57:17,R_2DAyeFXEcPkciIx,anonymous,EN,1,2,,66b8e2fd7ed9ec6e6bb94a9d
2024-11-28 13:18:46,2024-11-28 13:20:31,0,50,105,0,2024-12-02 14:57:17,R_2Y80YcWFdJV54VH,anonymous,EN,1,2,,669d7d04ec742963733a5b35
