StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent1,consent2,attention,archeo_physcomp_t0,archeo_phystrust_t0,archeo_immucomp_t0,archeo_immutrust_t0,archeo_comp_t0,archeo_trust_t0,archeo_recall_t1,archeo_physcomp_t1,archeo_phystrust_t1,archeo_immucomp_t1,archeo_immutrust_t1,archeo_comp_t1,archeo_trust_t1,archeo_impress_t1,entom_physcomp_t0,entom_phystrust_t0,entom_immucomp_t0,entom_immutrust_t0,entom_comp_t0,entom_trust_t0,entom_recall_t1,entom_physcomp_t1,entom_phystrust_t1,entom_immucomp_t1,entom_immutrust_t1,entom_comp_t1,entom_trust_t1,entom_impress_t1,Q1,education,PROLIFIC_PID
2024-11-26 13:19:50,2024-11-26 13:24:23,0,100,273,1,2024-11-26 13:24:24,R_8iV0mWXQoTfB7eF,anonymous,EN,1,4,5,6,5,6,5,5,5,Archaeologists are able to tell the sex of someone just looking at their bones as well as other biological markers,5,6,5,6,5,6,4,,,,,,,,,,,,,,,,5,60154af277ec314fd8fe1449
2024-11-26 13:19:38,2024-11-26 13:24:38,0,100,300,1,2024-11-26 13:24:39,R_8png2LKZaa1NkBd,anonymous,EN,1,4,5,,,,,,,,,,,,,,,7,7,7,7,7,7,,7,7,7,7,7,7,4,,3,5eadaff848b26f4483ae62d9
2024-11-26 13:19:46,2024-11-26 13:24:47,0,100,300,1,2024-11-26 13:24:47,R_8tDKW4eNw3jtBUf,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,5,5,4,6,6,,6,5,5,4,7,6,5,,5,5e132349b199e49599de669e
2024-11-26 13:20:10,2024-11-26 13:25:03,0,100,292,1,2024-11-26 13:25:03,R_8obxLeBS3Trfde3,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,5,6,5,5,5,"Two main points, the visual perception of flies and how they react and the reaction to stimulii of the hairs on crickets legs.  Technical information describing how they were analysed",6,5,6,5,6,5,5,,5,63cd461c5f597e27b2a054fb
2024-11-26 13:20:12,2024-11-26 13:25:34,0,100,322,1,2024-11-26 13:25:35,R_8sgoE4ZZ3zx79BI,anonymous,EN,1,4,5,5,4,5,4,5,4,,5,4,5,4,5,5,4,,,,,,,,,,,,,,,,5,5f01ea96d68caf0539cc6967
2024-11-26 13:19:33,2024-11-26 13:26:58,0,100,444,1,2024-11-26 13:26:58,R_8LXTTFLderYZrSD,anonymous,EN,1,4,5,6,6,6,6,5,5,Archaeologists are able to tell many things from bones from someone who has been dead for thousands of years. For instance they can tell at what age a person stopped drinking mothers milk by examining teeth. They can also tell how developed speech was by the enlarged muscles in the throat and how most Neanderthals were Right handed from the tools they made. They have also developed a link between use of hands and the development of speech.,6,6,6,6,6,6,4,,,,,,,,,,,,,,,,6,66718b56365fa9f7aa5a330b
2024-11-26 13:19:56,2024-11-26 13:28:10,0,100,493,1,2024-11-26 13:28:10,R_8lRxBJ5BvnHQQOR,anonymous,EN,1,4,5,5,5,5,5,5,4,,5,5,5,5,5,5,4,,,,,,,,,,,,,,,,6,66a17da1bbd16ce87902e439
2024-11-26 13:19:43,2024-11-26 13:28:42,0,100,539,1,2024-11-26 13:28:43,R_8K1rTMH5J5Wu8hx,anonymous,EN,1,4,5,6,6,6,6,6,6,"Archaeologists can find out much about the past through the analysis of bones they discover. The nerve controlling breathing is larger in homo sapiens than in other apes, probably due to man's ability to talk. The neanderthal's nerve was larger leading archaeologist's to believe perhaps the neanderthals could speak ",6,6,6,6,6,6,4,,,,,,,,,,,,,,,,2,5ea0516dee594a000932857a
2024-11-26 13:19:57,2024-11-26 13:29:27,0,100,570,1,2024-11-26 13:29:28,R_8lgw1Puh3JfqQVP,anonymous,EN,1,4,5,5,4,4,3,3,2,"Neanderthals were probably mostly right handed. Handedness is thought to be related to the evolution of language. The nerve that controls breathing is enlarged in humans Humans and Neanderthals, in relation to other mammals. This may be related to the evolution of language. The supposition from this is that Neanderthals also developed language. From the bones and teeth of long dead humans, Archaeologists can identify from analysis of the teeth when the human stopped taking mothers milk.",5,4,4,3,3,2,2,,,,,,,,,,,,,,,,7,66d9cd06e207a93377f7820e
2024-11-26 13:19:48,2024-11-26 13:29:56,0,100,608,1,2024-11-26 13:29:57,R_8qgMbIA49AcjBt8,anonymous,EN,1,4,5,6,6,6,6,6,6,"Archaeologists can tell a lot of things from the bones that they found. Some of the things they can find out from looking at the bones is gender, age, cause of death and what age they stopped having milk from their mothers by their teeth allignment.",6,6,6,6,6,6,5,,,,,,,,,,,,,,,,2,5c5844d8dd470300014ee3f1
2024-11-26 13:21:35,2024-11-26 13:30:18,0,100,523,1,2024-11-26 13:30:19,R_8k0OPuTJbGDETrS,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,5,6,5,6,5,"the antennas that crickets have may be most sensitive things on the earth that are organisms, they can detect 1 photon of light.  flies eyes can see very quickly, as in something will be shown for very short amount of time but they will be able to see it.",6,5,6,5,6,5,4,,5,667a9bdad0e1a943ee3d04bb
2024-11-26 13:20:53,2024-11-26 13:30:52,0,100,599,1,2024-11-26 13:30:52,R_8ty9rxJh4g3j31L,anonymous,EN,1,4,5,,,,,,,,,,,,,,,6,6,6,6,6,6,some entomologist have an understanding of how insects perceive the world around them. entomologists interested in how flies visual perception works have used special displays to present images for much less time..... there are entomologists who study the hair of crickets,6,6,6,6,6,6,5,,6,671bee185e23f895f7fa6b7d
2024-11-26 13:26:20,2024-11-26 13:45:00,0,100,1120,1,2024-11-26 13:45:01,R_8KP9XSFg5BnmAaR,anonymous,EN,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66b77018a67f089ba7d23581
2024-11-26 14:15:42,2024-11-26 14:17:38,0,100,115,1,2024-11-26 14:17:38,R_8fR7XpkgozTOLq9,anonymous,EN,1,4,5,,,,,,,,,,,,,,,4,4,5,5,4,4,,4,4,5,5,5,5,4,,5,647869e6f69318bacc341d53
