StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,"antibiotics_accept ",continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,water_know,water_accept,electrons,antibiotics,continents,sex,lasers,orbit,diamonds,speed,salt,water,Q1,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,"BCTI_autism ","BCTI_polio ",BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,Q1,education,comments,PROLIFIC_PID
2024-04-03 15:35:00,2024-04-03 15:42:11,IP Address,209.122.40.35,100,431,True,2024-04-03 15:42:11,R_7dN47nWQfp20dZD,,,,,42.0754,-87.8222,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,40,80,50,20,10,Unsure 5,,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 6",Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,3- or 4-year College Degree,,63ebb22fae90027a0e121582
2024-04-03 15:38:11,2024-04-03 15:42:28,IP Address,45.51.108.80,100,256,True,2024-04-03 15:42:28,R_3ISsdJfoZt7pP5T,,,,,34.3046,-118.6844,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,100,100,100,50,50,Completely true 9,,Completely false 1,Unsure 5,Unsure 5,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 7",Unsure 5,Completely false 1,A lot 4,A lot 4," 4",,2-year College Degree,,633c74ad6178784ed5b52104
2024-04-03 15:39:00,2024-04-03 15:42:35,IP Address,47.232.74.53,100,214,True,2024-04-03 15:42:35,R_21Y6QeNLFB3QlX6,,,,,38.7142,-90.2759,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,70,80,50,30,60," 6",,Completely false 1,Completely false 1,Completely false 1," 3",Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely false 1,Completely false 1,A lot 4,A lot 4," 4",,3- or 4-year College Degree,,63f779f8e3d660cb75774fe8
2024-04-03 15:39:16,2024-04-03 15:42:41,IP Address,162.246.112.36,100,204,True,2024-04-03 15:42:41,R_5O9zltZcmI4c0JP,,,,,41.1622,-85.4724,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,30,30,20,30,30,Unsure 5,," 2"," 2"," 2"," 3",Completely false 1,Unsure 5," 2",Unsure 5," 4",Completely false 1,Some 3,Some 3,A great deal of confidence 5,,High School / GED,,631659ad8e5354f16aef7249
2024-04-03 15:36:25,2024-04-03 15:42:43,IP Address,174.192.8.216,100,378,True,2024-04-03 15:42:44,R_2M0zgs5bQHQFWgO,,,,,41.5382,-72.8008,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,,,,,,,,,,,,70,90,40,30,70," 6",,Completely false 1,Unsure 5," 7"," 3",Completely false 1," 3",Completely false 1,Unsure 5," 3",Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,3- or 4-year College Degree,No thanks,5e0fa7e84d6bf16df6f5e1e0
2024-04-03 15:38:17,2024-04-03 15:42:44,IP Address,162.227.20.142,100,266,True,2024-04-03 15:42:45,R_8EavMmJ27xj5FNX,,,,,37.7725,-120.842,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,,,,,,,,,,,,80,80,80,60,50," 6",,Completely false 1,Completely false 1," 2",Completely false 1,Completely false 1," 2",Completely false 1," 6",Completely false 1,Completely false 1,Some 3,Some 3," 4",,2-year College Degree,,641ec1a9d9fe8a0941e39862
2024-04-03 15:35:06,2024-04-03 15:42:45,IP Address,70.44.78.11,100,458,True,2024-04-03 15:42:45,R_5OHnYp3cgoFhHDl,,,,,40.3368,-75.8744,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,90,90,30,0,0,Unsure 5,,Completely false 1,Completely false 1,Completely false 1," 6",Completely false 1,Completely false 1,Completely false 1," 6"," 6",Completely false 1,Not much 2,Not much 2," 2",,3- or 4-year College Degree,,60c7af606ba051b42a91d3ff
2024-04-03 15:37:40,2024-04-03 15:42:47,IP Address,172.58.182.54,100,307,True,2024-04-03 15:42:48,R_3gSLxtwftI59jIV,,,,,32.8785,-96.7477,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,100,100,100,100,100,Completely true 9,," 7",Completely true 9,Completely true 9,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely true 9,Unsure 5,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,High School / GED,,5d1ad6202ba4ad0001d623be
2024-04-03 15:37:07,2024-04-03 15:42:49,IP Address,172.59.106.36,100,342,True,2024-04-03 15:42:49,R_3n0KbJB8Ie2gZRT,,,,,29.9353,-90.074,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,0,0,0,0,0,Completely false 1,,Completely false 1,Completely true 9,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Some 3,Some 3," 4",,2-year College Degree,,62a099bb01ad779df1971ea4
2024-04-03 15:40:01,2024-04-03 15:42:51,IP Address,74.79.219.68,100,169,True,2024-04-03 15:42:52,R_1IGjAakZmXbDdKh,,,,,42.9285,-76.5591,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,60,100,20,0,0," 4",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1," 6",Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Some College,,660c073f09c598539883ce7c
2024-04-03 15:38:12,2024-04-03 15:42:58,IP Address,24.130.139.63,100,286,True,2024-04-03 15:42:59,R_1dROowlB6KtuREb,,,,,37.7201,-121.919,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,0,10,0,0,0,Completely false 1,,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Master's Degree,,5ef4d8b87faaa00c0dea0c4e
2024-04-03 15:39:24,2024-04-03 15:43:13,IP Address,98.161.182.11,100,229,True,2024-04-03 15:43:13,R_2HjZUqUVhXDeqye,,,,,32.2123,-110.879,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,70,90,60,50,60," 6",,Completely false 1," 7"," 6",Completely false 1,Completely false 1,Completely false 1," 2",Unsure 5,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,High School / GED,,62a0294e78bac60d6f9c49df
2024-04-03 15:36:56,2024-04-03 15:43:16,IP Address,192.198.57.227,100,379,True,2024-04-03 15:43:16,R_2xDKgUwk4caxYCN,,,,,38.7613,-85.4066,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,40,70,30,70,80," 6",," 3",Unsure 5," 7"," 3",Completely false 1," 8"," 4"," 3"," 4"," 4",Some 3,Some 3," 3",,3- or 4-year College Degree,,636148a83d7a7c349bb08436
2024-04-03 15:36:51,2024-04-03 15:43:43,IP Address,47.225.210.178,100,411,True,2024-04-03 15:43:44,R_7G1vHXpDZAHpYxB,,,,,44.7499,-93.2081,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,50,60,30,10,50,Unsure 5,,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,2-year College Degree,,5e349833001ff8468fda08c6
2024-04-03 15:39:17,2024-04-03 15:43:50,IP Address,134.215.182.33,100,273,True,2024-04-03 15:43:51,R_2FDS6jLvDO8mbBN,,,,,30.7968,-81.7051,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,30,60,10,20,10," 3",,Completely false 1,Completely false 1," 2",Completely false 1,Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,3- or 4-year College Degree,,5658d6d67d69570012dfe258
2024-04-03 15:38:36,2024-04-03 15:43:56,IP Address,64.188.139.217,100,320,True,2024-04-03 15:43:57,R_5jkrBcN2wfAnnOI,,,,,41.7733,-78.1508,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,60,80,40,0,10," 7",,Completely false 1," 6"," 2",Completely false 1,Completely false 1,Completely false 1,Unsure 5," 6",Completely false 1,Completely false 1,A lot 4,A lot 4,A great deal of confidence 5,,Some College,None,633f13e38809f1f9f5e4365c
2024-04-03 15:37:40,2024-04-03 15:44:01,IP Address,129.62.189.195,100,380,True,2024-04-03 15:44:01,R_1dABh1tQUlCbwgg,,,,,31.5338,-97.1923,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,90,100,60,50,80,Completely true 9,,Completely false 1,Unsure 5,Unsure 5,Unsure 5," 3",Unsure 5," 3",Unsure 5," 7"," 3",Not much 2,Not much 2," 3",,3- or 4-year College Degree,,5ecc6ffce3ca77849333e83e
2024-04-03 15:40:58,2024-04-03 15:44:03,IP Address,69.24.144.19,100,185,True,2024-04-03 15:44:04,R_3ZD1a2dOo7Z8eZX,,,,,39.9639,-82.9589,anonymous,EN,I give my informed consent to participate in this study.,Never 1,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,TRUE,Yes,,,,,,,,,,,,70,80,40,30,70," 7",,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Completely false 1,Unsure 5,Completely false 1,Completely false 1,Some 3,A lot 4," 4",,Master's Degree,,606492360e422d12dc63000e
2024-04-03 15:36:53,2024-04-03 15:44:05,IP Address,172.56.216.125,100,431,True,2024-04-03 15:44:06,R_2DZOgEEM8uEHuJz,,,,,39.9739,-75.1456,anonymous,EN,I give my informed consent to participate in this study.,Never 1,FALSE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,TRUE,Yes,TRUE,Yes,FALSE,Yes,FALSE,Yes,TRUE,Yes,,,,,,,,,,,,80,80,70,70,80," 7",," 4"," 6",Unsure 5,Completely false 1,Completely false 1," 6",Unsure 5," 8",Unsure 5,Completely false 1,Some 3,Some 3," 4",,High School / GED,,63ea4735e283a1670ea382f4
